"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","A.J. Feeley",2006,16,"PHI","ATL",3.51,-0.11
"2","A.J. Feeley",2011,6,"STL","DAL",-3.18,0
"3","A.J. Feeley",2006,11,"PHI","IND",-0.5,0
"4","A.J. Feeley",2011,1,"STL","PHI",-0.6,0
"5","A.J. Feeley",2011,12,"STL","SFO",-1.36,0
"6","A.J. Feeley",2011,7,"STL","NOR",-2.74,0
"7","A.J. Feeley",2007,10,"PHI","MIA",0.01,0
"8","A.J. Feeley",2007,11,"PHI","NWE",1.04,-0.53
"9","A.J. Feeley",2011,8,"STL","NOR",-3.86,0
"10","A.J. Feeley",2007,12,"PHI","SEA",-1.66,-1.49
