"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","A.J. McCarron",2015,16,"CIN","BAL",1.37,0
"2","A.J. McCarron",2017,13,"CIN","CHI",-0.71,0
"3","A.J. McCarron",2015,11,"CIN","STL",-0.1,0
"4","A.J. McCarron",2015,12,"CIN","CLE",-0.41,0
"5","A.J. McCarron",2015,13,"CIN","PIT",1.61,0
"6","A.J. McCarron",2015,14,"CIN","SFO",0.81,0
"7","A.J. McCarron",2015,15,"CIN","DEN",0.58,-0.08
"8","A.J. McCarron",2017,14,"CIN","MIN",-0.43,0
"9","A.J. McCarron",2018,8,"SFO","OAK",-1.31,0
"10","A.J. McCarron",2018,9,"SFO","OAK",-1.31,0
