"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Aaron Rodgers",2009,16,"GNB","ARI",1.25,0
"2","Aaron Rodgers",2012,9,"GNB","ARI",1.11,0
"3","Aaron Rodgers",2015,15,"GNB","ARI",-3.57,0
"4","Aaron Rodgers",2018,12,"GNB","ARI",-0.35,-0.32
"5","Aaron Rodgers",2008,5,"GNB","ATL",2.71,0.85
"6","Aaron Rodgers",2010,11,"GNB","ATL",-0.55,-0.07
"7","Aaron Rodgers",2011,5,"GNB","ATL",5.92,0
"8","Aaron Rodgers",2014,13,"GNB","ATL",4.61,0.1
"9","Aaron Rodgers",2016,8,"GNB","ATL",3.3,0.27
"10","Aaron Rodgers",2017,2,"GNB","ATL",-1.73,0
"11","Aaron Rodgers",2018,13,"GNB","ATL",0.92,0
"12","Aaron Rodgers",2009,12,"GNB","BAL",2.24,0
"13","Aaron Rodgers",2013,6,"GNB","BAL",4.35,0.61
"14","Aaron Rodgers",2010,2,"GNB","BUF",2.55,0
"15","Aaron Rodgers",2014,14,"GNB","BUF",-1.64,-0.44
"16","Aaron Rodgers",2018,4,"GNB","BUF",0.82,0
"17","Aaron Rodgers",2022,7,"GNB","BUF",-0.33,1.16
"18","Aaron Rodgers",2008,12,"GNB","CAR",2.68,-0.52
"19","Aaron Rodgers",2011,2,"GNB","CAR",2.6,0
"20","Aaron Rodgers",2014,7,"GNB","CAR",4.88,0
"21","Aaron Rodgers",2015,8,"GNB","CAR",1.71,-0.79
"22","Aaron Rodgers",2017,14,"GNB","CAR",-3.01,0.58
"23","Aaron Rodgers",2019,9,"GNB","CAR",-0.8,-0.41
"24","Aaron Rodgers",2008,10,"GNB","CHI",2.72,0
"25","Aaron Rodgers",2008,15,"GNB","CHI",0.63,-0.38
"26","Aaron Rodgers",2009,1,"GNB","CHI",-3.74,-0.22
"27","Aaron Rodgers",2009,13,"GNB","CHI",-1.3,0
"28","Aaron Rodgers",2010,16,"GNB","CHI",0.17,0
"29","Aaron Rodgers",2010,3,"GNB","CHI",2.69,-0.42
"30","Aaron Rodgers",2011,15,"GNB","CHI",7.09,0
"31","Aaron Rodgers",2011,3,"GNB","CHI",2.46,0
"32","Aaron Rodgers",2012,14,"GNB","CHI",2.28,-0.12
"33","Aaron Rodgers",2012,2,"GNB","CHI",-0.11,0
"34","Aaron Rodgers",2013,16,"GNB","CHI",3.17,0.5
"35","Aaron Rodgers",2013,8,"GNB","CHI",1.04,0
"36","Aaron Rodgers",2014,4,"GNB","CHI",4.72,0
"37","Aaron Rodgers",2014,9,"GNB","CHI",4.65,0
"38","Aaron Rodgers",2015,1,"GNB","CHI",3.74,0.37
"39","Aaron Rodgers",2015,11,"GNB","CHI",-3.09,-0.68
"40","Aaron Rodgers",2016,14,"GNB","CHI",-0.46,0.22
"41","Aaron Rodgers",2016,7,"GNB","CHI",2.34,-0.91
