"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Andrew Luck",2013,11,"IND","ARI",-2.09,0
"2","Andrew Luck",2014,5,"IND","BAL",0.95,0
"3","Andrew Luck",2012,11,"IND","BUF",-0.36,0.2
"4","Andrew Luck",2015,1,"IND","BUF",0.12,0
"5","Andrew Luck",2018,7,"IND","BUF",3.73,0
"6","Andrew Luck",2015,7,"IND","CAR",1.72,0.72
"7","Andrew Luck",2012,1,"IND","CHI",-2.39,0
"8","Andrew Luck",2016,5,"IND","CHI",0.72,0.65
"9","Andrew Luck",2013,13,"IND","CIN",1.78,0
"10","Andrew Luck",2014,6,"IND","CIN",3.45,-0.13
"11","Andrew Luck",2018,1,"IND","CIN",-1.92,-0.37
"12","Andrew Luck",2012,7,"IND","CLE",-2.18,-0.02
"13","Andrew Luck",2014,13,"IND","CLE",-1.57,1.56
"14","Andrew Luck",2014,15,"IND","DAL",-1.4,0
"15","Andrew Luck",2018,14,"IND","DAL",-0.16,0
"16","Andrew Luck",2013,7,"IND","DEN",0.21,0
"17","Andrew Luck",2014,1,"IND","DEN",-1.26,0.2
"18","Andrew Luck",2015,8,"IND","DEN",-3.25,-0.28
"19","Andrew Luck",2016,2,"IND","DEN",-4.55,0
"20","Andrew Luck",2012,12,"IND","DET",-0.51,1.26
"21","Andrew Luck",2016,1,"IND","DET",1.11,1.3
"22","Andrew Luck",2012,5,"IND","GNB",-3.72,0.22
"23","Andrew Luck",2016,8,"IND","GNB",-2.49,0.33
"24","Andrew Luck",2012,14,"IND","HOU",-1.37,0
"25","Andrew Luck",2012,16,"IND","HOU",-0.57,0
"26","Andrew Luck",2013,14,"IND","HOU",2.75,0
"27","Andrew Luck",2013,8,"IND","HOU",2.33,0
"28","Andrew Luck",2014,14,"IND","HOU",-3.35,-0.21
"29","Andrew Luck",2016,13,"IND","HOU",0.25,-0.31
"30","Andrew Luck",2016,6,"IND","HOU",-0.06,-0.75
"31","Andrew Luck",2018,13,"IND","HOU",4.69,-0.47
"32","Andrew Luck",2018,4,"IND","HOU",-0.11,0.38
"33","Andrew Luck",2012,10,"IND","NWE",3.61,0
"34","Andrew Luck",2012,13,"IND","TEN",-0.64,0.06
"35","Andrew Luck",2012,15,"IND","KAN",-0.75,0
"36","Andrew Luck",2012,2,"IND","MIN",0.51,-0.42
"37","Andrew Luck",2012,3,"IND","JAX",1.62,-0.51
"38","Andrew Luck",2012,4,"IND","GNB",-2.1,0.22
"39","Andrew Luck",2012,6,"IND","CLE",-1.62,0
"40","Andrew Luck",2012,8,"IND","MIA",-1.39,-0.12
"41","Andrew Luck",2012,9,"IND","JAX",1.92,0
"42","Andrew Luck",2013,1,"IND","OAK",1.57,0
"43","Andrew Luck",2013,10,"IND","TEN",-2.75,0.24
"44","Andrew Luck",2013,12,"IND","TEN",-0.65,0.23
"45","Andrew Luck",2013,15,"IND","KAN",1.78,0
"46","Andrew Luck",2013,16,"IND","JAX",2.54,0
"47","Andrew Luck",2013,2,"IND","MIA",-0.49,-0.17
"48","Andrew Luck",2013,3,"IND","SFO",-1.33,0
"49","Andrew Luck",2013,4,"IND","JAX",3.93,0
"50","Andrew Luck",2013,5,"IND","SEA",0.61,0
"51","Andrew Luck",2013,9,"IND","STL",-1.63,0
"52","Andrew Luck",2014,10,"IND","NWE",-1.56,0
"53","Andrew Luck",2014,11,"IND","JAX",0.4,0
"54","Andrew Luck",2014,12,"IND","WAS",3.37,0
"55","Andrew Luck",2014,16,"IND","TEN",1.75,0
"56","Andrew Luck",2014,2,"IND","PHI",2.63,-0.15
"57","Andrew Luck",2014,3,"IND","JAX",5.55,0
"58","Andrew Luck",2014,4,"IND","TEN",5.72,0
"59","Andrew Luck",2014,7,"IND","CIN",2.26,0
"60","Andrew Luck",2014,8,"IND","PIT",2.94,0
"61","Andrew Luck",2014,9,"IND","NYG",2.28,0
"62","Andrew Luck",2015,2,"IND","NYJ",-0.73,0
"63","Andrew Luck",2015,3,"IND","TEN",-0.05,0
"64","Andrew Luck",2015,6,"IND","NWE",0.42,0.5
"65","Andrew Luck",2015,9,"IND","DEN",0.07,0.01
"66","Andrew Luck",2016,10,"IND","TEN",2.65,0.17
"67","Andrew Luck",2016,12,"IND","NYJ",2.63,0
"68","Andrew Luck",2016,14,"IND","MIN",0.74,0
"69","Andrew Luck",2016,15,"IND","OAK",1.01,0
"70","Andrew Luck",2016,16,"IND","JAX",1.47,1.48
"71","Andrew Luck",2016,3,"IND","SDG",0.54,0.82
"72","Andrew Luck",2016,4,"IND","JAX",0.01,1.05
"73","Andrew Luck",2016,7,"IND","TEN",-1.64,0
"74","Andrew Luck",2016,9,"IND","GNB",-0.62,0.33
"75","Andrew Luck",2018,10,"IND","TEN",5.1,0
"76","Andrew Luck",2018,11,"IND","MIA",3.92,0.3
"77","Andrew Luck",2018,12,"IND","JAX",-2.18,-0.36
"78","Andrew Luck",2018,15,"IND","NYG",4.04,1.33
"79","Andrew Luck",2018,16,"IND","TEN",1.71,0
"80","Andrew Luck",2018,2,"IND","WAS",-0.16,0
"81","Andrew Luck",2018,3,"IND","PHI",-3.71,-0.66
"82","Andrew Luck",2018,5,"IND","NWE",-1.9,0
"83","Andrew Luck",2018,6,"IND","NYJ",2.47,0
"84","Andrew Luck",2018,8,"IND","OAK",1.72,0
"85","Andrew Luck",2018,9,"IND","JAX",0.72,-0.15
"86","Andrew Luck",2015,5,"IND","NWE",-0.7,0.5
"87","Andrew Luck",2016,11,"IND","TEN",2.65,0.17
