"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Andrew Walter",2006,7,"OAK","ARI",-2.49,0
"2","Andrew Walter",2006,2,"OAK","BAL",-2.21,0
"3","Andrew Walter",2008,9,"OAK","CAR",-1.74,0
"4","Andrew Walter",2006,4,"OAK","CLE",-2.51,-0.06
"5","Andrew Walter",2006,5,"OAK","DEN",-2.24,0
"6","Andrew Walter",2006,9,"OAK","DEN",-2.1,-0.32
"7","Andrew Walter",2007,13,"OAK","GNB",-0.5,0
"8","Andrew Walter",2006,10,"OAK","KAN",-0.4,-0.4
"9","Andrew Walter",2006,15,"OAK","KAN",-0.29,0
"10","Andrew Walter",2006,14,"OAK","STL",-0.37,0
"11","Andrew Walter",2006,1,"OAK","SDG",-1.12,0
"12","Andrew Walter",2008,13,"OAK","SDG",-1.43,0
"13","Andrew Walter",2006,3,"OAK","CLE",-1.5,-0.06
"14","Andrew Walter",2006,6,"OAK","ARI",2.28,0
"15","Andrew Walter",2006,8,"OAK","SEA",-3.79,0
