"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Andy Dalton",2011,15,"CIN","ARI",2.15,0
"2","Andy Dalton",2015,10,"CIN","ARI",-1.6,0.4
"3","Andy Dalton",2019,5,"CIN","ARI",2.92,1.43
"4","Andy Dalton",2020,6,"DAL","ARI",-2.18,0
"5","Andy Dalton",2022,7,"NOR","ARI",-1.91,0
"6","Andy Dalton",2014,2,"CIN","ATL",1.57,0
"7","Andy Dalton",2018,4,"CIN","ATL",1.14,0.13
"8","Andy Dalton",2020,2,"DAL","ATL",-0.18,0
"9","Andy Dalton",2022,14,"NOR","ATL",1.84,0
"10","Andy Dalton",2011,10,"CIN","BAL",-1.31,-0.18
"11","Andy Dalton",2011,16,"CIN","BAL",-2.78,-0.19
"12","Andy Dalton",2012,1,"CIN","BAL",-2.93,0
"13","Andy Dalton",2012,16,"CIN","BAL",-0.1,0
"14","Andy Dalton",2013,16,"CIN","BAL",3.16,0
"15","Andy Dalton",2013,9,"CIN","BAL",-4.33,0.03
"16","Andy Dalton",2014,1,"CIN","BAL",4.92,0
"17","Andy Dalton",2014,8,"CIN","BAL",0.23,0.43
"18","Andy Dalton",2015,3,"CIN","BAL",-0.02,0.57
"19","Andy Dalton",2016,11,"CIN","BAL",-1.75,-0.52
"20","Andy Dalton",2016,16,"CIN","BAL",0.29,0
"21","Andy Dalton",2017,1,"CIN","BAL",-3.57,0
"22","Andy Dalton",2017,16,"CIN","BAL",-0.43,-0.08
"23","Andy Dalton",2018,10,"CIN","BAL",-2.57,-0.28
"24","Andy Dalton",2018,2,"CIN","BAL",2.31,0.16
"25","Andy Dalton",2019,6,"CIN","BAL",-1.29,0.3
"26","Andy Dalton",2022,9,"NOR","BAL",-2.45,0
"27","Andy Dalton",2011,4,"CIN","BUF",-0.75,0.17
"28","Andy Dalton",2013,6,"CIN","BUF",-0.7,-0.78
"29","Andy Dalton",2015,6,"CIN","BUF",2.18,0
"30","Andy Dalton",2016,10,"CIN","BUF",-0.86,0.21
"31","Andy Dalton",2017,5,"CIN","BUF",2.03,-0.21
"32","Andy Dalton",2019,3,"CIN","BUF",-0.81,-0.6
"33","Andy Dalton",2014,6,"CIN","CAR",-2.45,0.19
"34","Andy Dalton",2018,3,"CIN","CAR",-1.29,-0.29
"35","Andy Dalton",2022,17,"NOR","CAR",-0.17,0
"36","Andy Dalton",2013,1,"CIN","CHI",-0.06,0
"37","Andy Dalton",2017,13,"CIN","CHI",-2.67,0
"38","Andy Dalton",2011,1,"CIN","CLE",-1.54,0
"39","Andy Dalton",2011,11,"CIN","CLE",1.42,0.33
"40","Andy Dalton",2011,12,"CIN","PIT",-1.73,0
"41","Andy Dalton",2011,13,"CIN","HOU",1.17,0.34
"42","Andy Dalton",2011,14,"CIN","STL",-0.18,0
"43","Andy Dalton",2011,2,"CIN","DEN",-0.72,-0.93
"44","Andy Dalton",2011,3,"CIN","SFO",-2.06,-0.36
"45","Andy Dalton",2011,5,"CIN","JAX",0.04,0.33
"46","Andy Dalton",2011,6,"CIN","IND",2.27,0
"47","Andy Dalton",2011,7,"CIN","SEA",-0.55,0
"48","Andy Dalton",2011,8,"CIN","TEN",-0.29,0
"49","Andy Dalton",2011,9,"CIN","PIT",-0.77,-0.28
"50","Andy Dalton",2012,10,"CIN","KAN",3.52,0
"51","Andy Dalton",2012,11,"CIN","OAK",1.95,0
"52","Andy Dalton",2012,12,"CIN","SDG",-0.38,0.16
"53","Andy Dalton",2012,13,"CIN","DAL",0.12,0
"54","Andy Dalton",2012,14,"CIN","PHI",-1.01,0
"55","Andy Dalton",2012,15,"CIN","PIT",-0.75,0.08
"56","Andy Dalton",2012,2,"CIN","CLE",1.51,0.3
"57","Andy Dalton",2012,3,"CIN","WAS",-0.02,-0.13
"58","Andy Dalton",2012,4,"CIN","JAX",1.64,0
"59","Andy Dalton",2012,5,"CIN","MIA",-1.29,-0.71
"60","Andy Dalton",2012,6,"CIN","CLE",-0.71,0
"61","Andy Dalton",2012,7,"CIN","PIT",-1.42,0
"62","Andy Dalton",2012,8,"CIN","DEN",-2.37,0
"63","Andy Dalton",2012,9,"CIN","NYG",3.39,0
"64","Andy Dalton",2013,10,"CIN","BAL",-2.35,0.05
"65","Andy Dalton",2013,11,"CIN","CLE",-1.95,0
"66","Andy Dalton",2013,12,"CIN","SDG",0.48,0
"67","Andy Dalton",2013,13,"CIN","IND",4.28,0
"68","Andy Dalton",2013,14,"CIN","PIT",0.33,0
"69","Andy Dalton",2013,15,"CIN","MIN",3.93,0
"70","Andy Dalton",2013,2,"CIN","PIT",-0.26,0
"71","Andy Dalton",2013,3,"CIN","GNB",1.39,0
"72","Andy Dalton",2013,4,"CIN","CLE",-1.81,0
"73","Andy Dalton",2013,5,"CIN","NWE",-0.25,-0.1
"74","Andy Dalton",2013,7,"CIN","DET",3.25,0.21
"75","Andy Dalton",2013,8,"CIN","NYJ",3.05,-0.02
"76","Andy Dalton",2014,10,"CIN","NOR",0.84,0
"77","Andy Dalton",2014,11,"CIN","HOU",-5.39,0.11
"78","Andy Dalton",2014,12,"CIN","TAM",1.49,0.26
"79","Andy Dalton",2014,13,"CIN","PIT",1.05,0
"80","Andy Dalton",2014,14,"CIN","CLE",-1.22,0
"81","Andy Dalton",2014,15,"CIN","DEN",-0.99,0
"82","Andy Dalton",2014,16,"CIN","PIT",-1.32,-0.26
"83","Andy Dalton",2014,3,"CIN","TEN",2.01,0
"84","Andy Dalton",2014,5,"CIN","CAR",1.18,0.19
"85","Andy Dalton",2014,7,"CIN","BAL",-4.66,0.43
"86","Andy Dalton",2014,9,"CIN","CLE",-3.95,0
"87","Andy Dalton",2015,1,"CIN","OAK",2.64,0
"88","Andy Dalton",2015,11,"CIN","STL",2.53,0
"89","Andy Dalton",2015,12,"CIN","CLE",4.33,0
"90","Andy Dalton",2015,13,"CIN","PIT",-0.22,0
"91","Andy Dalton",2015,2,"CIN","SDG",-1.9,0
"92","Andy Dalton",2015,4,"CIN","KAN",1.91,0
"93","Andy Dalton",2015,5,"CIN","SEA",-0.33,1.55
"94","Andy Dalton",2015,7,"CIN","PIT",-2.15,0.16
"95","Andy Dalton",2015,8,"CIN","CLE",1.42,0.16
"96","Andy Dalton",2015,9,"CIN","HOU",2.03,-0.4
"97","Andy Dalton",2016,1,"CIN","NYJ",0.82,0.46
"98","Andy Dalton",2016,12,"CIN","PHI",3.48,0
"99","Andy Dalton",2016,13,"CIN","CLE",1.98,0
"100","Andy Dalton",2016,14,"CIN","PIT",-0.26,0
"101","Andy Dalton",2016,15,"CIN","HOU",-0.95,0.06
"102","Andy Dalton",2016,2,"CIN","PIT",-0.68,0.29
"103","Andy Dalton",2016,3,"CIN","DEN",-0.07,0
"104","Andy Dalton",2016,4,"CIN","MIA",1.84,0
"105","Andy Dalton",2016,5,"CIN","DAL",2.91,0
"106","Andy Dalton",2016,6,"CIN","NWE",-1.24,0
"107","Andy Dalton",2016,7,"CIN","CLE",-1.51,0
"108","Andy Dalton",2016,8,"CIN","WAS",1.58,-0.78
"109","Andy Dalton",2016,9,"CIN","NYG",-0.65,-0.21
"110","Andy Dalton",2017,10,"CIN","DEN",0.51,0.07
"111","Andy Dalton",2017,11,"CIN","CLE",2.95,0.13
"112","Andy Dalton",2017,12,"CIN","PIT",0.36,-0.54
"113","Andy Dalton",2017,14,"CIN","MIN",-1.62,0
"114","Andy Dalton",2017,15,"CIN","DET",-1.13,0.25
"115","Andy Dalton",2017,2,"CIN","HOU",-2.46,-0.51
"116","Andy Dalton",2017,3,"CIN","GNB",-0.15,0
"117","Andy Dalton",2017,4,"CIN","CLE",5.94,0
"118","Andy Dalton",2017,6,"CIN","PIT",-1.85,0
"119","Andy Dalton",2017,7,"CIN","IND",-0.73,-0.23
"120","Andy Dalton",2017,8,"CIN","JAX",-0.46,-0.23
"121","Andy Dalton",2017,9,"CIN","TEN",3.86,-0.48
"122","Andy Dalton",2018,1,"CIN","IND",2.59,0
"123","Andy Dalton",2018,11,"CIN","CLE",-1.75,0
"124","Andy Dalton",2018,5,"CIN","MIA",0.46,-0.09
"125","Andy Dalton",2018,6,"CIN","PIT",-0.16,-0.35
"126","Andy Dalton",2018,7,"CIN","KAN",-0.59,-0.25
"127","Andy Dalton",2018,8,"CIN","TAM",0.88,-0.25
"128","Andy Dalton",2018,9,"CIN","NOR",-1.15,0
"129","Andy Dalton",2019,1,"CIN","SEA",1.13,-0.42
"130","Andy Dalton",2019,12,"CIN","NYJ",1,0
"131","Andy Dalton",2019,13,"CIN","CLE",-6.3,0
"132","Andy Dalton",2019,14,"CIN","NWE",-1.41,0
"133","Andy Dalton",2019,15,"CIN","MIA",4.85,1.86
"134","Andy Dalton",2019,16,"CIN","CLE",0.66,0
"135","Andy Dalton",2019,2,"CIN","SFO",-0.13,0
"136","Andy Dalton",2019,4,"CIN","PIT",-3.33,0
"137","Andy Dalton",2019,7,"CIN","JAX",-1.4,0
"138","Andy Dalton",2019,8,"CIN","LAR",-2.02,0
"139","Andy Dalton",2020,13,"DAL","CIN",1.78,0
"140","Andy Dalton",2022,6,"NOR","CIN",-1.22,-1.09
"141","Andy Dalton",2022,15,"NOR","CLE",-0.69,0
"142","Andy Dalton",2020,11,"DAL","WAS",-2.18,0
"143","Andy Dalton",2020,14,"DAL","SFO",-1.06,0
"144","Andy Dalton",2020,15,"DAL","PHI",1.6,0
"145","Andy Dalton",2020,5,"DAL","NYG",0.88,0.75
"146","Andy Dalton",2022,10,"NOR","LAR",2.17,0
"147","Andy Dalton",2022,4,"NOR","MIN",-0.48,0.04
"148","Andy Dalton",2022,11,"NOR","LAR",1.46,0
"149","Andy Dalton",2022,12,"NOR","SFO",-1.09,0.16
"150","Andy Dalton",2022,13,"NOR","TAM",0.45,0.16
"151","Andy Dalton",2022,16,"NOR","PHI",-0.91,0
"152","Andy Dalton",2022,5,"NOR","SEA",-0.47,0.17
"153","Andy Dalton",2022,8,"NOR","LVR",1.25,0
