"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Anthony Brown",2020,6,"ARI","DAL",-0.04,0
"2","Anthony Brown",2017,9,"ATL","DAL",0.22,0
"3","Anthony Brown",2016,10,"BAL","DAL",0.08,0
"4","Anthony Brown",2022,13,"PIT","BAL",-0.23,0
"5","Anthony Brown",2022,17,"BAL","CIN",-2.82,0
"6","Anthony Brown",2018,1,"CAR","DAL",0.14,0
"7","Anthony Brown",2016,3,"CHI","DAL",0.14,0
"8","Anthony Brown",2022,8,"CHI","DAL",-0.1,0
"9","Anthony Brown",2016,5,"CIN","DAL",-0.07,0
"10","Anthony Brown",2022,16,"BAL","CIN",-2.76,0
"11","Anthony Brown",2022,2,"CIN","DAL",0.4,0
"12","Anthony Brown",2016,1,"NYG","DAL",-0.13,0
"13","Anthony Brown",2016,11,"WAS","DAL",-0.75,0
"14","Anthony Brown",2016,12,"MIN","DAL",-0.09,0
"15","Anthony Brown",2016,14,"TAM","DAL",-0.18,0
"16","Anthony Brown",2016,15,"DET","DAL",-0.1,0
"17","Anthony Brown",2017,1,"NYG","DAL",-0.26,0
"18","Anthony Brown",2017,10,"PHI","DAL",1.25,0
"19","Anthony Brown",2017,11,"LAC","DAL",0.43,0
"20","Anthony Brown",2017,12,"WAS","DAL",-0.48,0
"21","Anthony Brown",2017,14,"OAK","DAL",-0.09,0
"22","Anthony Brown",2017,15,"SEA","DAL",-0.02,0
"23","Anthony Brown",2017,16,"PHI","DAL",-0.12,0
"24","Anthony Brown",2017,2,"DEN","DAL",-0.1,0
"25","Anthony Brown",2017,4,"LAR","DAL",-0.18,0
"26","Anthony Brown",2017,5,"GNB","DAL",0.01,0.15
"27","Anthony Brown",2017,6,"SFO","DAL",-0.02,0
"28","Anthony Brown",2017,7,"WAS","DAL",0.16,0
"29","Anthony Brown",2017,8,"KAN","DAL",0.46,0
"30","Anthony Brown",2018,11,"WAS","DAL",-0.18,0
"31","Anthony Brown",2018,12,"NOR","DAL",-0.73,0
"32","Anthony Brown",2018,13,"PHI","DAL",-0.21,-0.05
"33","Anthony Brown",2018,16,"NYG","DAL",-0.14,0
"34","Anthony Brown",2018,2,"NYG","DAL",-0.13,0
"35","Anthony Brown",2018,3,"SEA","DAL",-0.38,0
"36","Anthony Brown",2018,4,"DET","DAL",-0.05,0
"37","Anthony Brown",2018,5,"HOU","DAL",-0.14,0
"38","Anthony Brown",2018,6,"JAX","DAL",0.01,0
"39","Anthony Brown",2018,7,"WAS","DAL",-0.08,0
"40","Anthony Brown",2018,8,"TEN","DAL",0.02,0
"41","Anthony Brown",2018,9,"PHI","DAL",0.39,0
"42","Anthony Brown",2019,1,"NYG","DAL",-0.21,0
"43","Anthony Brown",2019,3,"MIA","DAL",-0.12,0
"44","Anthony Brown",2019,4,"NOR","DAL",-0.16,0
"45","Anthony Brown",2019,5,"GNB","DAL",0.07,0
"46","Anthony Brown",2020,14,"SFO","DAL",0.59,-0.43
"47","Anthony Brown",2020,15,"PHI","DAL",-0.19,0
"48","Anthony Brown",2020,5,"NYG","DAL",-0.86,0
"49","Anthony Brown",2020,9,"PIT","DAL",0.23,0
"50","Anthony Brown",2022,1,"TAM","DAL",1.55,0
"51","Anthony Brown",2022,10,"MIN","DAL",-0.07,0
"52","Anthony Brown",2022,11,"NYG","DAL",0.43,0
"53","Anthony Brown",2022,12,"IND","DAL",0.45,0
"54","Anthony Brown",2022,3,"NYG","DAL",0.09,0
"55","Anthony Brown",2022,4,"WAS","DAL",-0.13,0
"56","Anthony Brown",2022,5,"LAR","DAL",-0.36,0
"57","Anthony Brown",2022,7,"DET","DAL",0.2,0
"58","Anthony Brown",2022,6,"DET","DAL",0.2,0
"59","Anthony Brown",2020,8,"PIT","DAL",0.23,0
