"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Austin Davis",2014,9,"STL","ARI",-5.32,0
"2","Austin Davis",2015,11,"CLE","BAL",0.8,1.09
"3","Austin Davis",2015,12,"CLE","CIN",-2.37,0
"4","Austin Davis",2015,16,"CLE","PIT",-5.52,0
"5","Austin Davis",2014,3,"STL","DAL",-1.2,-0.05
"6","Austin Davis",2014,7,"STL","KAN",-4.26,0
"7","Austin Davis",2014,1,"STL","MIN",-2.37,0
"8","Austin Davis",2014,2,"STL","TAM",0.13,0.3
"9","Austin Davis",2014,4,"STL","PHI",-2.1,-0.76
"10","Austin Davis",2014,5,"STL","SFO",-0.71,-0.8
"11","Austin Davis",2014,6,"STL","SEA",-1.78,-0.06
"12","Austin Davis",2014,8,"STL","SFO",-0.98,-0.1
