"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Baker Mayfield",2019,14,"CLE","ARI",0.74,0
"2","Baker Mayfield",2022,4,"CAR","ARI",-1.82,0
"3","Baker Mayfield",2018,9,"CLE","ATL",4.12,0
"4","Baker Mayfield",2018,16,"CLE","BAL",0.32,-0.34
"5","Baker Mayfield",2018,5,"CLE","BAL",0.1,0.12
"6","Baker Mayfield",2019,15,"CLE","BAL",-1.51,0
"7","Baker Mayfield",2019,4,"CLE","BAL",-0.77,0
"8","Baker Mayfield",2020,13,"CLE","BAL",-2.6,0.86
"9","Baker Mayfield",2022,10,"CAR","BAL",-1.6,0
"10","Baker Mayfield",2019,9,"CLE","BUF",-0.65,0.59
"11","Baker Mayfield",2018,13,"CLE","CAR",-1.59,-0.04
"12","Baker Mayfield",2022,1,"CAR","CLE",0.34,1.24
"13","Baker Mayfield",2022,11,"CAR","BAL",-1.6,0
"14","Baker Mayfield",2022,2,"CAR","NYG",-1.56,-0.17
"15","Baker Mayfield",2022,3,"CAR","NOR",-0.59,0
"16","Baker Mayfield",2022,5,"CAR","SFO",-2.22,0
"17","Baker Mayfield",2022,9,"CAR","CIN",-0.19,0
"18","Baker Mayfield",2018,11,"CLE","CIN",4.53,0
"19","Baker Mayfield",2018,15,"CLE","CIN",0.33,0.61
"20","Baker Mayfield",2019,13,"CLE","CIN",1.07,0.38
"21","Baker Mayfield",2019,16,"CLE","CIN",0.28,0
"22","Baker Mayfield",2020,2,"CLE","CIN",2.47,0
"23","Baker Mayfield",2020,7,"CLE","CIN",4.55,1.14
"24","Baker Mayfield",2018,10,"CLE","ATL",4.89,0
"25","Baker Mayfield",2018,12,"CLE","HOU",-0.67,0
"26","Baker Mayfield",2018,14,"CLE","DEN",-1.09,-0.01
"27","Baker Mayfield",2018,3,"CLE","NYJ",1.39,-0.18
"28","Baker Mayfield",2018,4,"CLE","OAK",-3.19,-0.68
"29","Baker Mayfield",2018,6,"CLE","LAC",-3.07,0.44
"30","Baker Mayfield",2018,7,"CLE","TAM",-4.14,0.44
"31","Baker Mayfield",2018,8,"CLE","PIT",-1.29,0
"32","Baker Mayfield",2019,1,"CLE","TEN",-1.67,0
"33","Baker Mayfield",2019,10,"CLE","PIT",1.08,0
"34","Baker Mayfield",2019,11,"CLE","MIA",-0.13,0
"35","Baker Mayfield",2019,12,"CLE","PIT",-0.72,-0.37
"36","Baker Mayfield",2019,2,"CLE","NYJ",0.75,0
"37","Baker Mayfield",2019,3,"CLE","LAR",-2.3,-0.7
"38","Baker Mayfield",2019,5,"CLE","SFO",-2.94,0
"39","Baker Mayfield",2019,6,"CLE","SEA",0.07,-0.44
"40","Baker Mayfield",2019,7,"CLE","NWE",-1.61,0
"41","Baker Mayfield",2019,8,"CLE","DEN",-0.3,-0.5
"42","Baker Mayfield",2020,10,"CLE","PHI",-0.59,0
"43","Baker Mayfield",2020,11,"CLE","JAX",2.4,0.14
"44","Baker Mayfield",2020,12,"CLE","TEN",2.24,0
"45","Baker Mayfield",2020,16,"CLE","PIT",0.56,-0.55
"46","Baker Mayfield",2020,3,"CLE","WAS",2.92,0
"47","Baker Mayfield",2020,4,"CLE","DAL",1.04,0
"48","Baker Mayfield",2020,5,"CLE","IND",0.35,-0.15
"49","Baker Mayfield",2020,6,"CLE","PIT",-1.29,0
"50","Baker Mayfield",2020,8,"CLE","LVR",-0.71,0
"51","Baker Mayfield",2020,9,"CLE","HOU",-0.05,0
"52","Baker Mayfield",2022,15,"LAR","DEN",1.47,0
"53","Baker Mayfield",2022,14,"LAR","GNB",-1.46,0
"54","Baker Mayfield",2022,13,"LAR","LVR",-0.13,1.2
"55","Baker Mayfield",2022,16,"LAR","LAC",-1.47,0
"56","Baker Mayfield",2022,17,"LAR","SEA",-1.73,-0.15
