"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Ben Roethlisberger",2007,4,"PIT","ARI",-0.85,0.57
"2","Ben Roethlisberger",2011,6,"PIT","ARI",3.28,-0.3
"3","Ben Roethlisberger",2006,6,"PIT","ATL",3.18,0
"4","Ben Roethlisberger",2014,14,"PIT","ATL",0.53,0.47
"5","Ben Roethlisberger",2018,5,"PIT","ATL",2.67,0
"6","Ben Roethlisberger",2006,11,"PIT","BAL",-2.71,0
"7","Ben Roethlisberger",2006,15,"PIT","BAL",-3.41,0
"8","Ben Roethlisberger",2007,8,"PIT","BAL",3.47,0
"9","Ben Roethlisberger",2008,14,"PIT","BAL",-1.39,0.55
"10","Ben Roethlisberger",2008,3,"PIT","BAL",-2.99,-0.77
"11","Ben Roethlisberger",2009,15,"PIT","BAL",1.6,0.23
"12","Ben Roethlisberger",2010,12,"PIT","BAL",-0.11,0.2
"13","Ben Roethlisberger",2011,1,"PIT","BAL",-2.46,0
"14","Ben Roethlisberger",2011,8,"PIT","BAL",3.52,-0.14
"15","Ben Roethlisberger",2013,12,"PIT","BAL",-0.5,0.28
"16","Ben Roethlisberger",2013,7,"PIT","BAL",-0.85,-0.1
"17","Ben Roethlisberger",2014,2,"PIT","BAL",-1.56,0
"18","Ben Roethlisberger",2014,9,"PIT","BAL",2.29,0
"19","Ben Roethlisberger",2015,15,"PIT","BAL",-0.55,-0.66
"20","Ben Roethlisberger",2016,15,"PIT","BAL",2.89,1.61
"21","Ben Roethlisberger",2016,8,"PIT","BAL",-2.12,1.08
"22","Ben Roethlisberger",2017,13,"PIT","BAL",2.18,-0.11
"23","Ben Roethlisberger",2017,4,"PIT","BAL",0.99,0
"24","Ben Roethlisberger",2018,4,"PIT","BAL",-0.55,0
"25","Ben Roethlisberger",2018,9,"PIT","BAL",5.09,-0.23
"26","Ben Roethlisberger",2020,7,"PIT","BAL",-0.87,-0.05
"27","Ben Roethlisberger",2007,2,"PIT","BUF",2.34,0
"28","Ben Roethlisberger",2010,11,"PIT","BUF",0.69,-0.11
"29","Ben Roethlisberger",2013,10,"PIT","BUF",-0.5,-0.07
"30","Ben Roethlisberger",2016,13,"PIT","BUF",-2.6,0
"31","Ben Roethlisberger",2006,14,"PIT","CAR",-0.48,0
"32","Ben Roethlisberger",2010,15,"PIT","CAR",2.15,0
"33","Ben Roethlisberger",2014,3,"PIT","CAR",4.83,0
"34","Ben Roethlisberger",2009,2,"PIT","CHI",1.43,0.08
"35","Ben Roethlisberger",2013,3,"PIT","CHI",-0.64,0
"36","Ben Roethlisberger",2017,3,"PIT","CHI",-0.81,-0.59
"37","Ben Roethlisberger",2006,16,"PIT","CIN",-0.13,-0.27
"38","Ben Roethlisberger",2006,3,"PIT","CIN",-1.65,0.14
"39","Ben Roethlisberger",2007,12,"PIT","CIN",3.67,0
"40","Ben Roethlisberger",2007,7,"PIT","CIN",2.21,0
"41","Ben Roethlisberger",2008,11,"PIT","CIN",1.24,0
"42","Ben Roethlisberger",2008,7,"PIT","CIN",-3.32,-1.68
"43","Ben Roethlisberger",2009,3,"PIT","CIN",0.51,-0.64
"44","Ben Roethlisberger",2009,9,"PIT","CIN",-1.18,-0.71
"45","Ben Roethlisberger",2010,13,"PIT","CIN",0.82,0
"46","Ben Roethlisberger",2010,8,"PIT","CIN",-1.9,0
"47","Ben Roethlisberger",2011,12,"PIT","CIN",1.85,0
"48","Ben Roethlisberger",2011,9,"PIT","CIN",2.33,0.83
"49","Ben Roethlisberger",2012,15,"PIT","CIN",0.01,-0.02
"50","Ben Roethlisberger",2012,7,"PIT","CIN",1.4,0.14
"51","Ben Roethlisberger",2013,14,"PIT","CIN",4.1,0
