"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Blaine Gabbert",2015,11,"SFO","ARI",-0.3,-0.4
"2","Blaine Gabbert",2016,5,"SFO","ARI",-2.96,0
"3","Blaine Gabbert",2017,10,"ARI","HOU",0.49,0
"4","Blaine Gabbert",2017,11,"ARI","JAX",-1.47,-0.37
"5","Blaine Gabbert",2017,12,"ARI","LAR",-1.96,0
"6","Blaine Gabbert",2017,13,"ARI","TEN",-1.25,-0.13
"7","Blaine Gabbert",2017,14,"ARI","WAS",-3.7,-0.75
"8","Blaine Gabbert",2011,14,"JAX","ATL",-1.66,0
"9","Blaine Gabbert",2015,9,"SFO","ATL",0.69,-0.04
"10","Blaine Gabbert",2022,17,"TAM","ATL",-0.35,0
"11","Blaine Gabbert",2011,6,"JAX","BAL",-2.64,0
"12","Blaine Gabbert",2011,3,"JAX","CAR",-2.4,-0.02
"13","Blaine Gabbert",2016,2,"SFO","CAR",-0.89,0
"14","Blaine Gabbert",2012,5,"JAX","CHI",-4.18,0
"15","Blaine Gabbert",2015,12,"SFO","CHI",-1.58,0.62
"16","Blaine Gabbert",2011,5,"JAX","CIN",-0.76,-0.7
"17","Blaine Gabbert",2012,4,"JAX","CIN",0.82,0
"18","Blaine Gabbert",2015,14,"SFO","CIN",-5,0
"19","Blaine Gabbert",2011,10,"JAX","CLE",-1.59,-0.63
"20","Blaine Gabbert",2015,13,"SFO","CLE",-1.49,0
"21","Blaine Gabbert",2016,4,"SFO","DAL",-0.52,-0.25
"22","Blaine Gabbert",2014,6,"SFO","DEN",0.51,0
"23","Blaine Gabbert",2012,8,"JAX","DET",-1.45,-0.31
"24","Blaine Gabbert",2015,15,"SFO","DET",-2.59,0
"25","Blaine Gabbert",2020,5,"TAM","GNB",0.03,0
"26","Blaine Gabbert",2011,11,"JAX","HOU",-2.41,0
"27","Blaine Gabbert",2011,8,"JAX","HOU",-2.04,0
"28","Blaine Gabbert",2012,10,"JAX","HOU",-0.45,0
"29","Blaine Gabbert",2012,2,"JAX","HOU",-1.68,0
"30","Blaine Gabbert",2018,2,"TEN","HOU",-0.85,-0.02
"31","Blaine Gabbert",2011,16,"JAX","IND",2.6,0
"32","Blaine Gabbert",2012,3,"JAX","IND",0.23,1.04
"33","Blaine Gabbert",2012,9,"JAX","IND",-3.54,0
"34","Blaine Gabbert",2013,4,"JAX","IND",-3.41,0
"35","Blaine Gabbert",2018,10,"TEN","IND",-0.24,0
"36","Blaine Gabbert",2018,16,"TEN","IND",-0.85,0
"37","Blaine Gabbert",2011,12,"JAX","SDG",-1.51,0
"38","Blaine Gabbert",2011,13,"JAX","TAM",-0.22,0
"39","Blaine Gabbert",2011,15,"JAX","TEN",-1.78,0
"40","Blaine Gabbert",2011,2,"JAX","NYJ",0.04,0
"41","Blaine Gabbert",2011,4,"JAX","NOR",-2.02,0
"42","Blaine Gabbert",2011,7,"JAX","BAL",-1.27,0
"43","Blaine Gabbert",2011,9,"JAX","IND",-0.06,0
"44","Blaine Gabbert",2012,1,"JAX","MIN",0.6,0.69
"45","Blaine Gabbert",2012,6,"JAX","OAK",0.43,0
"46","Blaine Gabbert",2012,7,"JAX","GNB",-1.35,-0.31
"47","Blaine Gabbert",2013,1,"JAX","KAN",1.07,0
"48","Blaine Gabbert",2013,5,"JAX","STL",-1.44,0
"49","Blaine Gabbert",2018,3,"TEN","JAX",-0.66,0
"50","Blaine Gabbert",2015,16,"SFO","STL",-0.88,0.22
"51","Blaine Gabbert",2016,1,"SFO","LAR",-0.86,0
"52","Blaine Gabbert",2018,1,"TEN","MIA",-1.62,0
"53","Blaine Gabbert",2015,10,"SFO","SEA",-0.52,0
"54","Blaine Gabbert",2016,3,"SFO","SEA",-1.58,0
"55","Blaine Gabbert",2014,7,"SFO","DEN",0.51,0
"56","Blaine Gabbert",2020,6,"TAM","GNB",0.03,0
"57","Blaine Gabbert",2018,15,"TEN","WAS",1.55,0
