"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Blake Bortles",2017,11,"JAX","ARI",0.67,-0.44
"2","Blake Bortles",2019,12,"LAR","ARI",-0.5,0
"3","Blake Bortles",2015,14,"JAX","ATL",3.01,-0.37
"4","Blake Bortles",2014,14,"JAX","BAL",-2.7,-0.98
"5","Blake Bortles",2015,9,"JAX","BAL",-0.77,0.33
"6","Blake Bortles",2016,3,"JAX","BAL",-0.81,-1.02
"7","Blake Bortles",2017,3,"JAX","BAL",2.3,0
"8","Blake Bortles",2015,7,"JAX","BUF",-2.96,0.55
"9","Blake Bortles",2016,11,"JAX","BUF",-0.98,-0.62
"10","Blake Bortles",2018,11,"JAX","BUF",-1.19,1
"11","Blake Bortles",2015,1,"JAX","CAR",-4.14,0
"12","Blake Bortles",2016,6,"JAX","CHI",-2.67,0.7
"13","Blake Bortles",2014,8,"JAX","CIN",-2.53,0
"14","Blake Bortles",2017,8,"JAX","CIN",2.28,0
"15","Blake Bortles",2014,6,"JAX","CLE",-2.06,1.3
"16","Blake Bortles",2017,10,"JAX","CLE",-0.74,0
"17","Blake Bortles",2014,10,"JAX","DAL",-1.25,0
"18","Blake Bortles",2018,6,"JAX","DAL",-2.88,0
"19","Blake Bortles",2016,12,"JAX","DEN",-2.43,-0.42
"20","Blake Bortles",2016,10,"JAX","DET",-0.8,-0.43
"21","Blake Bortles",2016,1,"JAX","GNB",-0.14,-0.54
"22","Blake Bortles",2014,13,"JAX","HOU",-2.45,0
"23","Blake Bortles",2014,16,"JAX","HOU",-0.75,-0.14
"24","Blake Bortles",2015,16,"JAX","HOU",-2.41,0
"25","Blake Bortles",2015,6,"JAX","HOU",1.6,0
"26","Blake Bortles",2016,14,"JAX","HOU",-2.21,-1.02
"27","Blake Bortles",2016,9,"JAX","HOU",0.36,1.05
"28","Blake Bortles",2017,1,"JAX","HOU",0.14,0
"29","Blake Bortles",2017,14,"JAX","HOU",4.39,0
"30","Blake Bortles",2018,16,"JAX","HOU",-1.72,0
"31","Blake Bortles",2018,7,"JAX","HOU",-1.27,0
"32","Blake Bortles",2014,11,"JAX","IND",-1.94,0
"33","Blake Bortles",2014,3,"JAX","IND",-0.34,0
"34","Blake Bortles",2015,13,"JAX","IND",1.85,0
"35","Blake Bortles",2015,4,"JAX","IND",-0.5,0.07
"36","Blake Bortles",2016,16,"JAX","IND",-0.88,-0.45
"37","Blake Bortles",2016,4,"JAX","IND",0.6,-0.52
"38","Blake Bortles",2017,12,"JAX","IND",3.88,0
"39","Blake Bortles",2017,7,"JAX","IND",2.95,0
"40","Blake Bortles",2018,9,"JAX","IND",-0.53,-0.39
"41","Blake Bortles",2014,12,"JAX","NYG",-0.85,0.51
"42","Blake Bortles",2014,15,"JAX","TEN",-0.33,0.06
"43","Blake Bortles",2014,4,"JAX","SDG",-1.66,0
"44","Blake Bortles",2014,5,"JAX","PIT",-3.3,0
"45","Blake Bortles",2014,7,"JAX","CLE",-4.07,0
"46","Blake Bortles",2014,9,"JAX","CIN",-0.1,0
"47","Blake Bortles",2015,10,"JAX","TEN",-0.13,1.05
"48","Blake Bortles",2015,11,"JAX","SDG",-1.83,1.14
"49","Blake Bortles",2015,12,"JAX","TEN",-0.46,0.26
"50","Blake Bortles",2015,15,"JAX","NOR",0.85,0
"51","Blake Bortles",2015,2,"JAX","MIA",0.38,0.25
"52","Blake Bortles",2015,3,"JAX","NWE",-1.75,0
"53","Blake Bortles",2015,5,"JAX","TAM",0.9,0.37
"54","Blake Bortles",2015,8,"JAX","NYJ",-0.1,0.42
"55","Blake Bortles",2016,13,"JAX","MIN",-0.1,0
"56","Blake Bortles",2016,15,"JAX","TEN",3.18,0
"57","Blake Bortles",2016,2,"JAX","SDG",-1.51,0
"58","Blake Bortles",2016,5,"JAX","CHI",-0.67,0.7
"59","Blake Bortles",2016,7,"JAX","TEN",-3.8,0
"60","Blake Bortles",2016,8,"JAX","KAN",-3.27,-0.13
"61","Blake Bortles",2017,13,"JAX","SEA",1.15,-0.16
"62","Blake Bortles",2017,15,"JAX","SFO",3.03,1.02
"63","Blake Bortles",2017,16,"JAX","TEN",-1.74,-0.21
"64","Blake Bortles",2017,2,"JAX","TEN",-3.27,0
"65","Blake Bortles",2017,4,"JAX","NYJ",-1.55,-0.18
"66","Blake Bortles",2017,5,"JAX","PIT",-0.55,0
"67","Blake Bortles",2017,6,"JAX","LAR",-1.79,0
"68","Blake Bortles",2017,9,"JAX","LAC",-0.02,-0.67
"69","Blake Bortles",2018,1,"JAX","NYG",0.4,0
"70","Blake Bortles",2018,10,"JAX","PIT",-0.83,-0.05
"71","Blake Bortles",2018,15,"JAX","MIA",0.39,0
"72","Blake Bortles",2018,2,"JAX","NWE",3.58,0
"73","Blake Bortles",2018,3,"JAX","TEN",0.54,0.29
"74","Blake Bortles",2018,4,"JAX","NYJ",2.51,0
"75","Blake Bortles",2018,5,"JAX","KAN",-2.48,0
"76","Blake Bortles",2018,8,"JAX","PHI",-2.41,-0.4
"77","Blake Bortles",2019,9,"LAR","PIT",-0.13,0
