"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Brad Johnson",2006,11,"MIN","ARI",3.47,0
"2","Brad Johnson",2006,4,"MIN","BUF",-0.19,0.46
"3","Brad Johnson",2006,2,"MIN","CAR",-2.57,-0.75
"4","Brad Johnson",2006,12,"MIN","CHI",-1.72,0
"5","Brad Johnson",2006,3,"MIN","CHI",-2.38,-0.8
"6","Brad Johnson",2007,16,"DAL","WAS",-1.24,0
"7","Brad Johnson",2008,7,"DAL","STL",-2.33,0
"8","Brad Johnson",2008,8,"DAL","TAM",0.12,0
"9","Brad Johnson",2008,9,"DAL","NYG",-1.22,0
"10","Brad Johnson",2006,13,"MIN","DET",1.48,0
"11","Brad Johnson",2006,5,"MIN","DET",0.56,0
"12","Brad Johnson",2006,9,"MIN","GNB",0.86,0
"13","Brad Johnson",2006,16,"MIN","STL",0.08,0
"14","Brad Johnson",2008,6,"DAL","STL",-2.33,0
"15","Brad Johnson",2006,10,"MIN","MIA",-3.09,0
"16","Brad Johnson",2006,1,"MIN","WAS",-0.15,0.24
"17","Brad Johnson",2006,14,"MIN","NYJ",-0.48,0
"18","Brad Johnson",2006,6,"MIN","SEA",-1.65,0
"19","Brad Johnson",2006,7,"MIN","NWE",-2.89,0
"20","Brad Johnson",2006,8,"MIN","SFO",-2,-0.75
