"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Brandon Allen",2020,16,"CIN","BAL",-2.16,0
"2","Brandon Allen",2019,11,"DEN","BUF",-4.89,-0.56
"3","Brandon Allen",2022,9,"CIN","CAR",-0.03,0
"4","Brandon Allen",2020,11,"CIN","NYG",-2.45,-0.22
"5","Brandon Allen",2020,12,"CIN","MIA",-0.32,0
"6","Brandon Allen",2020,13,"CIN","DAL",1.79,0
"7","Brandon Allen",2020,15,"CIN","HOU",0.55,-0.02
"8","Brandon Allen",2019,8,"DEN","CLE",0.54,0
"9","Brandon Allen",2019,10,"DEN","MIN",-2.68,-0.56
"10","Brandon Allen",2019,9,"DEN","CLE",0.54,0
