"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Brandon Weeden",2014,8,"DAL","ARI",0.53,0
"2","Brandon Weeden",2015,3,"DAL","ATL",-0.9,0
"3","Brandon Weeden",2012,4,"CLE","BAL",-1.07,0.17
"4","Brandon Weeden",2012,8,"CLE","BAL",-3.49,-0.27
"5","Brandon Weeden",2013,2,"CLE","BAL",-1.77,0
"6","Brandon Weeden",2013,8,"CLE","BAL",-0.22,0
"7","Brandon Weeden",2012,3,"CLE","BUF",2.36,0
"8","Brandon Weeden",2013,5,"CLE","BUF",0.51,-0.1
"9","Brandon Weeden",2012,2,"CLE","CIN",0.57,0
"10","Brandon Weeden",2012,6,"CLE","CIN",-0.37,-0.39
"11","Brandon Weeden",2012,1,"CLE","PHI",-2.98,-0.59
"12","Brandon Weeden",2012,10,"CLE","DAL",0.04,0.08
"13","Brandon Weeden",2012,11,"CLE","PIT",-1.38,0
"14","Brandon Weeden",2012,12,"CLE","OAK",2.08,0
"15","Brandon Weeden",2012,13,"CLE","KAN",0.2,0
"16","Brandon Weeden",2012,14,"CLE","WAS",-2.76,0
"17","Brandon Weeden",2012,15,"CLE","DEN",-1.1,0
"18","Brandon Weeden",2012,5,"CLE","NYG",0.08,0
"19","Brandon Weeden",2012,7,"CLE","IND",-1.56,-0.51
"20","Brandon Weeden",2012,9,"CLE","BAL",-2.96,-0.16
"21","Brandon Weeden",2013,1,"CLE","MIA",-2.88,0
"22","Brandon Weeden",2013,11,"CLE","PIT",-0.91,0
"23","Brandon Weeden",2013,12,"CLE","JAX",1.62,-0.78
"24","Brandon Weeden",2013,6,"CLE","DET",-4.17,0
"25","Brandon Weeden",2013,7,"CLE","GNB",-3.02,0
"26","Brandon Weeden",2013,9,"CLE","BAL",-0.22,0
"27","Brandon Weeden",2014,10,"DAL","JAX",0.08,0
"28","Brandon Weeden",2014,15,"DAL","IND",0.71,0
"29","Brandon Weeden",2014,9,"DAL","ARI",-0.85,0
"30","Brandon Weeden",2015,2,"DAL","PHI",0.64,0
"31","Brandon Weeden",2015,4,"DAL","NOR",-2.75,0.64
"32","Brandon Weeden",2015,5,"DAL","NWE",-2.45,0
