"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Brett Favre",2006,8,"GNB","ARI",0.28,0
"2","Brett Favre",2008,4,"NYJ","ARI",3.53,0
"3","Brett Favre",2009,12,"MIN","ARI",0.41,0
"4","Brett Favre",2010,8,"MIN","ARI",1.25,1.46
"5","Brett Favre",2009,6,"MIN","BAL",3.69,0.02
"6","Brett Favre",2008,14,"NYJ","BUF",1.44,0
"7","Brett Favre",2008,8,"NYJ","BUF",0.35,0
"8","Brett Favre",2010,12,"MIN","BUF",-0.41,0
"9","Brett Favre",2007,10,"GNB","CAR",2.37,0
"10","Brett Favre",2009,14,"MIN","CAR",-1.77,0
"11","Brett Favre",2006,1,"GNB","CHI",-1.79,0
"12","Brett Favre",2006,16,"GNB","CHI",-0.29,0
"13","Brett Favre",2007,15,"GNB","CHI",-3.95,0
"14","Brett Favre",2007,5,"GNB","CHI",-2.65,-0.53
"15","Brett Favre",2009,11,"MIN","CHI",3.12,0
"16","Brett Favre",2009,15,"MIN","CHI",2.54,0.79
"17","Brett Favre",2010,14,"MIN","CHI",0.61,0
"18","Brett Favre",2010,9,"MIN","CHI",-1.41,0
"19","Brett Favre",2008,6,"NYJ","CIN",-2.73,-0.21
"20","Brett Favre",2009,13,"MIN","CIN",0.09,0
"21","Brett Favre",2009,1,"MIN","CLE",-0.42,0
"22","Brett Favre",2007,12,"GNB","DAL",-1.15,0
"23","Brett Favre",2010,5,"MIN","DAL",-1.8,-0.53
"24","Brett Favre",2007,7,"GNB","DEN",0.45,-0.1
"25","Brett Favre",2008,12,"NYJ","DEN",-1.03,0
"26","Brett Favre",2006,14,"GNB","DET",-2.53,0
"27","Brett Favre",2006,3,"GNB","DET",2.88,-0.11
"28","Brett Favre",2007,11,"GNB","DET",4.78,0.1
"29","Brett Favre",2007,16,"GNB","DET",3.07,0
"30","Brett Favre",2009,2,"MIN","DET",2.18,0
"31","Brett Favre",2009,9,"MIN","DET",2.7,0
"32","Brett Favre",2010,3,"MIN","DET",0.36,0
"33","Brett Favre",2006,10,"GNB","NWE",-2.48,0
"34","Brett Favre",2006,11,"GNB","SEA",-1.27,0
"35","Brett Favre",2006,13,"GNB","SFO",0.03,0
"36","Brett Favre",2006,15,"GNB","MIN",-1.49,0.1
"37","Brett Favre",2006,2,"GNB","NOR",-0.85,-0.69
"38","Brett Favre",2006,4,"GNB","PHI",-2.01,0
"39","Brett Favre",2006,5,"GNB","STL",-0.47,-0.24
"40","Brett Favre",2006,6,"GNB","MIA",1.14,0
"41","Brett Favre",2006,7,"GNB","ARI",3.66,0
"42","Brett Favre",2006,9,"GNB","MIN",4.57,-0.21
"43","Brett Favre",2007,1,"GNB","PHI",-2.8,-0.25
"44","Brett Favre",2007,13,"GNB","OAK",0.01,0
"45","Brett Favre",2007,14,"GNB","STL",1.64,0
"46","Brett Favre",2007,2,"GNB","NYG",1.6,0
"47","Brett Favre",2007,3,"GNB","SDG",-4.95,0.85
"48","Brett Favre",2007,4,"GNB","MIN",1.47,-0.49
"49","Brett Favre",2007,6,"GNB","WAS",-3.61,0
"50","Brett Favre",2007,8,"GNB","KAN",1.23,1.18
"51","Brett Favre",2007,9,"GNB","MIN",4.92,0
"52","Brett Favre",2009,4,"MIN","GNB",2.27,0
"53","Brett Favre",2009,7,"MIN","GNB",-0.33,0.2
"54","Brett Favre",2010,10,"MIN","GNB",-2.64,0
"55","Brett Favre",2010,7,"MIN","GNB",-1.71,-0.24
"56","Brett Favre",2008,7,"NYJ","KAN",1.73,1.28
"57","Brett Favre",2008,9,"NYJ","STL",1.88,0
"58","Brett Favre",2009,5,"MIN","STL",1.43,0
"59","Brett Favre",2008,3,"NYJ","SDG",2.05,0
"60","Brett Favre",2008,1,"NYJ","MIA",0.14,0
"61","Brett Favre",2008,16,"NYJ","MIA",-1.8,-0.08
"62","Brett Favre",2010,2,"MIN","MIA",-2.83,-0.55
"63","Brett Favre",2009,10,"MIN","SEA",3.9,0
"64","Brett Favre",2009,16,"MIN","NYG",5.67,0
"65","Brett Favre",2009,3,"MIN","SFO",0.58,0.9
"66","Brett Favre",2009,8,"MIN","GNB",1.51,0
"67","Brett Favre",2010,1,"MIN","NOR",-0.1,0
"68","Brett Favre",2010,11,"MIN","WAS",-0.05,0.2
"69","Brett Favre",2010,4,"MIN","NYJ",-0.65,-0.72
"70","Brett Favre",2010,6,"MIN","GNB",-1.3,-0.24
"71","Brett Favre",2008,10,"NYJ","NWE",-0.83,-0.51
"72","Brett Favre",2008,2,"NYJ","NWE",0.08,0
"73","Brett Favre",2008,11,"NYJ","TEN",0.67,0
"74","Brett Favre",2008,13,"NYJ","SFO",-2.36,0
"75","Brett Favre",2008,15,"NYJ","SEA",-1.62,-0.22
"76","Brett Favre",2008,5,"NYJ","CIN",-0.54,0.24
