"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Brett Hundley",2019,15,"ARI","SEA",0.17,0
"2","Brett Hundley",2019,16,"ARI","LAR",-0.31,0
"3","Brett Hundley",2019,8,"ARI","NOR",-0.31,0
"4","Brett Hundley",2017,10,"GNB","BAL",-2.38,0
"5","Brett Hundley",2017,4,"GNB","CHI",-0.16,0
"6","Brett Hundley",2017,13,"GNB","CLE",-1.55,1.12
"7","Brett Hundley",2017,16,"GNB","DET",0.28,0
"8","Brett Hundley",2017,8,"GNB","DET",-1.78,0
"9","Brett Hundley",2016,10,"GNB","WAS",-1.29,0
"10","Brett Hundley",2016,13,"GNB","SEA",-0.17,0
"11","Brett Hundley",2016,15,"GNB","MIN",-0.16,0
"12","Brett Hundley",2016,9,"GNB","TEN",-0.57,0
"13","Brett Hundley",2017,11,"GNB","PIT",0.19,-0.54
"14","Brett Hundley",2017,12,"GNB","TAM",-0.56,-0.51
"15","Brett Hundley",2017,15,"GNB","MIN",-1.02,0
"16","Brett Hundley",2017,6,"GNB","MIN",-2.7,0
"17","Brett Hundley",2017,7,"GNB","NOR",-0.79,0
