"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Brian Griese",2008,14,"TAM","ATL",-0.15,-0.27
"2","Brian Griese",2008,2,"TAM","ATL",-0.04,0
"3","Brian Griese",2006,5,"CHI","BUF",-0.16,0
"4","Brian Griese",2006,15,"CHI","DET",0.6,0.07
"5","Brian Griese",2006,16,"CHI","GNB",-0.25,0
"6","Brian Griese",2006,2,"CHI","DET",-0.08,0
"7","Brian Griese",2006,7,"CHI","SFO",-0.61,0
"8","Brian Griese",2007,13,"CHI","WAS",-2.78,0
"9","Brian Griese",2007,4,"CHI","DET",-1.26,0.88
"10","Brian Griese",2007,5,"CHI","GNB",-2.41,1.23
"11","Brian Griese",2007,7,"CHI","PHI",-2.54,0.8
"12","Brian Griese",2007,8,"CHI","DET",-0.55,0
"13","Brian Griese",2007,9,"CHI","OAK",1.25,0
"14","Brian Griese",2008,3,"TAM","CHI",-6.71,-0.26
"15","Brian Griese",2008,5,"TAM","DEN",-1.44,0
"16","Brian Griese",2008,4,"TAM","GNB",-1.64,0
"17","Brian Griese",2007,6,"CHI","PHI",-0.11,0.8
