"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Brian Hoyer",2012,15,"ARI","CHI",-1.01,0
"2","Brian Hoyer",2012,16,"ARI","SFO",1.82,0
"3","Brian Hoyer",2017,4,"SFO","ARI",-2.17,-0.68
"4","Brian Hoyer",2014,11,"CLE","ATL",-0.24,0.3
"5","Brian Hoyer",2014,3,"CLE","BAL",-0.7,-0.1
"6","Brian Hoyer",2010,15,"NWE","BUF",-0.35,0
"7","Brian Hoyer",2011,16,"NWE","BUF",0.33,0
"8","Brian Hoyer",2013,5,"CLE","BUF",-0.27,0
"9","Brian Hoyer",2014,12,"CLE","BUF",-1.37,0
"10","Brian Hoyer",2018,15,"NWE","BUF",-0.54,0
"11","Brian Hoyer",2014,15,"CLE","CAR",-0.08,0
"12","Brian Hoyer",2017,1,"SFO","CAR",-2.23,0
"13","Brian Hoyer",2016,2,"CHI","PHI",-0.45,0
"14","Brian Hoyer",2016,3,"CHI","DAL",-2.03,0
"15","Brian Hoyer",2016,4,"CHI","DET",3.93,0
"16","Brian Hoyer",2016,5,"CHI","IND",-4.49,-1.66
"17","Brian Hoyer",2016,6,"CHI","JAX",-2.48,-1.14
"18","Brian Hoyer",2016,7,"CHI","GNB",-0.04,0
"19","Brian Hoyer",2013,4,"CLE","CIN",-0.66,0
"20","Brian Hoyer",2014,9,"CLE","CIN",0.03,0
"21","Brian Hoyer",2010,8,"NWE","CLE",-0.69,0
"22","Brian Hoyer",2013,3,"CLE","MIN",-2.14,-0.12
"23","Brian Hoyer",2014,1,"CLE","PIT",-0.67,-0.51
"24","Brian Hoyer",2014,10,"CLE","HOU",-1.86,0
"25","Brian Hoyer",2014,13,"CLE","IND",-5.52,-0.27
"26","Brian Hoyer",2014,2,"CLE","NOR",-1.1,-0.03
"27","Brian Hoyer",2014,4,"CLE","TEN",-0.03,0.34
"28","Brian Hoyer",2014,5,"CLE","PIT",1.24,0.34
"29","Brian Hoyer",2014,6,"CLE","JAX",-2.16,0
"30","Brian Hoyer",2014,7,"CLE","OAK",-1.06,0
"31","Brian Hoyer",2014,8,"CLE","TAM",1,-0.47
"32","Brian Hoyer",2017,9,"NWE","DEN",0.09,0
"33","Brian Hoyer",2022,4,"NWE","GNB",-0.3,0
"34","Brian Hoyer",2009,16,"NWE","HOU",-0.95,-0.91
"35","Brian Hoyer",2017,5,"SFO","IND",-1.03,0.19
"36","Brian Hoyer",2019,8,"IND","PIT",-0.76,0.34
"37","Brian Hoyer",2019,9,"IND","MIA",-1.48,-0.34
"38","Brian Hoyer",2020,4,"NWE","KAN",-0.96,0
"39","Brian Hoyer",2017,3,"SFO","LAR",-2.59,-0.67
"40","Brian Hoyer",2010,16,"NWE","MIA",0.94,0
"41","Brian Hoyer",2009,11,"NWE","NOR",-0.27,0
"42","Brian Hoyer",2009,6,"NWE","TEN",0.38,0
"43","Brian Hoyer",2009,7,"NWE","TAM",0.08,0
"44","Brian Hoyer",2017,16,"NWE","NYJ",-0.37,0
"45","Brian Hoyer",2018,10,"NWE","TEN",-0.07,0
"46","Brian Hoyer",2017,2,"SFO","SEA",-1.75,0
"47","Brian Hoyer",2017,6,"SFO","WAS",-0.59,0
"48","Brian Hoyer",2018,9,"NWE","TEN",-0.07,0
