"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Brock Osweiler",2015,10,"DEN","CHI",1.59,-0.24
"2","Brock Osweiler",2018,5,"MIA","CHI",0.39,0.73
"3","Brock Osweiler",2015,15,"DEN","CIN",2.56,0.54
"4","Brock Osweiler",2017,10,"DEN","CIN",-0.28,-0.44
"5","Brock Osweiler",2012,16,"DEN","KAN",-0.26,0
"6","Brock Osweiler",2013,16,"DEN","OAK",-0.01,0
"7","Brock Osweiler",2013,4,"DEN","PHI",0.09,0
"8","Brock Osweiler",2014,14,"DEN","SDG",-0.42,0
"9","Brock Osweiler",2014,16,"DEN","OAK",0.96,0
"10","Brock Osweiler",2014,6,"DEN","SFO",-0.25,0
"11","Brock Osweiler",2014,9,"DEN","OAK",-0.73,0
"12","Brock Osweiler",2015,11,"DEN","NWE",-0.86,0.48
"13","Brock Osweiler",2015,12,"DEN","SDG",1.88,0
"14","Brock Osweiler",2015,13,"DEN","OAK",-3.32,-0.69
"15","Brock Osweiler",2015,14,"DEN","PIT",-1.03,-1.38
"16","Brock Osweiler",2015,16,"DEN","SDG",-2.45,0
"17","Brock Osweiler",2015,9,"DEN","KAN",1.36,0
"18","Brock Osweiler",2017,14,"DEN","IND",2.78,0
"19","Brock Osweiler",2017,15,"DEN","WAS",-2.32,0
"20","Brock Osweiler",2017,5,"DEN","NYG",-0.6,0
"21","Brock Osweiler",2017,8,"DEN","PHI",-0.74,0
"22","Brock Osweiler",2017,9,"DEN","NWE",-5.08,0
"23","Brock Osweiler",2018,6,"MIA","DET",-0.17,0.73
"24","Brock Osweiler",2018,9,"MIA","GNB",-2.28,-0.1
"25","Brock Osweiler",2018,8,"MIA","HOU",-3.43,0
"26","Brock Osweiler",2018,10,"MIA","GNB",-1.52,0
"27","Brock Osweiler",2018,13,"MIA","NWE",-0.23,0
"28","Brock Osweiler",2018,4,"MIA","NWE",0.3,0
"29","Brock Osweiler",2018,7,"MIA","DET",-0.56,0
"30","Brock Osweiler",2017,6,"DEN","NYG",-0.6,0
"31","Brock Osweiler",2014,7,"DEN","SFO",-0.25,0
