"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Bruce Gradkowski",2010,3,"OAK","ARI",-1.29,0.38
"2","Bruce Gradkowski",2006,13,"TAM","ATL",-1.28,0
"3","Bruce Gradkowski",2007,10,"TAM","ATL",-0.64,0
"4","Bruce Gradkowski",2006,1,"TAM","BAL",-1.1,0
"5","Bruce Gradkowski",2012,1,"CIN","BAL",-0.18,0
"6","Bruce Gradkowski",2012,16,"CIN","BAL",0.06,0
"7","Bruce Gradkowski",2006,3,"TAM","CAR",0.25,0
"8","Bruce Gradkowski",2006,9,"TAM","CAR",-5.38,0
"9","Bruce Gradkowski",2006,14,"TAM","CHI",-0.59,0
"10","Bruce Gradkowski",2006,5,"TAM","CIN",-3.74,-0.35
"11","Bruce Gradkowski",2008,15,"CLE","CIN",-0.82,0
"12","Bruce Gradkowski",2009,10,"OAK","CIN",0.34,1.07
"13","Bruce Gradkowski",2011,1,"CIN","CLE",0.25,0
"14","Bruce Gradkowski",2011,12,"CIN","PIT",-0.74,0
"15","Bruce Gradkowski",2008,16,"CLE","PIT",-2.78,0
"16","Bruce Gradkowski",2006,11,"TAM","DAL",-1.64,0
"17","Bruce Gradkowski",2009,11,"OAK","DAL",-1.16,0
"18","Bruce Gradkowski",2010,4,"OAK","HOU",0.01,-0.82
"19","Bruce Gradkowski",2007,5,"TAM","IND",-0.31,0
"20","Bruce Gradkowski",2009,9,"OAK","KAN",-0.76,0.42
"21","Bruce Gradkowski",2010,2,"OAK","STL",0.95,0.1
"22","Bruce Gradkowski",2009,1,"OAK","SDG",-0.09,-0.06
"23","Bruce Gradkowski",2010,5,"OAK","SDG",-0.71,0
"24","Bruce Gradkowski",2010,11,"OAK","MIA",-0.96,0
"25","Bruce Gradkowski",2006,8,"TAM","NOR",-0.25,0
"26","Bruce Gradkowski",2006,7,"TAM","NYG",-5.6,-0.38
"27","Bruce Gradkowski",2009,7,"OAK","NYJ",-1.5,0
"28","Bruce Gradkowski",2009,12,"OAK","PIT",0.45,-0.14
"29","Bruce Gradkowski",2009,13,"OAK","WAS",-0.77,0
"30","Bruce Gradkowski",2010,10,"OAK","PIT",-1.76,0
"31","Bruce Gradkowski",2006,12,"TAM","PIT",-3.02,0
"32","Bruce Gradkowski",2006,10,"TAM","WAS",2.25,0
"33","Bruce Gradkowski",2006,4,"TAM","NOR",-2.13,-0.72
"34","Bruce Gradkowski",2006,6,"TAM","PHI",-2.19,-0.38
"35","Bruce Gradkowski",2007,11,"TAM","WAS",-0.27,0
