"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Bryce Petty",2017,13,"NYJ","DEN",-1.11,0
"2","Bryce Petty",2016,12,"NYJ","IND",-1.42,0
"3","Bryce Petty",2016,9,"NYJ","LAR",-1.3,-0.36
"4","Bryce Petty",2017,15,"NYJ","LAC",3.36,0.18
"5","Bryce Petty",2016,14,"NYJ","MIA",0.26,0
"6","Bryce Petty",2016,8,"NYJ","MIA",-0.01,0
"7","Bryce Petty",2016,15,"NYJ","NWE",-0.68,0
"8","Bryce Petty",2017,16,"NYJ","NWE",-1.33,0
"9","Bryce Petty",2017,14,"NYJ","NOR",-1.24,0.32
"10","Bryce Petty",2016,10,"NYJ","LAR",-1.29,-0.36
"11","Bryce Petty",2016,13,"NYJ","SFO",-1.74,-0.23
