"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Byron Leftwich",2007,10,"ATL","TAM",-3.54,0
"2","Byron Leftwich",2007,5,"ATL","TEN",-1.39,-1.22
"3","Byron Leftwich",2007,7,"ATL","NOR",-0.52,0
"4","Byron Leftwich",2012,10,"PIT","BAL",-2.58,-0.7
"5","Byron Leftwich",2009,2,"TAM","BUF",-1.12,0
"6","Byron Leftwich",2008,7,"PIT","CIN",0.96,0
"7","Byron Leftwich",2008,16,"PIT","CLE",1.49,0
"8","Byron Leftwich",2010,16,"PIT","CLE",0.16,0
"9","Byron Leftwich",2006,1,"JAX","DAL",4.23,0
"10","Byron Leftwich",2009,1,"TAM","DAL",-1.56,0
"11","Byron Leftwich",2006,6,"JAX","HOU",-3.92,0
"12","Byron Leftwich",2008,1,"PIT","HOU",-0.54,0
"13","Byron Leftwich",2006,3,"JAX","IND",-2.85,-0.06
"14","Byron Leftwich",2006,2,"JAX","PIT",-0.62,0
"15","Byron Leftwich",2006,4,"JAX","WAS",1.29,-0.22
"16","Byron Leftwich",2006,5,"JAX","NYJ",1.13,0
"17","Byron Leftwich",2012,9,"PIT","KAN",0.57,0.25
"18","Byron Leftwich",2007,6,"ATL","NOR",-2.36,0
"19","Byron Leftwich",2009,3,"TAM","NYG",-1.69,0
"20","Byron Leftwich",2008,3,"PIT","PHI",-0.11,0
"21","Byron Leftwich",2008,6,"PIT","CIN",0.96,0
"22","Byron Leftwich",2008,8,"PIT","WAS",0.68,0
"23","Byron Leftwich",2007,4,"ATL","TEN",-1.39,-1.22
"24","Byron Leftwich",2008,9,"PIT","WAS",0.68,0
