"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","C.J. Beathard",2017,8,"SFO","ARI",-4.78,0
"2","C.J. Beathard",2018,5,"SFO","ARI",-1.01,0
"3","C.J. Beathard",2018,8,"SFO","ARI",-1.57,-1.01
"4","C.J. Beathard",2017,6,"SFO","DAL",-2.1,0.98
"5","C.J. Beathard",2020,14,"SFO","DAL",-0.04,1.01
"6","C.J. Beathard",2022,12,"JAX","DET",-0.23,0
"7","C.J. Beathard",2018,6,"SFO","GNB",0.81,-0.8
"8","C.J. Beathard",2022,16,"JAX","HOU",-0.71,0
"9","C.J. Beathard",2018,3,"SFO","KAN",-0.18,0
"10","C.J. Beathard",2018,7,"SFO","LAR",-1.97,0
"11","C.J. Beathard",2018,4,"SFO","LAC",-0.92,-0.24
"12","C.J. Beathard",2020,9,"SFO","NOR",-0.08,0
"13","C.J. Beathard",2017,9,"SFO","NYG",-0.95,0
"14","C.J. Beathard",2017,11,"SFO","SEA",-3.04,0
"15","C.J. Beathard",2017,10,"SFO","NYG",1.29,0
"16","C.J. Beathard",2017,7,"SFO","DAL",-1.82,0
"17","C.J. Beathard",2020,10,"SFO","NOR",-0.08,0
"18","C.J. Beathard",2017,5,"SFO","WAS",-0.28,0.98
