"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Cam Newton",2011,1,"CAR","ARI",-0.46,-0.33
"2","Cam Newton",2013,5,"CAR","ARI",-0.94,0
"3","Cam Newton",2016,8,"CAR","ARI",1.53,-0.1
"4","Cam Newton",2011,13,"CAR","ATL",-1.98,-0.58
"5","Cam Newton",2011,6,"CAR","ATL",3.09,0
"6","Cam Newton",2012,13,"CAR","ATL",4.41,0
"7","Cam Newton",2012,4,"CAR","ATL",0.19,-0.3
"8","Cam Newton",2013,16,"CAR","ATL",0.7,-0.11
"9","Cam Newton",2013,8,"CAR","ATL",1.45,0
"10","Cam Newton",2014,10,"CAR","ATL",-1.9,0.59
"11","Cam Newton",2014,16,"CAR","ATL",-2.81,0
"12","Cam Newton",2015,13,"CAR","ATL",2.17,0
"13","Cam Newton",2015,15,"CAR","ATL",-0.4,-0.68
"14","Cam Newton",2016,15,"CAR","ATL",-2.25,0
"15","Cam Newton",2016,4,"CAR","ATL",2.02,0
"16","Cam Newton",2017,16,"CAR","ATL",-1.54,0
"17","Cam Newton",2017,8,"CAR","ATL",-1.04,-0.77
"18","Cam Newton",2018,2,"CAR","ATL",-0.19,0.76
"19","Cam Newton",2014,4,"CAR","BAL",0.53,0
"20","Cam Newton",2018,8,"CAR","BAL",2.34,0
"21","Cam Newton",2013,2,"CAR","BUF",-1.94,-0.48
"22","Cam Newton",2017,2,"CAR","BUF",-0.65,-0.09
"23","Cam Newton",2011,10,"CAR","DET",-0.11,-0.41
"24","Cam Newton",2011,11,"CAR","IND",0.45,-0.13
"25","Cam Newton",2011,12,"CAR","TAM",2.5,0
"26","Cam Newton",2011,14,"CAR","HOU",0.12,0
"27","Cam Newton",2011,15,"CAR","TAM",3.55,0
"28","Cam Newton",2011,16,"CAR","NOR",-1.91,0
"29","Cam Newton",2011,2,"CAR","GNB",-1.15,0.01
"30","Cam Newton",2011,3,"CAR","JAX",0.48,0
"31","Cam Newton",2011,4,"CAR","CHI",-2.27,-0.13
"32","Cam Newton",2011,5,"CAR","NOR",0.16,-0.7
"33","Cam Newton",2011,7,"CAR","WAS",2.88,0
"34","Cam Newton",2011,8,"CAR","MIN",1.6,-0.04
"35","Cam Newton",2011,9,"CAR","TEN",-4.05,0
"36","Cam Newton",2012,1,"CAR","TAM",0.93,0
"37","Cam Newton",2012,10,"CAR","TAM",-0.32,0.17
"38","Cam Newton",2012,11,"CAR","PHI",4.78,0.41
"39","Cam Newton",2012,12,"CAR","KAN",1.17,-0.21
"40","Cam Newton",2012,14,"CAR","SDG",0.14,0
"41","Cam Newton",2012,15,"CAR","OAK",3.9,-0.11
"42","Cam Newton",2012,16,"CAR","NOR",1.11,0
"43","Cam Newton",2012,2,"CAR","NOR",0.22,-0.06
"44","Cam Newton",2012,3,"CAR","NYG",0.56,0
"45","Cam Newton",2012,5,"CAR","SEA",-2.03,-1.05
"46","Cam Newton",2012,6,"CAR","DAL",-1.93,-0.51
"47","Cam Newton",2012,7,"CAR","CHI",-1.43,-0.19
"48","Cam Newton",2012,8,"CAR","WAS",0.88,0
"49","Cam Newton",2012,9,"CAR","DEN",-0.61,0
"50","Cam Newton",2013,1,"CAR","SEA",-0.16,0
"51","Cam Newton",2013,10,"CAR","NWE",2.48,0.92
"52","Cam Newton",2013,11,"CAR","MIA",0.53,1.41
"53","Cam Newton",2013,12,"CAR","TAM",2.43,0
"54","Cam Newton",2013,13,"CAR","NOR",-2.34,0
"55","Cam Newton",2013,14,"CAR","NYJ",-3.43,0
"56","Cam Newton",2013,15,"CAR","NOR",-0.99,1.17
"57","Cam Newton",2013,3,"CAR","NYG",1.43,0
"58","Cam Newton",2013,4,"CAR","ARI",-1.83,0
"59","Cam Newton",2013,6,"CAR","STL",2.6,0
"60","Cam Newton",2013,7,"CAR","TAM",4.99,0
"61","Cam Newton",2013,9,"CAR","SFO",-1.36,-0.17
"62","Cam Newton",2014,11,"CAR","ATL",1.29,0.59
"63","Cam Newton",2014,12,"CAR","MIN",-2.49,0
"64","Cam Newton",2014,13,"CAR","NOR",1.51,0
"65","Cam Newton",2014,15,"CAR","CLE",1.69,0.45
"66","Cam Newton",2014,2,"CAR","DET",1.83,0
"67","Cam Newton",2014,3,"CAR","PIT",-1.15,0
"68","Cam Newton",2014,5,"CAR","CHI",3.76,0.34
"69","Cam Newton",2014,6,"CAR","CIN",0,-0.41
"70","Cam Newton",2014,7,"CAR","GNB",-2.26,0.29
"71","Cam Newton",2014,8,"CAR","SEA",-3.58,0.29
"72","Cam Newton",2014,9,"CAR","NOR",-6,0
"73","Cam Newton",2015,1,"CAR","JAX",-0.81,0.03
"74","Cam Newton",2015,10,"CAR","WAS",2.82,0
"75","Cam Newton",2015,11,"CAR","DAL",-1.1,0
"76","Cam Newton",2015,12,"CAR","NOR",2.38,1.01
"77","Cam Newton",2015,14,"CAR","NYG",2.52,0.06
"78","Cam Newton",2015,16,"CAR","TAM",2.27,0
"79","Cam Newton",2015,2,"CAR","HOU",-0.88,-0.13
"80","Cam Newton",2015,3,"CAR","NOR",2.55,0
"81","Cam Newton",2015,4,"CAR","TAM",1.48,0
"82","Cam Newton",2015,5,"CAR","SEA",-0.02,1.06
"83","Cam Newton",2015,6,"CAR","PHI",-0.12,1.06
"84","Cam Newton",2015,7,"CAR","IND",-0.16,-0.15
"85","Cam Newton",2015,8,"CAR","GNB",1.85,0.08
"86","Cam Newton",2015,9,"CAR","TEN",2.12,0
"87","Cam Newton",2016,1,"CAR","DEN",-0.17,-0.58
"88","Cam Newton",2016,10,"CAR","NOR",-1.3,-0.34
"89","Cam Newton",2016,11,"CAR","OAK",-1.62,-0.44
"90","Cam Newton",2016,12,"CAR","SEA",-1.13,0
"91","Cam Newton",2016,13,"CAR","SDG",-0.05,0
"92","Cam Newton",2016,14,"CAR","WAS",0.5,-0.1
"93","Cam Newton",2016,16,"CAR","TAM",-2.12,-0.17
"94","Cam Newton",2016,2,"CAR","SFO",2.1,0
"95","Cam Newton",2016,3,"CAR","MIN",-2.92,0
"96","Cam Newton",2016,6,"CAR","NOR",3.6,1.83
"97","Cam Newton",2016,7,"CAR","ARI",1.04,0
"98","Cam Newton",2016,9,"CAR","KAN",-0.32,-0.04
"99","Cam Newton",2017,1,"CAR","SFO",0.2,0
"100","Cam Newton",2017,10,"CAR","MIA",3.79,0
"101","Cam Newton",2017,11,"CAR","NYJ",-0.63,0.36
"102","Cam Newton",2017,12,"CAR","NOR",-0.18,0
"103","Cam Newton",2017,13,"CAR","MIN",-1.28,0.5
"104","Cam Newton",2017,14,"CAR","GNB",1.62,0
"105","Cam Newton",2017,15,"CAR","TAM",0.5,1.41
"106","Cam Newton",2017,3,"CAR","NOR",-5.32,0
"107","Cam Newton",2017,4,"CAR","NWE",1.35,-0.69
"108","Cam Newton",2017,5,"CAR","DET",0.77,0.07
"109","Cam Newton",2017,6,"CAR","PHI",-0.56,-0.73
"110","Cam Newton",2017,7,"CAR","CHI",-4.29,0
"111","Cam Newton",2017,9,"CAR","ATL",3.62,-0.77
"112","Cam Newton",2018,1,"CAR","DAL",-0.25,-0.28
"113","Cam Newton",2018,10,"CAR","DET",3.03,1.66
"114","Cam Newton",2018,11,"CAR","SEA",1.96,-0.35
"115","Cam Newton",2018,12,"CAR","TAM",0.58,-0.8
"116","Cam Newton",2018,13,"CAR","CLE",-0.85,-1.07
"117","Cam Newton",2018,14,"CAR","NOR",-1.19,-0.39
"118","Cam Newton",2018,3,"CAR","CIN",0.73,0.13
"119","Cam Newton",2018,4,"CAR","NYG",0.88,-0.27
"120","Cam Newton",2018,5,"CAR","WAS",2.61,-0.49
"121","Cam Newton",2018,6,"CAR","PHI",0.04,0.02
"122","Cam Newton",2018,7,"CAR","BAL",0.52,0.02
"123","Cam Newton",2018,9,"CAR","PIT",-0.89,0
"124","Cam Newton",2019,1,"CAR","LAR",-2.54,0
"125","Cam Newton",2019,2,"CAR","TAM",-1.64,0.44
"126","Cam Newton",2020,10,"NWE","HOU",0.73,-0.79
"127","Cam Newton",2020,14,"NWE","MIA",0.49,0
"128","Cam Newton",2016,5,"CAR","NOR",3.6,1.83
