"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Carson Palmer",2007,10,"CIN","ARI",-1.55,-0.94
"2","Carson Palmer",2013,1,"ARI","STL",-0.28,-0.12
"3","Carson Palmer",2013,10,"ARI","JAX",2.46,0
"4","Carson Palmer",2013,11,"ARI","IND",4.45,0
"5","Carson Palmer",2013,12,"ARI","PHI",0.48,0.08
"6","Carson Palmer",2013,13,"ARI","STL",2.08,0
"7","Carson Palmer",2013,14,"ARI","TEN",-3.14,0
"8","Carson Palmer",2013,15,"ARI","SEA",-1.44,0.55
"9","Carson Palmer",2013,16,"ARI","SFO",3.49,0.89
"10","Carson Palmer",2013,2,"ARI","DET",-0.3,0
"11","Carson Palmer",2013,3,"ARI","NOR",-3.22,0
"12","Carson Palmer",2013,4,"ARI","TAM",-0.51,0.51
"13","Carson Palmer",2013,5,"ARI","CAR",-0.08,-0.02
"14","Carson Palmer",2013,6,"ARI","SFO",-2.3,0
"15","Carson Palmer",2013,7,"ARI","SEA",0.98,0
"16","Carson Palmer",2013,8,"ARI","ATL",1.04,0
"17","Carson Palmer",2013,9,"ARI","HOU",2.01,0.38
"18","Carson Palmer",2014,1,"ARI","SDG",3,1.08
"19","Carson Palmer",2014,5,"ARI","WAS",0.79,-0.19
"20","Carson Palmer",2014,6,"ARI","OAK",-0.2,0
"21","Carson Palmer",2014,7,"ARI","PHI",0.2,0.97
"22","Carson Palmer",2014,8,"ARI","DAL",-1.06,0
"23","Carson Palmer",2014,9,"ARI","STL",-1.96,0
"24","Carson Palmer",2015,1,"ARI","NOR",2.62,-0.13
"25","Carson Palmer",2015,10,"ARI","CIN",3.82,0.43
"26","Carson Palmer",2015,11,"ARI","SFO",0.78,0.94
"27","Carson Palmer",2015,12,"ARI","STL",3.14,0
"28","Carson Palmer",2015,13,"ARI","MIN",3.09,0.39
"29","Carson Palmer",2015,14,"ARI","PHI",1.27,0
"30","Carson Palmer",2015,15,"ARI","GNB",2.77,0
"31","Carson Palmer",2015,16,"ARI","SEA",-0.7,0
"32","Carson Palmer",2015,2,"ARI","CHI",3.34,0
"33","Carson Palmer",2015,3,"ARI","SFO",2.54,0
"34","Carson Palmer",2015,4,"ARI","STL",0.74,-0.55
"35","Carson Palmer",2015,5,"ARI","DET",2.3,0
"36","Carson Palmer",2015,6,"ARI","PIT",0.91,-0.2
"37","Carson Palmer",2015,7,"ARI","BAL",3.4,0.39
"38","Carson Palmer",2015,8,"ARI","CLE",3.78,0
"39","Carson Palmer",2015,9,"ARI","SEA",3,0.07
"40","Carson Palmer",2016,1,"ARI","NWE",0.57,0.37
"41","Carson Palmer",2016,10,"ARI","MIN",-1.36,-0.4
"42","Carson Palmer",2016,11,"ARI","ATL",0.07,0
"43","Carson Palmer",2016,12,"ARI","WAS",1.28,0.75
"44","Carson Palmer",2016,13,"ARI","MIA",-1.89,0.35
"45","Carson Palmer",2016,14,"ARI","NOR",2.34,1.26
"46","Carson Palmer",2016,15,"ARI","SEA",0.86,-0.13
"47","Carson Palmer",2016,16,"ARI","LAR",2.09,0
"48","Carson Palmer",2016,2,"ARI","TAM",3.28,0
"49","Carson Palmer",2016,3,"ARI","BUF",-3.41,0
