"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Carson Wentz",2017,5,"PHI","ARI",2.17,0
"2","Carson Wentz",2016,10,"PHI","ATL",-0.62,0
"3","Carson Wentz",2019,2,"PHI","ATL",-0.45,-0.73
"4","Carson Wentz",2016,14,"PHI","BAL",-2.36,-0.22
"5","Carson Wentz",2019,7,"PHI","BUF",-2.02,0
"6","Carson Wentz",2017,6,"PHI","CAR",4.23,-0.1
"7","Carson Wentz",2018,6,"PHI","CAR",6.23,-0.76
"8","Carson Wentz",2016,2,"PHI","CHI",-2.31,0
"9","Carson Wentz",2017,11,"PHI","CHI",1.44,0
"10","Carson Wentz",2019,8,"PHI","CHI",0.75,0.29
"11","Carson Wentz",2022,6,"WAS","CHI",-0.84,0.22
"12","Carson Wentz",2016,12,"PHI","CIN",-2.72,0
"13","Carson Wentz",2016,1,"PHI","CLE",1.2,0
"14","Carson Wentz",2020,10,"PHI","CLE",-1.25,0.28
"15","Carson Wentz",2022,16,"WAS","CLE",-1.34,0
"16","Carson Wentz",2016,16,"PHI","DAL",2.33,-0.08
"17","Carson Wentz",2016,7,"PHI","DAL",-1.79,-0.58
"18","Carson Wentz",2017,10,"PHI","DAL",-0.02,0
"19","Carson Wentz",2018,13,"PHI","DAL",0.63,0.82
"20","Carson Wentz",2018,9,"PHI","DAL",3.02,-0.76
"21","Carson Wentz",2019,15,"PHI","DAL",0.8,0.15
"22","Carson Wentz",2022,4,"WAS","DAL",-2.55,0
"23","Carson Wentz",2017,8,"PHI","DEN",3.05,0
"24","Carson Wentz",2016,5,"PHI","DET",1.83,-0.63
"25","Carson Wentz",2019,3,"PHI","DET",-0.61,-1.53
"26","Carson Wentz",2022,2,"WAS","DET",-0.25,0
"27","Carson Wentz",2016,11,"PHI","GNB",-0.3,0
"28","Carson Wentz",2019,4,"PHI","GNB",1.38,0
"29","Carson Wentz",2018,3,"PHI","IND",-0.06,0.23
"30","Carson Wentz",2018,8,"PHI","JAX",2.32,0.24
"31","Carson Wentz",2022,1,"WAS","JAX",3.36,0.71
"32","Carson Wentz",2017,2,"PHI","KAN",-0.69,0.4
"33","Carson Wentz",2017,13,"PHI","LAR",1.37,0
"34","Carson Wentz",2017,4,"PHI","LAC",0.26,0.08
"35","Carson Wentz",2019,12,"PHI","MIA",3.63,0.64
"36","Carson Wentz",2016,6,"PHI","MIN",1.79,-0.49
"37","Carson Wentz",2018,5,"PHI","MIN",2.71,0.98
"38","Carson Wentz",2019,6,"PHI","MIN",-0.39,0
"39","Carson Wentz",2019,10,"PHI","NWE",-3.88,0.27
"40","Carson Wentz",2018,10,"PHI","NOR",-3.17,0
"41","Carson Wentz",2016,15,"PHI","NYG",0.61,-0.15
"42","Carson Wentz",2016,8,"PHI","NYG",-3.29,-0.44
"43","Carson Wentz",2017,3,"PHI","NYG",2.15,0.53
"44","Carson Wentz",2018,11,"PHI","NYG",3.2,0.43
"45","Carson Wentz",2019,13,"PHI","NYG",0.57,1.52
"46","Carson Wentz",2019,16,"PHI","NYG",-0.72,0
"47","Carson Wentz",2016,13,"PHI","WAS",1.76,-0.25
"48","Carson Wentz",2016,3,"PHI","PIT",2.3,0
"49","Carson Wentz",2016,4,"PHI","DET",1.88,-0.14
"50","Carson Wentz",2016,9,"PHI","ATL",1.07,0
"51","Carson Wentz",2017,1,"PHI","WAS",-0.11,0
"52","Carson Wentz",2017,12,"PHI","SEA",-0.95,0
"53","Carson Wentz",2017,7,"PHI","WAS",3.81,0
"54","Carson Wentz",2017,9,"PHI","DEN",3.07,0
"55","Carson Wentz",2018,12,"PHI","WAS",3.5,0
"56","Carson Wentz",2018,4,"PHI","TEN",0.74,0.1
"57","Carson Wentz",2018,7,"PHI","CAR",2.67,-0.76
"58","Carson Wentz",2019,1,"PHI","WAS",1.79,0
"59","Carson Wentz",2019,11,"PHI","SEA",-1.87,0.31
"60","Carson Wentz",2019,14,"PHI","WAS",3.88,1.46
"61","Carson Wentz",2019,5,"PHI","NYJ",0.46,0
"62","Carson Wentz",2019,9,"PHI","CHI",0.37,0.29
"63","Carson Wentz",2020,5,"PHI","PIT",-1.73,-0.09
"64","Carson Wentz",2022,3,"WAS","PHI",-4.65,0
"65","Carson Wentz",2020,4,"PHI","PIT",-1.73,-0.09
"66","Carson Wentz",2022,15,"WAS","SFO",0.5,0
"67","Carson Wentz",2022,5,"TEN","WAS",-1.68,-1.21
