"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Case Keenum",2016,4,"LAR","ARI",0.23,0.29
"2","Case Keenum",2018,7,"DEN","ARI",0.45,0
"3","Case Keenum",2017,12,"MIN","ATL",3.39,0.22
"4","Case Keenum",2015,10,"STL","BAL",-1.93,-0.55
"5","Case Keenum",2017,7,"MIN","BAL",0.45,0
"6","Case Keenum",2018,3,"DEN","BAL",-2.25,0
"7","Case Keenum",2016,5,"LAR","BUF",-5.86,-0.1
"8","Case Keenum",2022,2,"BUF","TEN",-0.19,0
"9","Case Keenum",2022,5,"BUF","PIT",-0.79,0
"10","Case Keenum",2016,8,"LAR","CAR",1.16,0.34
"11","Case Keenum",2017,13,"MIN","CAR",-0.09,-1.09
"12","Case Keenum",2017,16,"MIN","CHI",-0.43,0
"13","Case Keenum",2017,5,"MIN","CHI",0.9,0.13
"14","Case Keenum",2019,3,"WAS","CHI",-1.81,0
"15","Case Keenum",2017,14,"MIN","CIN",2.47,0
"16","Case Keenum",2018,12,"DEN","CIN",0.8,0
"17","Case Keenum",2017,8,"MIN","CLE",2.25,0
"18","Case Keenum",2018,14,"DEN","CLE",1.3,-0.39
"19","Case Keenum",2020,6,"CLE","PIT",-0.43,0
"20","Case Keenum",2019,16,"WAS","DAL",-2.41,0
"21","Case Keenum",2019,2,"WAS","DAL",3.11,0
"22","Case Keenum",2018,1,"DEN","SEA",2.69,0
"23","Case Keenum",2018,10,"DEN","LAC",-1.79,0.18
"24","Case Keenum",2018,11,"DEN","PIT",-0.18,0
"25","Case Keenum",2018,13,"DEN","SFO",-2.04,0.67
"26","Case Keenum",2018,15,"DEN","OAK",-0.38,0
"27","Case Keenum",2018,16,"DEN","LAC",-1.25,0
"28","Case Keenum",2018,2,"DEN","OAK",-0.14,0.15
"29","Case Keenum",2018,4,"DEN","KAN",-0.14,-0.31
"30","Case Keenum",2018,5,"DEN","NYJ",-0.5,0
"31","Case Keenum",2018,6,"DEN","LAR",-1.06,0.21
"32","Case Keenum",2018,8,"DEN","KAN",-0.86,0.09
"33","Case Keenum",2018,9,"DEN","HOU",1.4,0.17
"34","Case Keenum",2015,13,"STL","DET",0.39,0
"35","Case Keenum",2016,6,"LAR","DET",1.34,-0.29
"36","Case Keenum",2017,11,"MIN","DET",4.4,-0.11
"37","Case Keenum",2017,4,"MIN","DET",-0.43,-1.06
"38","Case Keenum",2017,15,"MIN","GNB",-0.28,0
"39","Case Keenum",2017,6,"MIN","GNB",-0.55,0
"40","Case Keenum",2015,14,"STL","TAM",3.13,0
"41","Case Keenum",2015,15,"STL","SEA",-0.31,0
"42","Case Keenum",2015,16,"STL","SFO",1.3,-0.51
"43","Case Keenum",2016,1,"LAR","SFO",-4.33,0
"44","Case Keenum",2016,14,"LAR","SEA",-0.64,0
"45","Case Keenum",2016,2,"LAR","SEA",0.3,-0.01
"46","Case Keenum",2016,3,"LAR","TAM",-2.34,-0.22
"47","Case Keenum",2016,7,"LAR","NYG",-3.11,-0.29
"48","Case Keenum",2016,9,"LAR","NYJ",-1.9,-0.18
"49","Case Keenum",2017,10,"MIN","LAR",1.82,0
"50","Case Keenum",2019,5,"WAS","MIA",0.93,0.17
"51","Case Keenum",2017,9,"MIN","WAS",2.95,0
"52","Case Keenum",2019,8,"WAS","MIN",-0.56,0
"53","Case Keenum",2019,15,"WAS","NYG",-0.12,0.03
"54","Case Keenum",2019,4,"WAS","NYG",-1.15,0
"55","Case Keenum",2016,10,"LAR","NYJ",-1.9,-0.18
"56","Case Keenum",2019,1,"WAS","PHI",1.27,0.28
"57","Case Keenum",2020,5,"CLE","PIT",-0.43,0
"58","Case Keenum",2019,6,"WAS","SFO",1.29,0.17
"59","Case Keenum",2019,7,"WAS","SFO",0.25,0
