"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Chad Henne",2008,2,"MIA","ARI",-0.59,0
"2","Chad Henne",2013,10,"JAX","ARI",-1.17,0
"3","Chad Henne",2022,1,"ARI","KAN",-0.18,0
"4","Chad Henne",2010,8,"MIA","BAL",-2.13,0
"5","Chad Henne",2017,3,"JAX","BAL",-0.26,0
"6","Chad Henne",2009,11,"MIA","BUF",-0.35,-0.1
"7","Chad Henne",2009,4,"MIA","BUF",0.16,0
"8","Chad Henne",2010,1,"MIA","BUF",-1.91,-0.57
"9","Chad Henne",2010,14,"MIA","BUF",1.87,0.64
"10","Chad Henne",2012,12,"JAX","BUF",-1.69,0
"11","Chad Henne",2013,14,"JAX","BUF",-1.49,-0.8
"12","Chad Henne",2009,10,"MIA","CAR",-0.37,0
"13","Chad Henne",2010,7,"MIA","CIN",-1.36,0
"14","Chad Henne",2010,12,"MIA","CLE",-1.26,-0.72
"15","Chad Henne",2011,3,"MIA","CLE",-0.19,-1.12
"16","Chad Henne",2013,12,"JAX","CLE",-4.78,-0.18
"17","Chad Henne",2013,6,"JAX","DEN",-2.01,0
"18","Chad Henne",2020,6,"KAN","DEN",0.85,0
"19","Chad Henne",2010,15,"MIA","DET",-0.34,-1.64
"20","Chad Henne",2010,6,"MIA","GNB",1.23,-0.92
"21","Chad Henne",2009,15,"MIA","HOU",0.14,0
"22","Chad Henne",2011,2,"MIA","HOU",-0.56,0
"23","Chad Henne",2012,10,"JAX","HOU",1.13,-0.47
"24","Chad Henne",2012,2,"JAX","HOU",-0.11,0
"25","Chad Henne",2013,11,"JAX","HOU",0.8,0.16
"26","Chad Henne",2013,13,"JAX","HOU",-0.33,-0.25
"27","Chad Henne",2012,9,"JAX","IND",-0.29,0
"28","Chad Henne",2013,16,"JAX","IND",-2.7,0
"29","Chad Henne",2014,3,"JAX","IND",-0.93,0
"30","Chad Henne",2009,13,"MIA","JAX",4.43,-0.17
"31","Chad Henne",2012,11,"JAX","TEN",-0.35,0
"32","Chad Henne",2012,13,"JAX","NYJ",-1.87,-0.17
"33","Chad Henne",2012,14,"JAX","MIA",-3.62,0
"34","Chad Henne",2012,15,"JAX","NWE",-1.38,-0.31
"35","Chad Henne",2012,16,"JAX","TEN",-3.94,0
"36","Chad Henne",2012,6,"JAX","OAK",-2.71,-0.54
"37","Chad Henne",2013,1,"JAX","KAN",-0.71,0
"38","Chad Henne",2013,15,"JAX","TEN",-0.59,-0.35
"39","Chad Henne",2013,2,"JAX","OAK",-1.44,0
"40","Chad Henne",2013,3,"JAX","SEA",-2.89,0
"41","Chad Henne",2013,5,"JAX","STL",-0.42,0
"42","Chad Henne",2013,7,"JAX","SDG",-1.9,0
"43","Chad Henne",2013,8,"JAX","SFO",-2.47,0
"44","Chad Henne",2013,9,"JAX","TEN",-1.19,-0.1
"45","Chad Henne",2014,1,"JAX","PHI",-0.7,0
"46","Chad Henne",2014,2,"JAX","WAS",-2.43,0
"47","Chad Henne",2018,16,"KAN","OAK",-0.13,0
"48","Chad Henne",2020,16,"KAN","LAC",-1.11,0
"49","Chad Henne",2020,7,"KAN","DEN",0.85,0
"50","Chad Henne",2020,8,"NYJ","KAN",-0.65,0
"51","Chad Henne",2022,7,"KAN","SFO",-0.29,0
"52","Chad Henne",2009,3,"MIA","SDG",-1.44,0
"53","Chad Henne",2011,4,"MIA","SDG",-0.25,0
"54","Chad Henne",2009,12,"MIA","NWE",-0.34,0.19
"55","Chad Henne",2009,14,"MIA","TEN",-0.91,0.3
"56","Chad Henne",2009,16,"MIA","PIT",-0.39,0
"57","Chad Henne",2009,5,"MIA","NYJ",-1.99,-0.22
"58","Chad Henne",2009,6,"MIA","NOR",-4.49,-0.27
"59","Chad Henne",2009,7,"MIA","NYJ",-0.77,0
"60","Chad Henne",2009,8,"MIA","NWE",-1.8,-0.34
"61","Chad Henne",2009,9,"MIA","TAM",-1.03,-0.78
"62","Chad Henne",2010,11,"MIA","OAK",2.05,0
"63","Chad Henne",2010,13,"MIA","NYJ",-2.45,-0.23
"64","Chad Henne",2010,16,"MIA","NWE",-3.12,0
"65","Chad Henne",2010,2,"MIA","MIN",-0.63,-0.15
"66","Chad Henne",2010,3,"MIA","NYJ",2.92,0.12
"67","Chad Henne",2010,4,"MIA","NWE",-1.84,0
"68","Chad Henne",2010,5,"MIA","GNB",1.45,-0.32
"69","Chad Henne",2010,9,"MIA","TEN",1.05,0
"70","Chad Henne",2011,1,"MIA","NWE",0.07,0
