"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Chad Pennington",2008,2,"MIA","ARI",1.11,0
"2","Chad Pennington",2009,1,"MIA","ATL",-1.17,0
"3","Chad Pennington",2008,6,"MIA","BAL",-0.43,0
"4","Chad Pennington",2006,13,"NYJ","BUF",-2.4,0
"5","Chad Pennington",2006,3,"NYJ","BUF",-0.49,0
"6","Chad Pennington",2007,4,"NYJ","BUF",-0.39,-0.72
"7","Chad Pennington",2007,7,"NYJ","BUF",-1.2,-0.18
"8","Chad Pennington",2008,13,"MIA","BUF",-1.16,0
"9","Chad Pennington",2008,7,"MIA","BUF",1.07,0
"10","Chad Pennington",2006,10,"NYJ","CHI",-1.67,0
"11","Chad Pennington",2007,6,"NYJ","CIN",-2.48,-0.47
"12","Chad Pennington",2006,7,"NYJ","CLE",-2.91,-0.37
"13","Chad Pennington",2008,8,"MIA","DEN",-0.63,0.23
"14","Chad Pennington",2006,11,"NYJ","HOU",3.4,0
"15","Chad Pennington",2008,5,"MIA","HOU",2.44,0.79
"16","Chad Pennington",2006,4,"NYJ","IND",1.43,-0.14
"17","Chad Pennington",2009,2,"MIA","IND",-0.56,0.17
"18","Chad Pennington",2006,5,"NYJ","JAX",-2.21,0
"19","Chad Pennington",2008,15,"MIA","KAN",1.67,0
"20","Chad Pennington",2008,12,"MIA","STL",1.05,0.18
"21","Chad Pennington",2009,3,"MIA","SDG",-1.25,0
"22","Chad Pennington",2006,15,"NYJ","MIA",0.12,0.5
"23","Chad Pennington",2006,6,"NYJ","MIA",1.02,-0.04
"24","Chad Pennington",2007,3,"NYJ","MIA",1.98,0
"25","Chad Pennington",2008,1,"MIA","NYJ",-1.37,-0.22
"26","Chad Pennington",2008,10,"MIA","OAK",-0.94,0.32
"27","Chad Pennington",2008,11,"MIA","NWE",0.27,0
"28","Chad Pennington",2008,14,"MIA","SFO",1.53,0.15
"29","Chad Pennington",2008,16,"MIA","NYJ",-0.25,-0.04
"30","Chad Pennington",2008,3,"MIA","NWE",0.87,0
"31","Chad Pennington",2008,4,"MIA","SDG",1.22,0.17
"32","Chad Pennington",2008,9,"MIA","SEA",-1.13,-0.04
"33","Chad Pennington",2010,9,"MIA","TEN",0.16,0
"34","Chad Pennington",2006,14,"NYJ","MIN",-1.42,0
"35","Chad Pennington",2006,2,"NYJ","NWE",0.16,0.06
"36","Chad Pennington",2006,9,"NYJ","NWE",-1.69,-0.13
"37","Chad Pennington",2007,1,"NYJ","NWE",-3.37,0
"38","Chad Pennington",2007,14,"NYJ","NWE",-1.89,0
"39","Chad Pennington",2007,5,"NYJ","NYG",-6.47,-0.06
"40","Chad Pennington",2006,1,"NYJ","TEN",1.33,0.74
"41","Chad Pennington",2006,16,"NYJ","OAK",1.21,0
"42","Chad Pennington",2006,8,"NYJ","CLE",-1.43,-0.37
"43","Chad Pennington",2007,15,"NYJ","TEN",-1.03,-0.64
"44","Chad Pennington",2007,8,"NYJ","BUF",-0.25,0
