"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Charlie Batch",2006,6,"PIT","ATL",2.32,1.32
"2","Charlie Batch",2006,11,"PIT","BAL",0.21,0
"3","Charlie Batch",2006,15,"PIT","BAL",-0.96,0
"4","Charlie Batch",2007,16,"PIT","BAL",2.09,0.88
"5","Charlie Batch",2007,8,"PIT","BAL",-0.38,0
"6","Charlie Batch",2010,4,"PIT","BAL",-0.65,-0.54
"7","Charlie Batch",2012,12,"PIT","BAL",-0.55,0.29
"8","Charlie Batch",2006,14,"PIT","CAR",0.44,0
"9","Charlie Batch",2011,12,"PIT","CIN",-0.22,0
"10","Charlie Batch",2011,13,"PIT","CLE",-0.79,0
"11","Charlie Batch",2012,11,"PIT","CLE",-2.02,-1.34
"12","Charlie Batch",2006,5,"PIT","KAN",-0.04,0
"13","Charlie Batch",2011,15,"PIT","STL",0.97,0
"14","Charlie Batch",2006,1,"PIT","MIA",1.48,0
"15","Charlie Batch",2010,2,"PIT","TEN",-1.45,0
"16","Charlie Batch",2010,3,"PIT","TAM",2.71,0
