"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Charlie Frye",2006,9,"CLE","ATL",-0.48,-0.2
"2","Charlie Frye",2006,3,"CLE","BAL",1.95,-0.35
"3","Charlie Frye",2009,16,"OAK","BAL",0.6,0
"4","Charlie Frye",2006,5,"CLE","CAR",-3.89,0
"5","Charlie Frye",2006,11,"CLE","CIN",-2.96,0
"6","Charlie Frye",2006,2,"CLE","CIN",-2.15,0
"7","Charlie Frye",2006,1,"CLE","NOR",-3.27,-0.45
"8","Charlie Frye",2006,10,"CLE","PIT",-1.73,-0.5
"9","Charlie Frye",2006,12,"CLE","KAN",0.39,0
"10","Charlie Frye",2006,16,"CLE","HOU",-3.48,0.51
"11","Charlie Frye",2006,4,"CLE","OAK",2.54,0.24
"12","Charlie Frye",2006,6,"CLE","DEN",-2.4,0
"13","Charlie Frye",2006,7,"CLE","NYJ",-0.9,0
"14","Charlie Frye",2006,8,"CLE","SDG",-3.49,0.51
"15","Charlie Frye",2007,1,"CLE","PIT",-1.72,0
"16","Charlie Frye",2009,15,"OAK","CLE",-2.7,0
"17","Charlie Frye",2009,14,"OAK","DEN",2.66,0
"18","Charlie Frye",2008,6,"SEA","GNB",-0.66,0
"19","Charlie Frye",2008,5,"SEA","GNB",-0.66,0
