"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Charlie Whitehurst",2010,9,"SEA","ARI",-0.05,0
"2","Charlie Whitehurst",2010,14,"SEA","ATL",-0.91,0
"3","Charlie Whitehurst",2011,7,"SEA","CIN",-0.85,0
"4","Charlie Whitehurst",2011,6,"SEA","CLE",-1.38,-0.7
"5","Charlie Whitehurst",2014,4,"TEN","CLE",-2.25,-1.37
"6","Charlie Whitehurst",2016,5,"CLE","NWE",-0.46,0
"7","Charlie Whitehurst",2015,14,"IND","HOU",-0.08,0
"8","Charlie Whitehurst",2014,16,"TEN","IND",-3.17,0
"9","Charlie Whitehurst",2015,12,"IND","PIT",-2.1,0
"10","Charlie Whitehurst",2015,13,"IND","JAX",-1.55,0
"11","Charlie Whitehurst",2015,15,"IND","MIA",-0.51,-0.3
"12","Charlie Whitehurst",2014,15,"TEN","JAX",-2.07,-0.01
"13","Charlie Whitehurst",2014,6,"TEN","JAX",0.59,0
"14","Charlie Whitehurst",2010,16,"SEA","STL",0.65,0
"15","Charlie Whitehurst",2006,2,"SDG","TEN",0.68,0
"16","Charlie Whitehurst",2010,8,"SEA","NYG",-1.91,0
"17","Charlie Whitehurst",2011,5,"SEA","NYG",-0.05,0.77
"18","Charlie Whitehurst",2014,14,"TEN","NYJ",-0.69,-0.45
"19","Charlie Whitehurst",2010,15,"SEA","TAM",-1.31,0
"20","Charlie Whitehurst",2014,5,"TEN","CLE",-0.71,-1.34
"21","Charlie Whitehurst",2014,7,"TEN","WAS",-0.14,0
