"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Chase Daniel",2010,8,"NOR","CAR",-0.19,0
"2","Chase Daniel",2011,16,"NOR","CAR",-0.11,0
"3","Chase Daniel",2018,11,"CHI","DET",1.69,0
"4","Chase Daniel",2018,12,"CHI","NYG",-0.5,-0.17
"5","Chase Daniel",2019,10,"CHI","LAR",-0.72,0
"6","Chase Daniel",2019,4,"CHI","MIN",-0.04,0
"7","Chase Daniel",2019,5,"CHI","OAK",0.6,-1.11
"8","Chase Daniel",2022,17,"LAC","DEN",-0.19,-0.1
"9","Chase Daniel",2015,8,"KAN","DET",-0.12,0
"10","Chase Daniel",2020,14,"DET","TEN",-0.26,0
"11","Chase Daniel",2013,13,"KAN","WAS",-0.24,0
"12","Chase Daniel",2013,14,"KAN","OAK",0.1,0
"13","Chase Daniel",2013,16,"KAN","SDG",-0.63,0.55
"14","Chase Daniel",2014,14,"KAN","OAK",-0.13,0
"15","Chase Daniel",2014,16,"KAN","SDG",0.51,0
"16","Chase Daniel",2022,16,"LAC","LAR",0.4,0
"17","Chase Daniel",2022,9,"LAC","SFO",-0.26,0
"18","Chase Daniel",2011,14,"NOR","MIN",0.18,0
"19","Chase Daniel",2010,16,"NOR","TAM",-0.16,0
"20","Chase Daniel",2010,9,"NOR","CAR",-0.19,0
"21","Chase Daniel",2011,11,"NOR","NYG",-0.42,0
"22","Chase Daniel",2012,10,"NOR","OAK",0.28,0
"23","Chase Daniel",2012,14,"NOR","TAM",0.25,0
"24","Chase Daniel",2016,15,"PHI","NYG",0.28,0
