"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Chris Redman",2007,15,"ATL","ARI",0.24,0.32
"2","Chris Redman",2007,12,"ATL","STL",-0.98,-0.76
"3","Chris Redman",2007,13,"ATL","NOR",-1.65,0
"4","Chris Redman",2007,14,"ATL","TAM",-2.03,0
"5","Chris Redman",2007,16,"ATL","SEA",1.15,0
"6","Chris Redman",2007,9,"ATL","CAR",0.08,0
"7","Chris Redman",2009,11,"ATL","TAM",1.61,1.02
"8","Chris Redman",2009,12,"ATL","PHI",-2.03,0
"9","Chris Redman",2009,13,"ATL","NOR",0.19,-0.88
"10","Chris Redman",2009,15,"ATL","BUF",-0.01,0
"11","Chris Redman",2010,16,"ATL","CAR",-0.09,0
"12","Chris Redman",2011,14,"ATL","JAX",0.57,0
"13","Chris Redman",2011,15,"ATL","NOR",-0.57,0
"14","Chris Redman",2011,16,"ATL","TAM",-2.1,0
"15","Chris Redman",2011,7,"ATL","DET",-0.11,0
