"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Christian Ponder",2012,7,"MIN","ARI",-2.13,0
"2","Christian Ponder",2011,11,"MIN","ATL",-0.38,0
"3","Christian Ponder",2014,4,"MIN","ATL",-0.12,0
"4","Christian Ponder",2011,8,"MIN","CAR",-1.06,-0.21
"5","Christian Ponder",2011,16,"MIN","CHI",-4.39,0
"6","Christian Ponder",2011,6,"MIN","CHI",-1.45,0
"7","Christian Ponder",2012,11,"MIN","CHI",-2.64,0
"8","Christian Ponder",2012,13,"MIN","CHI",-0.55,0
"9","Christian Ponder",2013,12,"MIN","CHI",-5.57,0
"10","Christian Ponder",2013,2,"MIN","CHI",-0.69,-0.18
"11","Christian Ponder",2013,3,"MIN","CLE",-0.74,-0.68
"12","Christian Ponder",2013,9,"MIN","DAL",-0.16,-0.5
"13","Christian Ponder",2011,12,"MIN","DEN",1.57,-0.79
"14","Christian Ponder",2011,13,"MIN","DET",-1.55,0
"15","Christian Ponder",2012,4,"MIN","DET",-0.8,0.13
"16","Christian Ponder",2012,9,"MIN","DET",-2.76,0
"17","Christian Ponder",2013,1,"MIN","DET",-0.21,0
"18","Christian Ponder",2011,7,"MIN","GNB",-0.89,-0.12
"19","Christian Ponder",2011,9,"MIN","GNB",-1.95,0
"20","Christian Ponder",2012,12,"MIN","GNB",-1.07,0
"21","Christian Ponder",2012,16,"MIN","GNB",0.82,-0.14
"22","Christian Ponder",2013,11,"MIN","GNB",-1.45,-0.36
"23","Christian Ponder",2013,7,"MIN","GNB",-0.28,0
"24","Christian Ponder",2014,5,"MIN","GNB",-3.81,0
"25","Christian Ponder",2012,15,"MIN","HOU",-0.24,0
"26","Christian Ponder",2012,2,"MIN","IND",1.18,0.88
"27","Christian Ponder",2012,1,"MIN","JAX",-0.66,-0.43
"28","Christian Ponder",2012,14,"MIN","STL",-0.23,0
"29","Christian Ponder",2011,10,"MIN","OAK",1.53,-0.09
"30","Christian Ponder",2011,14,"MIN","NOR",-1.57,0
"31","Christian Ponder",2011,15,"MIN","WAS",0.13,0
"32","Christian Ponder",2012,10,"MIN","DET",0.05,0
"33","Christian Ponder",2012,3,"MIN","SFO",0.99,0
"34","Christian Ponder",2012,5,"MIN","TEN",3.13,0
"35","Christian Ponder",2012,6,"MIN","WAS",1.17,0.99
"36","Christian Ponder",2012,8,"MIN","TAM",1.14,0
"37","Christian Ponder",2013,10,"MIN","SEA",-0.86,0
"38","Christian Ponder",2013,8,"MIN","DAL",-1.93,-0.49
