"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Cleo Lemon",2007,14,"MIA","BAL",-0.67,0.06
"2","Cleo Lemon",2006,14,"MIA","BUF",-0.97,0
"3","Cleo Lemon",2007,13,"MIA","BUF",-3.22,0
"4","Cleo Lemon",2007,9,"MIA","BUF",-2.21,-0.71
"5","Cleo Lemon",2007,16,"MIA","CIN",-2.17,0
"6","Cleo Lemon",2007,6,"MIA","CLE",-1.23,0
"7","Cleo Lemon",2008,9,"JAX","DET",-0.21,0
"8","Cleo Lemon",2007,5,"MIA","HOU",-1.27,-0.45
"9","Cleo Lemon",2006,16,"MIA","IND",-1.02,0.12
"10","Cleo Lemon",2006,15,"MIA","NYJ",0.83,0.04
"11","Cleo Lemon",2007,15,"MIA","NWE",-5.65,0
"12","Cleo Lemon",2007,7,"MIA","NWE",-2.3,0
"13","Cleo Lemon",2007,8,"MIA","NYG",-1.23,0.43
