"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Cody Kessler",2016,9,"CLE","BAL",0.75,0
"2","Cody Kessler",2016,7,"CLE","CIN",-0.22,0
"3","Cody Kessler",2017,11,"CLE","CIN",-0.19,0
"4","Cody Kessler",2016,10,"CLE","BAL",-0.9,0
"5","Cody Kessler",2016,11,"CLE","PIT",-1,0
"6","Cody Kessler",2016,15,"CLE","SDG",-0.36,0
"7","Cody Kessler",2016,3,"CLE","MIA",-1.12,-0.22
"8","Cody Kessler",2016,4,"CLE","WAS",-1.3,0
"9","Cody Kessler",2016,5,"CLE","NWE",-0.88,0
"10","Cody Kessler",2016,6,"CLE","TEN",-0.52,0
"11","Cody Kessler",2017,7,"CLE","TEN",-0.37,-0.09
"12","Cody Kessler",2017,9,"CLE","DET",-0.83,0
"13","Cody Kessler",2016,8,"CLE","DAL",0.83,0
"14","Cody Kessler",2018,7,"JAX","HOU",-0.27,0
"15","Cody Kessler",2018,12,"JAX","IND",0.05,-0.06
"16","Cody Kessler",2018,13,"JAX","TEN",-2.69,0
"17","Cody Kessler",2018,14,"JAX","WAS",-2.08,-0.67
"18","Cody Kessler",2018,15,"JAX","MIA",-1.15,0
