"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Colin Kaepernick",2012,16,"SFO","ARI",2.54,0
"2","Colin Kaepernick",2013,16,"SFO","ARI",-0.13,-0.04
"3","Colin Kaepernick",2013,6,"SFO","ARI",-0.34,0
"4","Colin Kaepernick",2014,16,"SFO","ARI",0.99,-0.15
"5","Colin Kaepernick",2014,3,"SFO","ARI",0.09,0
"6","Colin Kaepernick",2015,3,"SFO","ARI",-2.74,0
"7","Colin Kaepernick",2016,9,"SFO","ARI",-0.22,0.44
"8","Colin Kaepernick",2013,15,"SFO","ATL",2.15,0
"9","Colin Kaepernick",2015,9,"SFO","ATL",-0.12,0
"10","Colin Kaepernick",2016,14,"SFO","ATL",-1.23,0
"11","Colin Kaepernick",2015,6,"SFO","BAL",0.06,-0.03
"12","Colin Kaepernick",2012,5,"SFO","BUF",0.3,0
"13","Colin Kaepernick",2016,6,"SFO","BUF",-5.37,0
"14","Colin Kaepernick",2013,9,"SFO","CAR",-3.68,-0.78
"15","Colin Kaepernick",2012,10,"SFO","CHI",4.01,0
"16","Colin Kaepernick",2014,2,"SFO","CHI",0.86,-0.68
"17","Colin Kaepernick",2014,1,"SFO","DAL",1.62,0
"18","Colin Kaepernick",2014,6,"SFO","DEN",5.46,0
"19","Colin Kaepernick",2012,1,"SFO","GNB",0.19,0
"20","Colin Kaepernick",2013,1,"SFO","GNB",3.37,0.45
"21","Colin Kaepernick",2015,4,"SFO","GNB",-2.36,0
"22","Colin Kaepernick",2013,5,"SFO","HOU",-0.55,0
"23","Colin Kaepernick",2013,3,"SFO","IND",-2.35,0
"24","Colin Kaepernick",2013,8,"SFO","JAX",3.84,0
"25","Colin Kaepernick",2014,5,"SFO","KAN",3.83,-0.22
"26","Colin Kaepernick",2011,12,"SFO","STL",-0.31,0
"27","Colin Kaepernick",2012,12,"SFO","STL",-1.11,-1.14
"28","Colin Kaepernick",2012,9,"SFO","STL",1.02,0.13
"29","Colin Kaepernick",2013,12,"SFO","STL",2.71,0
"30","Colin Kaepernick",2013,4,"SFO","STL",0.9,0
"31","Colin Kaepernick",2014,8,"SFO","STL",-0.74,0.01
"32","Colin Kaepernick",2015,7,"SFO","STL",-5.87,0
"33","Colin Kaepernick",2016,15,"SFO","LAR",-0.91,0.29
"34","Colin Kaepernick",2014,15,"SFO","SDG",-1.59,-0.61
"35","Colin Kaepernick",2012,13,"SFO","MIA",-1.41,-0.15
"36","Colin Kaepernick",2016,11,"SFO","MIA",-1.32,-0.22
"37","Colin Kaepernick",2015,1,"SFO","MIN",0.42,0
"38","Colin Kaepernick",2012,14,"SFO","NWE",0.58,0
"39","Colin Kaepernick",2016,10,"SFO","NWE",-1.55,0
"40","Colin Kaepernick",2012,11,"SFO","NOR",1.07,0
"41","Colin Kaepernick",2013,10,"SFO","NOR",-0.52,-0.05
"42","Colin Kaepernick",2014,9,"SFO","NOR",-1.11,-0.18
"43","Colin Kaepernick",2016,8,"SFO","NOR",-0.44,0
"44","Colin Kaepernick",2012,6,"SFO","NYG",-0.1,0
"45","Colin Kaepernick",2014,10,"SFO","NYG",1.12,0.11
"46","Colin Kaepernick",2015,5,"SFO","NYG",-0.29,-0.62
"47","Colin Kaepernick",2012,4,"SFO","NYJ",1.11,0
"48","Colin Kaepernick",2016,13,"SFO","NYJ",0.28,-0.52
"49","Colin Kaepernick",2014,13,"SFO","OAK",-3.53,0
"50","Colin Kaepernick",2014,4,"SFO","PHI",-2.48,0
"51","Colin Kaepernick",2015,2,"SFO","PIT",-1.82,0
"52","Colin Kaepernick",2012,15,"SFO","SEA",-2.11,0
"53","Colin Kaepernick",2012,7,"SFO","SEA",-0.14,0
"54","Colin Kaepernick",2013,13,"SFO","SEA",0.11,0.18
"55","Colin Kaepernick",2013,2,"SFO","SEA",-3.22,0
"56","Colin Kaepernick",2014,12,"SFO","SEA",-3.74,0
"57","Colin Kaepernick",2014,14,"SFO","SEA",-3.25,0
"58","Colin Kaepernick",2016,16,"SFO","SEA",-1.95,0
"59","Colin Kaepernick",2011,5,"SFO","TAM",0.64,0
"60","Colin Kaepernick",2013,11,"SFO","WAS",2.33,0
"61","Colin Kaepernick",2013,14,"SFO","TAM",2.08,0
"62","Colin Kaepernick",2013,7,"SFO","TEN",1.33,0
"63","Colin Kaepernick",2014,11,"SFO","WAS",0.61,0.22
"64","Colin Kaepernick",2014,7,"SFO","DEN",1.67,0
"65","Colin Kaepernick",2015,8,"SFO","STL",-1.84,0
"66","Colin Kaepernick",2016,7,"SFO","TAM",-6.53,0
