"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Colt McCoy",2022,10,"ARI","LAR",-3.05,0
"2","Colt McCoy",2022,11,"ARI","SFO",-1.87,0
"3","Colt McCoy",2022,13,"ARI","NWE",-4.23,0
"4","Colt McCoy",2022,14,"ARI","DEN",-1.44,0
"5","Colt McCoy",2010,15,"CLE","BAL",-2.43,0
"6","Colt McCoy",2011,12,"CLE","BAL",0.32,0
"7","Colt McCoy",2011,1,"CLE","CIN",0.45,-1.24
"8","Colt McCoy",2011,11,"CLE","CIN",0.51,-0.45
"9","Colt McCoy",2020,11,"NYG","CIN",-0.56,-0.34
"10","Colt McCoy",2010,10,"CLE","JAX",0.58,-0.76
"11","Colt McCoy",2010,16,"CLE","PIT",-3.09,0
"12","Colt McCoy",2010,6,"CLE","PIT",-2.72,0
"13","Colt McCoy",2010,7,"CLE","NOR",-0.87,0
"14","Colt McCoy",2010,8,"CLE","NWE",-2.04,0
"15","Colt McCoy",2010,9,"CLE","NYJ",-4.32,0.18
"16","Colt McCoy",2011,10,"CLE","JAX",1.24,-0.22
"17","Colt McCoy",2011,13,"CLE","PIT",-2.22,-0.41
"18","Colt McCoy",2011,2,"CLE","IND",0.9,0
"19","Colt McCoy",2011,3,"CLE","MIA",0.04,0.14
"20","Colt McCoy",2011,4,"CLE","TEN",-0.72,0
"21","Colt McCoy",2011,5,"CLE","OAK",-2.22,0.27
"22","Colt McCoy",2011,6,"CLE","SEA",-3.86,0.48
"23","Colt McCoy",2011,7,"CLE","SFO",-1.53,0
"24","Colt McCoy",2011,8,"CLE","HOU",-1.2,0
"25","Colt McCoy",2011,9,"CLE","STL",-1.47,0.03
"26","Colt McCoy",2012,11,"CLE","PIT",-0.12,-0.12
"27","Colt McCoy",2012,15,"CLE","DEN",-0.78,0
"28","Colt McCoy",2014,8,"WAS","DAL",-0.37,-0.08
"29","Colt McCoy",2015,16,"WAS","DAL",0.72,0
"30","Colt McCoy",2018,11,"WAS","DAL",-0.93,0
"31","Colt McCoy",2018,10,"WAS","HOU",0.01,0.03
"32","Colt McCoy",2014,12,"WAS","IND",-1.31,0
"33","Colt McCoy",2013,8,"SFO","JAX",0.18,0
"34","Colt McCoy",2014,13,"WAS","STL",-2.16,0
"35","Colt McCoy",2022,9,"ARI","LAR",-1.17,0
"36","Colt McCoy",2019,5,"WAS","NWE",2.12,0
"37","Colt McCoy",2015,10,"WAS","NOR",-0.14,0
"38","Colt McCoy",2014,14,"WAS","NYG",-0.04,0
"39","Colt McCoy",2018,12,"WAS","PHI",-0.16,0
"40","Colt McCoy",2010,5,"CLE","PIT",-2.07,0
"41","Colt McCoy",2014,7,"WAS","TEN",1.09,0.47
"42","Colt McCoy",2015,9,"WAS","NOR",-0.14,0
