"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Cooper Rush",2022,2,"DAL","CIN",-0.65,-0.55
"2","Cooper Rush",2017,10,"DAL","PHI",-0.07,0
"3","Cooper Rush",2017,6,"DAL","SFO",-0.35,0
"4","Cooper Rush",2022,1,"DAL","TAM",-1.19,0
"5","Cooper Rush",2022,10,"DAL","MIN",0.2,0
"6","Cooper Rush",2022,17,"DAL","WAS",-0.15,0
"7","Cooper Rush",2022,3,"DAL","NYG",2.97,-0.03
"8","Cooper Rush",2022,4,"DAL","WAS",3.85,0
"9","Cooper Rush",2022,5,"DAL","LAR",-0.39,0
"10","Cooper Rush",2022,6,"DAL","PHI",-1.79,0
"11","Cooper Rush",2017,7,"DAL","SFO",-0.35,0
