"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Curtis Painter",2011,8,"IND","ATL",-4.19,0
"2","Curtis Painter",2009,16,"IND","BUF",-1.67,0
"3","Curtis Painter",2011,11,"IND","CAR",-0.68,-0.15
"4","Curtis Painter",2013,3,"NYG","CAR",-0.43,0
"5","Curtis Painter",2011,6,"IND","CIN",-2.53,0
"6","Curtis Painter",2009,15,"IND","NYJ",-2.95,0
"7","Curtis Painter",2011,10,"IND","JAX",-1.31,0
"8","Curtis Painter",2011,3,"IND","PIT",-1.56,0.06
"9","Curtis Painter",2011,4,"IND","TAM",0.97,-0.47
"10","Curtis Painter",2011,5,"IND","KAN",1.4,-0.73
"11","Curtis Painter",2011,7,"IND","NOR",-5.74,0
"12","Curtis Painter",2011,9,"IND","ATL",-3.89,0
"13","Curtis Painter",2013,14,"NYG","SEA",-0.11,0
"14","Curtis Painter",2013,16,"NYG","WAS",-1.55,0
