"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Dak Prescott",2017,3,"DAL","ARI",2.33,0
"2","Dak Prescott",2017,9,"DAL","ATL",0.33,0
"3","Dak Prescott",2018,10,"DAL","ATL",-1.18,-0.04
"4","Dak Prescott",2020,2,"DAL","ATL",6.87,1.64
"5","Dak Prescott",2016,10,"DAL","BAL",4.27,0.28
"6","Dak Prescott",2019,12,"DAL","BUF",1.62,0
"7","Dak Prescott",2018,1,"DAL","CAR",-1.29,-0.68
"8","Dak Prescott",2016,3,"DAL","CHI",3.53,0
"9","Dak Prescott",2019,13,"DAL","CHI",0.92,0
"10","Dak Prescott",2022,8,"DAL","CHI",6.18,0
"11","Dak Prescott",2016,5,"DAL","CIN",2.05,0
"12","Dak Prescott",2016,9,"DAL","CLE",5.39,0.49
"13","Dak Prescott",2020,4,"DAL","CLE",4.5,1.06
"14","Dak Prescott",2016,1,"DAL","NYG",-0.25,-0.26
"15","Dak Prescott",2016,11,"DAL","WAS",3.06,0.15
"16","Dak Prescott",2016,12,"DAL","MIN",0.27,-0.06
"17","Dak Prescott",2016,13,"DAL","NYG",-2.38,-0.65
"18","Dak Prescott",2016,14,"DAL","TAM",0.61,-0.02
"19","Dak Prescott",2016,15,"DAL","DET",1.61,0
"20","Dak Prescott",2016,16,"DAL","PHI",-0.26,0
"21","Dak Prescott",2016,2,"DAL","WAS",-1.19,-0.13
"22","Dak Prescott",2016,4,"DAL","SFO",3.07,0.48
"23","Dak Prescott",2016,6,"DAL","GNB",0.61,0
"24","Dak Prescott",2016,7,"DAL","PHI",0.56,0.11
"25","Dak Prescott",2016,8,"DAL","CLE",4.1,0
"26","Dak Prescott",2017,1,"DAL","NYG",-1.04,0
"27","Dak Prescott",2017,10,"DAL","PHI",-1.55,0
"28","Dak Prescott",2017,11,"DAL","LAC",-1.19,0
"29","Dak Prescott",2017,12,"DAL","WAS",-0.69,0
"30","Dak Prescott",2017,13,"DAL","NYG",5.83,0
"31","Dak Prescott",2017,14,"DAL","OAK",-3.89,0.45
"32","Dak Prescott",2017,15,"DAL","SEA",-2.84,0
"33","Dak Prescott",2017,16,"DAL","PHI",-0.22,0.15
"34","Dak Prescott",2017,2,"DAL","DEN",-4.72,0
"35","Dak Prescott",2017,4,"DAL","LAR",5.81,-0.81
"36","Dak Prescott",2017,5,"DAL","GNB",3.87,0.71
"37","Dak Prescott",2017,6,"DAL","SFO",3.98,0
"38","Dak Prescott",2017,7,"DAL","WAS",3.29,-0.16
"39","Dak Prescott",2017,8,"DAL","KAN",2.08,0
"40","Dak Prescott",2018,11,"DAL","WAS",1.95,0
"41","Dak Prescott",2018,12,"DAL","NOR",0.2,-0.34
"42","Dak Prescott",2018,13,"DAL","PHI",-0.19,-0.3
"43","Dak Prescott",2018,14,"DAL","IND",-2.8,0
"44","Dak Prescott",2018,15,"DAL","TAM",2.06,0
"45","Dak Prescott",2018,16,"DAL","NYG",0.72,-0.23
"46","Dak Prescott",2018,2,"DAL","NYG",-0.67,0
"47","Dak Prescott",2018,3,"DAL","SEA",-2.36,0
"48","Dak Prescott",2018,4,"DAL","DET",1.23,-0.21
"49","Dak Prescott",2018,5,"DAL","HOU",-0.85,-0.39
"50","Dak Prescott",2018,6,"DAL","JAX",-0.18,1.11
"51","Dak Prescott",2018,7,"DAL","WAS",-1.05,1.11
"52","Dak Prescott",2018,8,"DAL","TEN",-0.33,0
"53","Dak Prescott",2018,9,"DAL","PHI",-1.24,-0.27
"54","Dak Prescott",2019,1,"DAL","NYG",6.51,0
"55","Dak Prescott",2019,10,"DAL","DET",11.1,0.67
"56","Dak Prescott",2019,11,"DAL","NWE",-1.66,-0.1
"57","Dak Prescott",2019,14,"DAL","LAR",1.81,0
"58","Dak Prescott",2019,15,"DAL","PHI",-0.64,-0.05
"59","Dak Prescott",2019,16,"DAL","WAS",3.59,0
"60","Dak Prescott",2019,2,"DAL","WAS",4.69,0
"61","Dak Prescott",2019,3,"DAL","MIA",1.69,0
"62","Dak Prescott",2019,4,"DAL","NOR",0.21,0.22
"63","Dak Prescott",2019,5,"DAL","GNB",4.56,1.46
"64","Dak Prescott",2019,6,"DAL","NYJ",1.42,1.46
"65","Dak Prescott",2019,7,"DAL","PHI",2.55,0
"66","Dak Prescott",2019,8,"DAL","NYG",2.07,0
"67","Dak Prescott",2019,9,"DAL","MIN",5.79,0.47
"68","Dak Prescott",2020,5,"DAL","NYG",0.77,0
"69","Dak Prescott",2022,1,"DAL","TAM",-1.57,0
"70","Dak Prescott",2022,10,"DAL","MIN",2.62,-0.65
"71","Dak Prescott",2022,11,"DAL","NYG",1.92,0
"72","Dak Prescott",2022,12,"DAL","IND",2.5,0
"73","Dak Prescott",2022,13,"DAL","HOU",2.89,1.19
"74","Dak Prescott",2022,14,"DAL","JAX",2.51,0.74
"75","Dak Prescott",2022,15,"DAL","PHI",3.62,0.12
"76","Dak Prescott",2022,16,"DAL","TEN",1.63,0
"77","Dak Prescott",2022,17,"DAL","WAS",-3.39,0
"78","Dak Prescott",2022,7,"DAL","DET",0.42,0
"79","Dak Prescott",2022,9,"DAL","GNB",-0.29,-0.65
"80","Dak Prescott",2022,6,"DAL","DET",2.15,0
