"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Daniel Jones",2019,7,"NYG","ARI",4.75,0.93
"2","Daniel Jones",2022,6,"NYG","BAL",-0.49,-0.44
"3","Daniel Jones",2022,2,"NYG","CAR",-0.65,0.19
"4","Daniel Jones",2019,11,"NYG","CHI",0.69,-0.48
"5","Daniel Jones",2022,4,"NYG","CHI",1.96,0
"6","Daniel Jones",2020,11,"NYG","CIN",-0.4,0
"7","Daniel Jones",2019,1,"NYG","DAL",-0.38,0
"8","Daniel Jones",2019,8,"NYG","DAL",-2.5,0.51
"9","Daniel Jones",2020,5,"NYG","DAL",-1.11,-0.24
"10","Daniel Jones",2022,11,"NYG","DAL",-2.05,0
"11","Daniel Jones",2022,3,"NYG","DAL",-1.3,-0.32
"12","Daniel Jones",2022,10,"NYG","DET",1.59,0
"13","Daniel Jones",2019,12,"NYG","GNB",-1.88,0
"14","Daniel Jones",2022,5,"NYG","GNB",-1.02,0
"15","Daniel Jones",2022,9,"NYG","HOU",1.66,0
"16","Daniel Jones",2022,16,"NYG","IND",4.45,0
"17","Daniel Jones",2022,7,"NYG","JAX",1.4,0.2
"18","Daniel Jones",2019,5,"NYG","MIN",-2.31,0
"19","Daniel Jones",2022,15,"NYG","MIN",-0.26,-0.2
"20","Daniel Jones",2019,6,"NYG","NWE",-2.18,0
"21","Daniel Jones",2019,10,"NYG","NYJ",1.83,0.08
"22","Daniel Jones",2019,15,"NYG","WAS",1.38,-0.69
"23","Daniel Jones",2019,16,"NYG","PHI",-1.91,0
"24","Daniel Jones",2019,3,"NYG","TAM",0.07,0.36
"25","Daniel Jones",2019,4,"NYG","WAS",1.03,0
"26","Daniel Jones",2019,9,"NYG","DAL",-0.73,0.08
"27","Daniel Jones",2020,9,"NYG","WAS",2.85,-0.3
"28","Daniel Jones",2022,1,"NYG","TEN",-0.78,0.04
"29","Daniel Jones",2022,12,"NYG","WAS",-1.75,-0.61
"30","Daniel Jones",2022,13,"NYG","PHI",-3.19,-0.61
"31","Daniel Jones",2022,14,"NYG","WAS",-0.94,-0.1
"32","Daniel Jones",2022,8,"NYG","SEA",-2.3,0
"33","Daniel Jones",2020,8,"NYG","WAS",2.2,-0.3
