"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Derek Anderson",2010,1,"ARI","STL",5.32,0
"2","Derek Anderson",2010,10,"ARI","KAN",-4.47,0
"3","Derek Anderson",2010,11,"ARI","SFO",-2.1,0
"4","Derek Anderson",2010,12,"ARI","STL",-1.43,0
"5","Derek Anderson",2010,2,"ARI","ATL",-2.13,0
"6","Derek Anderson",2010,3,"ARI","OAK",0.28,-0.14
"7","Derek Anderson",2010,4,"ARI","SDG",-1.16,0
"8","Derek Anderson",2010,5,"ARI","NOR",-0.13,0
"9","Derek Anderson",2010,6,"ARI","SEA",-0.56,0
"10","Derek Anderson",2010,7,"ARI","TAM",0.69,-0.21
"11","Derek Anderson",2010,8,"ARI","MIN",-0.01,-0.65
"12","Derek Anderson",2010,9,"ARI","SEA",-0.45,0
"13","Derek Anderson",2015,13,"CAR","ATL",-0.41,0
"14","Derek Anderson",2016,4,"CAR","ATL",1.12,0
"15","Derek Anderson",2006,14,"CLE","BAL",-1.56,0
"16","Derek Anderson",2007,10,"CLE","BAL",-2.82,-0.51
"17","Derek Anderson",2007,4,"CLE","BAL",0,0
"18","Derek Anderson",2008,2,"CLE","BAL",-5.07,-0.47
"19","Derek Anderson",2008,8,"CLE","BAL",0.06,-0.27
"20","Derek Anderson",2009,3,"CLE","BAL",-0.31,0
"21","Derek Anderson",2014,4,"CAR","BAL",-0.24,0
"22","Derek Anderson",2007,14,"CLE","BUF",-5.78,0
"23","Derek Anderson",2009,5,"CLE","BUF",-2.14,-0.1
"24","Derek Anderson",2018,7,"BUF","IND",-2.81,0
"25","Derek Anderson",2018,8,"BUF","NWE",-2.14,0
"26","Derek Anderson",2012,16,"CAR","NOR",0.15,0
"27","Derek Anderson",2012,3,"CAR","NYG",0.02,0
"28","Derek Anderson",2013,12,"CAR","TAM",-0.55,0
"29","Derek Anderson",2014,1,"CAR","TAM",1.58,-0.1
"30","Derek Anderson",2014,14,"CAR","TAM",2.24,-0.17
"31","Derek Anderson",2014,3,"CAR","PIT",1.21,0
"32","Derek Anderson",2014,7,"CAR","GNB",-0.23,0
"33","Derek Anderson",2015,10,"CAR","WAS",-0.26,0
"34","Derek Anderson",2016,12,"CAR","SEA",0.77,0
"35","Derek Anderson",2016,3,"CAR","MIN",-0.1,0
"36","Derek Anderson",2016,5,"CAR","TAM",1,0
"37","Derek Anderson",2017,15,"CAR","TAM",-0.02,0
"38","Derek Anderson",2017,3,"CAR","NOR",-0.82,0
"39","Derek Anderson",2009,7,"CLE","CHI",-4.87,0
"40","Derek Anderson",2007,15,"CLE","CIN",0.66,0.01
"41","Derek Anderson",2007,2,"CLE","CIN",2.61,-0.13
"42","Derek Anderson",2008,4,"CLE","CIN",-1.06,-0.04
"43","Derek Anderson",2009,4,"CLE","CIN",-1.24,-0.14
"44","Derek Anderson",2006,12,"CLE","KAN",-0.07,0.26
"45","Derek Anderson",2006,13,"CLE","PIT",-0.27,0
"46","Derek Anderson",2006,15,"CLE","TAM",-2.61,0
"47","Derek Anderson",2007,1,"CLE","PIT",-0.57,0
"48","Derek Anderson",2007,11,"CLE","HOU",2.21,0
"49","Derek Anderson",2007,13,"CLE","NYJ",0.05,0
"50","Derek Anderson",2007,16,"CLE","SFO",-0.38,0
"51","Derek Anderson",2007,3,"CLE","OAK",-0.05,0.4
"52","Derek Anderson",2007,5,"CLE","NWE",-1.51,0
"53","Derek Anderson",2007,6,"CLE","MIA",0.3,0
"54","Derek Anderson",2007,7,"CLE","STL",3.22,-0.03
"55","Derek Anderson",2007,8,"CLE","SEA",3.25,0.35
"56","Derek Anderson",2007,9,"CLE","PIT",-1.95,-0.45
"57","Derek Anderson",2008,1,"CLE","DAL",-1.07,0
"58","Derek Anderson",2008,11,"CLE","HOU",-2.03,0
"59","Derek Anderson",2008,12,"CLE","IND",-2.67,-0.24
"60","Derek Anderson",2008,3,"CLE","BAL",-3.36,0
"61","Derek Anderson",2008,5,"CLE","NYG",1.24,0
"62","Derek Anderson",2008,6,"CLE","WAS",-6.41,0.05
"63","Derek Anderson",2008,7,"CLE","JAX",-3.68,0.05
"64","Derek Anderson",2009,15,"CLE","OAK",0.76,0
"65","Derek Anderson",2009,16,"CLE","JAX",0.45,0
"66","Derek Anderson",2009,6,"CLE","PIT",-4.44,0
"67","Derek Anderson",2009,8,"CLE","CHI",-1.92,0
