"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Derek Carr",2014,6,"OAK","ARI",1.5,-0.19
"2","Derek Carr",2018,10,"OAK","ARI",0.03,-0.06
"3","Derek Carr",2022,2,"LVR","ARI",3.22,0
"4","Derek Carr",2016,2,"OAK","ATL",1.18,0.91
"5","Derek Carr",2020,11,"LVR","ATL",-1.89,0
"6","Derek Carr",2015,2,"OAK","BAL",2.36,0.86
"7","Derek Carr",2016,4,"OAK","BAL",-0.76,0.21
"8","Derek Carr",2018,11,"OAK","BAL",-2.28,0
"9","Derek Carr",2014,15,"OAK","BUF",-1.3,0.23
"10","Derek Carr",2016,12,"OAK","BUF",1.26,0
"11","Derek Carr",2017,7,"OAK","BUF",-0.45,0.23
"12","Derek Carr",2016,11,"OAK","CAR",2.95,0.13
"13","Derek Carr",2015,4,"OAK","CHI",0.53,0
"14","Derek Carr",2019,5,"OAK","CHI",-2.46,0.18
"15","Derek Carr",2015,1,"OAK","CIN",1.68,0
"16","Derek Carr",2018,14,"OAK","CIN",-1.11,0
"17","Derek Carr",2019,10,"OAK","CIN",3.21,0.09
"18","Derek Carr",2014,7,"OAK","CLE",-5.09,0
"19","Derek Carr",2015,3,"OAK","CLE",-2.04,-0.1
"20","Derek Carr",2018,4,"OAK","CLE",0.49,0.96
"21","Derek Carr",2020,8,"LVR","CLE",-0.23,0
"22","Derek Carr",2017,14,"OAK","DAL",-0.53,0
"23","Derek Carr",2014,16,"OAK","DEN",-2.97,0
"24","Derek Carr",2014,9,"OAK","DEN",-2.68,0
"25","Derek Carr",2015,13,"OAK","DEN",-1.04,0
"26","Derek Carr",2015,5,"OAK","DEN",-0.2,0
"27","Derek Carr",2016,9,"OAK","DEN",0.86,0
"28","Derek Carr",2017,11,"OAK","DEN",2.53,0.54
"29","Derek Carr",2017,4,"OAK","DEN",0.52,0
"30","Derek Carr",2018,15,"OAK","DEN",0.39,0
"31","Derek Carr",2018,2,"OAK","DEN",1.14,-0.33
"32","Derek Carr",2019,1,"OAK","DEN",1.38,0.1
