"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Donovan McNabb",2008,12,"PHI","ARI",1.54,0
"2","Donovan McNabb",2011,5,"MIN","ARI",0.06,0
"3","Donovan McNabb",2008,7,"PHI","ATL",0.23,-0.42
"4","Donovan McNabb",2009,12,"PHI","ATL",2.76,0
"5","Donovan McNabb",2008,11,"PHI","BAL",-2.04,0
"6","Donovan McNabb",2007,16,"PHI","BUF",0.91,0.53
"7","Donovan McNabb",2009,1,"PHI","CAR",0.14,0
"8","Donovan McNabb",2007,7,"PHI","CHI",3.29,-0.22
"9","Donovan McNabb",2008,4,"PHI","CHI",0.2,-0.28
"10","Donovan McNabb",2009,10,"PHI","CHI",-0.77,-0.03
"11","Donovan McNabb",2010,7,"WAS","CHI",-2.13,-0.53
"12","Donovan McNabb",2011,6,"MIN","CHI",-1.97,0
"13","Donovan McNabb",2008,10,"PHI","CIN",-1.4,-0.54
"14","Donovan McNabb",2008,14,"PHI","CLE",-1.19,0
"15","Donovan McNabb",2006,4,"PHI","DAL",3.95,0
"16","Donovan McNabb",2007,14,"PHI","DAL",-0.81,0.18
"17","Donovan McNabb",2007,8,"PHI","DAL",0.35,0
"18","Donovan McNabb",2008,16,"PHI","DAL",0.01,0
"19","Donovan McNabb",2008,2,"PHI","DAL",-1.42,-0.88
"20","Donovan McNabb",2009,16,"PHI","DAL",-2.36,0
"21","Donovan McNabb",2009,8,"PHI","DAL",-0.73,0
"22","Donovan McNabb",2010,1,"WAS","DAL",-0.93,-0.1
"23","Donovan McNabb",2009,15,"PHI","DEN",1.77,0.39
"24","Donovan McNabb",2007,3,"PHI","DET",4.74,0
"25","Donovan McNabb",2011,3,"MIN","DET",-0.9,0.35
"26","Donovan McNabb",2007,1,"PHI","GNB",-1.46,-0.13
"27","Donovan McNabb",2010,5,"WAS","GNB",-0.78,0.13
"28","Donovan McNabb",2006,1,"PHI","HOU",2.36,0
"29","Donovan McNabb",2010,2,"WAS","HOU",-1.83,-1.14
"30","Donovan McNabb",2010,6,"WAS","IND",-2.33,-0.47
"31","Donovan McNabb",2006,7,"PHI","JAX",-1.81,1.11
"32","Donovan McNabb",2011,4,"MIN","KAN",-0.45,-0.6
"33","Donovan McNabb",2008,1,"PHI","STL",0.04,0
"34","Donovan McNabb",2010,3,"WAS","STL",0.21,0
"35","Donovan McNabb",2009,9,"PHI","SDG",-1.42,0.04
"36","Donovan McNabb",2011,1,"MIN","SDG",-0.82,-0.13
"37","Donovan McNabb",2007,10,"PHI","MIA",-1.23,0
"38","Donovan McNabb",2010,11,"WAS","MIN",-1.93,0
"39","Donovan McNabb",2011,2,"MIN","TAM",-0.5,-0.73
"40","Donovan McNabb",2006,6,"PHI","NOR",2.55,1.11
"41","Donovan McNabb",2007,15,"PHI","NOR",0.9,-0.28
"42","Donovan McNabb",2006,2,"PHI","NYG",3.3,0.19
"43","Donovan McNabb",2007,13,"PHI","NYG",-0.35,0.64
"44","Donovan McNabb",2007,4,"PHI","NYG",-4.86,0
"45","Donovan McNabb",2008,13,"PHI","NYG",0.69,0
"46","Donovan McNabb",2008,9,"PHI","NYG",3.22,0.62
"47","Donovan McNabb",2009,13,"PHI","NYG",1.37,0
"48","Donovan McNabb",2010,12,"WAS","NYG",-1.24,0
"49","Donovan McNabb",2007,6,"PHI","NYJ",2.5,-0.36
"50","Donovan McNabb",2009,6,"PHI","OAK",-2.41,-0.46
"51","Donovan McNabb",2006,10,"PHI","TEN",-0.61,0
"52","Donovan McNabb",2006,3,"PHI","SFO",-2.33,0
"53","Donovan McNabb",2006,5,"PHI","DAL",-1.85,0
"54","Donovan McNabb",2006,8,"PHI","JAX",0.23,0
"55","Donovan McNabb",2006,9,"PHI","WAS",2.01,0
"56","Donovan McNabb",2007,2,"PHI","WAS",-0.26,0.17
"57","Donovan McNabb",2007,5,"PHI","NYJ",0.93,0.17
"58","Donovan McNabb",2007,9,"PHI","WAS",0.45,0.95
"59","Donovan McNabb",2008,15,"PHI","WAS",-2.59,-0.42
"60","Donovan McNabb",2008,3,"PHI","PIT",-0.32,0
"61","Donovan McNabb",2008,5,"PHI","WAS",-1.68,0
"62","Donovan McNabb",2008,6,"PHI","SFO",3.94,0
"63","Donovan McNabb",2008,8,"PHI","SEA",-0.14,0
"64","Donovan McNabb",2009,11,"PHI","WAS",-0.12,0
"65","Donovan McNabb",2009,14,"PHI","SFO",2.52,0
"66","Donovan McNabb",2009,4,"PHI","TAM",2.64,0
"67","Donovan McNabb",2009,5,"PHI","OAK",0.87,-0.46
"68","Donovan McNabb",2009,7,"PHI","NYG",2.33,0
"69","Donovan McNabb",2010,4,"WAS","PHI",-0.14,0.22
"70","Donovan McNabb",2010,9,"WAS","PHI",-1.36,0
"71","Donovan McNabb",2010,13,"WAS","TAM",-0.92,-0.2
"72","Donovan McNabb",2010,10,"WAS","TEN",-2.21,0.29
"73","Donovan McNabb",2010,8,"WAS","DET",0.63,-0.74
