"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Drew Brees",2007,14,"NOR","ARI",1.84,0.31
"2","Drew Brees",2010,5,"NOR","ARI",2.73,1.18
"3","Drew Brees",2013,3,"NOR","ARI",2.97,0
"4","Drew Brees",2015,1,"NOR","ARI",-2.02,-0.32
"5","Drew Brees",2016,14,"NOR","ARI",-0.24,0.03
"6","Drew Brees",2019,8,"NOR","ARI",3.43,0
"7","Drew Brees",2006,11,"NOR","ATL",1.39,0
"8","Drew Brees",2006,3,"NOR","ATL",0.08,0
"9","Drew Brees",2007,13,"NOR","ATL",3.54,0
"10","Drew Brees",2007,7,"NOR","ATL",6.87,-0.2
"11","Drew Brees",2008,13,"NOR","ATL",2.36,0.16
"12","Drew Brees",2008,9,"NOR","ATL",-0.44,0
"13","Drew Brees",2009,13,"NOR","ATL",3.2,-0.02
"14","Drew Brees",2009,7,"NOR","ATL",2.42,0.12
"15","Drew Brees",2010,15,"NOR","ATL",-1.94,0.36
"16","Drew Brees",2010,3,"NOR","ATL",2.6,0.5
"17","Drew Brees",2011,15,"NOR","ATL",3.02,0
"18","Drew Brees",2011,9,"NOR","ATL",3.33,0.27
"19","Drew Brees",2012,12,"NOR","ATL",-2.34,0
"20","Drew Brees",2012,9,"ATL","NOR",2.21,0
"21","Drew Brees",2013,1,"NOR","ATL",2.7,0
"22","Drew Brees",2013,11,"NOR","ATL",1.09,-0.17
"23","Drew Brees",2014,1,"NOR","ATL",2.24,0.98
"24","Drew Brees",2014,15,"NOR","ATL",0.08,-0.53
"25","Drew Brees",2015,16,"NOR","ATL",-0.37,-0.31
"26","Drew Brees",2015,6,"NOR","ATL",0.01,0
"27","Drew Brees",2016,16,"NOR","ATL",3.69,0.39
"28","Drew Brees",2016,3,"NOR","ATL",0.55,0
"29","Drew Brees",2017,13,"NOR","ATL",-0.31,-0.1
"30","Drew Brees",2017,15,"NOR","ATL",1.29,0
"31","Drew Brees",2018,11,"NOR","ATL",2.99,0
"32","Drew Brees",2018,3,"NOR","ATL",2.77,0.26
"33","Drew Brees",2019,12,"NOR","ATL",0.06,0
"34","Drew Brees",2019,9,"NOR","ATL",-1.14,0
"35","Drew Brees",2006,7,"NOR","BAL",-0.14,0
"36","Drew Brees",2010,14,"NOR","BAL",0.32,-0.9
"37","Drew Brees",2014,11,"NOR","BAL",0.59,1.14
"38","Drew Brees",2018,7,"NOR","BAL",0.47,0.15
"39","Drew Brees",2009,3,"NOR","BUF",-1.52,0
"40","Drew Brees",2013,8,"NOR","BUF",-0.69,-0.36
"41","Drew Brees",2017,9,"NOR","BUF",0.95,0
"42","Drew Brees",2006,16,"NOR","CAR",-0.37,0
"43","Drew Brees",2006,4,"NOR","CAR",-4.5,0.75
"44","Drew Brees",2007,11,"NOR","CAR",3.98,0
"45","Drew Brees",2007,5,"NOR","CAR",-0.93,-1.19
"46","Drew Brees",2008,16,"NOR","CAR",-0.78,0.21
"47","Drew Brees",2008,7,"NOR","CAR",-2.27,0
"48","Drew Brees",2009,8,"NOR","CAR",0.47,0
"49","Drew Brees",2010,4,"NOR","CAR",1.12,0
"50","Drew Brees",2010,8,"NOR","CAR",3.7,0.1
"51","Drew Brees",2011,16,"NOR","CAR",5.3,0
"52","Drew Brees",2011,5,"NOR","CAR",2.65,1.41
"53","Drew Brees",2012,16,"NOR","CAR",4.89,1.19
"54","Drew Brees",2012,2,"NOR","CAR",-0.13,-0.26
"55","Drew Brees",2013,13,"NOR","CAR",4.07,0
"56","Drew Brees",2013,15,"NOR","CAR",-2.01,-0.24
"57","Drew Brees",2014,13,"NOR","CAR",-1.64,0
"58","Drew Brees",2014,9,"NOR","CAR",0.17,1.03
"59","Drew Brees",2015,12,"NOR","CAR",-3.1,-0.38
"60","Drew Brees",2016,10,"NOR","CAR",-0.2,0.86
"61","Drew Brees",2016,6,"NOR","CAR",-2.3,-0.6
"62","Drew Brees",2017,12,"NOR","CAR",0.8,0
"63","Drew Brees",2017,3,"NOR","CAR",1.67,0
"64","Drew Brees",2018,14,"NOR","CAR",-0.01,0.18
"65","Drew Brees",2019,11,"NOR","CAR",1.95,0.29
"66","Drew Brees",2019,16,"NOR","CAR",3.21,0
"67","Drew Brees",2020,16,"NOR","CAR",2.1,0
"68","Drew Brees",2020,7,"NOR","CAR",3.01,-0.1
"69","Drew Brees",2007,16,"NOR","CHI",-4.41,0
"70","Drew Brees",2008,14,"NOR","CHI",-1.24,0.21
"71","Drew Brees",2011,2,"NOR","CHI",0.83,0
"72","Drew Brees",2013,5,"NOR","CHI",2.49,-0.21
"73","Drew Brees",2014,14,"NOR","CHI",4.16,0
"74","Drew Brees",2017,8,"NOR","CHI",1.87,0.08
"75","Drew Brees",2006,10,"NOR","CIN",0.75,0
"76","Drew Brees",2010,12,"NOR","CIN",1.98,1.34
"77","Drew Brees",2014,10,"NOR","CIN",1.33,0
"78","Drew Brees",2018,9,"NOR","CIN",7.83,0
"79","Drew Brees",2006,1,"NOR","CLE",-0.75,-0.15
"80","Drew Brees",2010,7,"NOR","CLE",-3.09,0.1
"81","Drew Brees",2014,2,"NOR","CLE",0.48,-0.22
"82","Drew Brees",2018,2,"NOR","CLE",2.63,1.24
"83","Drew Brees",2006,13,"NOR","DAL",4.23,0
"84","Drew Brees",2009,14,"NOR","DAL",1.04,-0.97
"85","Drew Brees",2010,11,"NOR","DAL",-2.53,1.4
"86","Drew Brees",2012,15,"NOR","DAL",0.72,0.16
"87","Drew Brees",2013,10,"NOR","DAL",6.92,0.67
"88","Drew Brees",2014,4,"NOR","DAL",1.91,0
"89","Drew Brees",2015,4,"NOR","DAL",2.51,0.77
"90","Drew Brees",2018,12,"NOR","DAL",-0.39,-0.5
"91","Drew Brees",2008,3,"NOR","DEN",-0.14,-0.27
"92","Drew Brees",2012,7,"NOR","DEN",1.82,0
"93","Drew Brees",2008,15,"NOR","DET",3.93,0
"94","Drew Brees",2009,1,"NOR","DET",3.01,0
"95","Drew Brees",2011,12,"NOR","DET",2.95,0
"96","Drew Brees",2014,7,"NOR","DET",3.21,-1.98
"97","Drew Brees",2015,14,"NOR","DET",0.97,-0.36
"98","Drew Brees",2016,12,"NOR","DET",-0.54,0
"99","Drew Brees",2017,6,"NOR","DET",-0.61,0
"100","Drew Brees",2006,2,"NOR","GNB",-0.71,-0.11
"101","Drew Brees",2008,11,"NOR","GNB",4.8,0
"102","Drew Brees",2011,1,"NOR","GNB",-0.08,0.37
"103","Drew Brees",2012,4,"NOR","GNB",0.42,0.24
"104","Drew Brees",2014,8,"NOR","GNB",5.89,0
"105","Drew Brees",2017,7,"NOR","GNB",2.74,0.08
"106","Drew Brees",2020,3,"NOR","GNB",3.6,0
"107","Drew Brees",2007,10,"NOR","HOU",-1.38,0
"108","Drew Brees",2011,3,"NOR","HOU",2.37,0.36
"109","Drew Brees",2015,11,"NOR","HOU",-3.68,0
"110","Drew Brees",2019,1,"NOR","HOU",1.5,0.5
"111","Drew Brees",2007,1,"NOR","IND",-2.6,0
"112","Drew Brees",2011,7,"NOR","IND",5.39,0
"113","Drew Brees",2015,7,"NOR","IND",-0.8,0.19
"114","Drew Brees",2019,14,"NOR","IND",5.2,0
"115","Drew Brees",2007,8,"NOR","JAX",3.89,0
"116","Drew Brees",2011,4,"NOR","JAX",0.18,0
"117","Drew Brees",2015,15,"NOR","JAX",3.05,0
"118","Drew Brees",2008,10,"NOR","KAN",2.26,0.01
"119","Drew Brees",2012,3,"NOR","KAN",1.31,0
"120","Drew Brees",2020,14,"NOR","KAN",0.44,0.47
"121","Drew Brees",2007,9,"NOR","STL",2.26,0
"122","Drew Brees",2009,9,"NOR","STL",0.31,-0.14
"123","Drew Brees",2010,13,"NOR","STL",0.6,0
"124","Drew Brees",2013,14,"NOR","STL",2.18,0
"125","Drew Brees",2016,11,"NOR","LAR",2.81,0
"126","Drew Brees",2017,11,"NOR","LAR",-0.68,0.65
"127","Drew Brees",2019,2,"NOR","LAR",-0.13,0
"128","Drew Brees",2008,8,"NOR","SDG",1.27,-0.65
"129","Drew Brees",2012,5,"NOR","SDG",3.78,-0.19
"130","Drew Brees",2016,4,"NOR","SDG",-1.04,-0.11
"131","Drew Brees",2020,5,"NOR","LAC",1.78,0.34
"132","Drew Brees",2009,6,"NOR","MIA",8.17,-0.09
"133","Drew Brees",2013,4,"NOR","MIA",4.27,0
"134","Drew Brees",2008,5,"NOR","MIN",3.4,-0.48
"135","Drew Brees",2010,1,"NOR","MIN",-0.6,0.15
"136","Drew Brees",2011,14,"NOR","MIN",5.15,0
"137","Drew Brees",2014,3,"NOR","MIN",2.65,0
"138","Drew Brees",2017,1,"NOR","MIN",-0.45,0
"139","Drew Brees",2018,8,"NOR","MIN",2.94,0
"140","Drew Brees",2020,15,"NOR","MIN",2.8,0
"141","Drew Brees",2009,11,"NOR","NWE",2.01,0
"142","Drew Brees",2013,6,"NOR","NWE",-0.81,0
"143","Drew Brees",2017,2,"NOR","NWE",-0.66,0
"144","Drew Brees",2006,12,"NOR","SFO",0.95,0
