"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Drew Stanton",2009,14,"DET","ARI",-1.73,-0.44
"2","Drew Stanton",2014,10,"ARI","DET",1.43,-0.09
"3","Drew Stanton",2014,11,"ARI","SEA",-1.14,0
"4","Drew Stanton",2014,12,"ARI","ATL",1.29,0
"5","Drew Stanton",2014,13,"ARI","KAN",-0.69,0.38
"6","Drew Stanton",2014,14,"ARI","STL",-0.97,0
"7","Drew Stanton",2014,2,"ARI","NYG",-1.17,-0.15
"8","Drew Stanton",2014,3,"ARI","SFO",0.12,0.08
"9","Drew Stanton",2014,4,"ARI","DEN",-1.15,0
"10","Drew Stanton",2014,9,"ARI","STL",1.14,0
"11","Drew Stanton",2015,12,"ARI","STL",0.62,0
"12","Drew Stanton",2015,14,"ARI","PHI",-0.15,0
"13","Drew Stanton",2015,15,"ARI","GNB",-0.54,0
"14","Drew Stanton",2015,16,"ARI","SEA",-0.96,0
"15","Drew Stanton",2015,5,"ARI","DET",-0.24,0
"16","Drew Stanton",2016,16,"ARI","LAR",-0.47,0
"17","Drew Stanton",2016,2,"ARI","TAM",-0.24,0
"18","Drew Stanton",2016,4,"ARI","LAR",-0.95,-0.95
"19","Drew Stanton",2016,5,"ARI","SFO",-0.96,0
"20","Drew Stanton",2016,6,"ARI","NYJ",-0.16,0
"21","Drew Stanton",2017,15,"ARI","NYG",1.24,0
"22","Drew Stanton",2017,16,"ARI","SEA",-1.21,0
"23","Drew Stanton",2017,7,"ARI","LAR",-1.86,0
"24","Drew Stanton",2017,8,"ARI","SFO",0.69,0
"25","Drew Stanton",2017,9,"ARI","SEA",-0.96,0
"26","Drew Stanton",2010,12,"DET","CHI",-1.5,0
"27","Drew Stanton",2008,11,"DET","TAM",-0.51,0
"28","Drew Stanton",2008,15,"DET","NOR",-0.36,0
"29","Drew Stanton",2008,9,"DET","JAX",-0.8,0
"30","Drew Stanton",2009,15,"DET","SFO",-1.8,0
"31","Drew Stanton",2009,6,"DET","GNB",-0.93,0
"32","Drew Stanton",2010,13,"DET","GNB",-0.9,-0.2
"33","Drew Stanton",2010,14,"DET","TAM",-0.16,-0.09
"34","Drew Stanton",2010,5,"DET","STL",0.2,0
"35","Drew Stanton",2010,6,"DET","NYG",-0.23,-0.25
"36","Drew Stanton",2010,8,"DET","NYJ",-0.15,-0.1
"37","Drew Stanton",2009,5,"DET","GNB",-0.93,0
