"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Eli Manning",2008,11,"NYG","ARI",1.75,-0.15
"2","Eli Manning",2009,6,"NYG","ARI",-4.72,-0.83
"3","Eli Manning",2011,4,"NYG","ARI",3.39,2.28
"4","Eli Manning",2014,2,"NYG","ARI",0.15,-0.3
"5","Eli Manning",2017,15,"NYG","ARI",-2.43,0
"6","Eli Manning",2006,5,"NYG","ATL",1.23,0
"7","Eli Manning",2007,6,"NYG","ATL",3.72,0
"8","Eli Manning",2009,10,"NYG","ATL",4.48,-0.71
"9","Eli Manning",2014,5,"NYG","ATL",2.2,0
"10","Eli Manning",2015,2,"NYG","ATL",0.18,-1.2
"11","Eli Manning",2018,7,"NYG","ATL",-2.07,0.52
"12","Eli Manning",2008,10,"NYG","BAL",0.12,0
"13","Eli Manning",2012,15,"NYG","BAL",-3.54,0
"14","Eli Manning",2016,6,"NYG","BAL",2.64,0.59
"15","Eli Manning",2007,15,"NYG","BUF",-2.46,0
"16","Eli Manning",2011,6,"NYG","BUF",2.29,0.29
"17","Eli Manning",2015,4,"NYG","BUF",-1.71,0
"18","Eli Manning",2019,2,"NYG","BUF",-2.34,0
"19","Eli Manning",2006,13,"NYG","CAR",1.16,0
"20","Eli Manning",2008,15,"NYG","CAR",-3.51,0.1
"21","Eli Manning",2009,15,"NYG","CAR",-1.21,0
"22","Eli Manning",2010,1,"NYG","CAR",2.37,0
"23","Eli Manning",2012,3,"NYG","CAR",-1.04,0
"24","Eli Manning",2013,3,"NYG","CAR",-3.99,0
"25","Eli Manning",2015,14,"NYG","CAR",0.94,0.54
"26","Eli Manning",2018,4,"NYG","CAR",-1.65,1.18
"27","Eli Manning",2006,9,"NYG","CHI",-1.56,0
"28","Eli Manning",2007,12,"NYG","CHI",-0.12,0.86
"29","Eli Manning",2010,4,"NYG","CHI",-0.88,0
"30","Eli Manning",2013,6,"NYG","CHI",2.9,-0.37
"31","Eli Manning",2016,10,"NYG","CHI",1.34,-0.15
"32","Eli Manning",2018,12,"NYG","CHI",-1.82,-0.29
"33","Eli Manning",2008,3,"NYG","CIN",2.9,0.69
"34","Eli Manning",2012,9,"NYG","CIN",-5,-0.71
"35","Eli Manning",2016,9,"NYG","CIN",-0.51,0
"36","Eli Manning",2008,5,"NYG","CLE",-1.12,0
"37","Eli Manning",2012,5,"NYG","CLE",3.81,0
"38","Eli Manning",2016,12,"NYG","CLE",-4.18,0
"39","Eli Manning",2006,12,"NYG","DAL",0.45,0.61
"40","Eli Manning",2006,6,"NYG","DAL",0.59,0
"41","Eli Manning",2007,1,"NYG","DAL",-0.21,0
"42","Eli Manning",2007,9,"NYG","DAL",-0.81,0
"43","Eli Manning",2008,14,"NYG","DAL",-2.35,0
"44","Eli Manning",2008,9,"NYG","DAL",-2.6,-0.25
"45","Eli Manning",2009,12,"NYG","DAL",-0.2,0
"46","Eli Manning",2009,2,"NYG","DAL",0.56,-0.35
"47","Eli Manning",2010,6,"NYG","DAL",2.75,-0.13
"48","Eli Manning",2010,9,"NYG","DAL",2.63,0
"49","Eli Manning",2011,13,"NYG","DAL",-0.01,0.61
"50","Eli Manning",2011,16,"NYG","DAL",2.19,0
"51","Eli Manning",2012,1,"NYG","DAL",-3.49,1.25
"52","Eli Manning",2012,7,"NYG","DAL",2.28,0.61
"53","Eli Manning",2013,1,"NYG","DAL",4.17,0.61
"54","Eli Manning",2013,11,"NYG","DAL",-0.37,0
"55","Eli Manning",2014,11,"NYG","DAL",-0.24,-0.47
"56","Eli Manning",2014,7,"NYG","DAL",0.42,0
"57","Eli Manning",2015,1,"NYG","DAL",-1.95,-0.62
"58","Eli Manning",2015,6,"NYG","DAL",-2.23,0
"59","Eli Manning",2016,1,"NYG","DAL",0.76,0
"60","Eli Manning",2016,13,"NYG","DAL",-0.78,-0.23
"61","Eli Manning",2017,1,"NYG","DAL",-1.66,0
"62","Eli Manning",2017,13,"NYG","DAL",-1.86,0
"63","Eli Manning",2018,16,"NYG","DAL",-0.85,-1.06
"64","Eli Manning",2018,2,"NYG","DAL",-1.67,0
"65","Eli Manning",2019,1,"NYG","DAL",-2.05,0
"66","Eli Manning",2009,11,"NYG","DEN",-1.45,0
"67","Eli Manning",2013,2,"NYG","DEN",-3.12,0
"68","Eli Manning",2017,5,"NYG","DEN",-0.28,0
"69","Eli Manning",2007,10,"NYG","DET",2.18,-0.62
"70","Eli Manning",2013,15,"NYG","DET",-1.9,-0.25
"71","Eli Manning",2014,1,"NYG","DET",-1.79,0
"72","Eli Manning",2016,14,"NYG","DET",0.84,0
"73","Eli Manning",2017,2,"NYG","DET",-1.1,0
"74","Eli Manning",2007,2,"NYG","GNB",0.86,0
"75","Eli Manning",2010,15,"NYG","GNB",-0.75,0
"76","Eli Manning",2011,12,"NYG","GNB",1.02,-0.13
"77","Eli Manning",2012,11,"NYG","GNB",2.21,0
"78","Eli Manning",2013,10,"NYG","GNB",0.03,0
"79","Eli Manning",2016,4,"NYG","GNB",-0.54,0.43
"80","Eli Manning",2006,8,"NYG","HOU",2.75,0.09
"81","Eli Manning",2010,5,"NYG","HOU",0.47,0
"82","Eli Manning",2014,3,"NYG","HOU",-1.22,0
"83","Eli Manning",2018,3,"NYG","HOU",1.29,0.02
"84","Eli Manning",2006,1,"NYG","IND",-1.01,-0.11
"85","Eli Manning",2010,2,"NYG","IND",0.05,0
"86","Eli Manning",2014,9,"NYG","IND",1.57,0
"87","Eli Manning",2018,15,"NYG","IND",0.25,-0.72
"88","Eli Manning",2006,10,"NYG","JAX",-1.03,0
"89","Eli Manning",2010,11,"NYG","JAX",2.67,0.81
"90","Eli Manning",2014,12,"NYG","JAX",-0.63,-0.59
"91","Eli Manning",2018,1,"NYG","JAX",-2.18,-0.2
"92","Eli Manning",2009,4,"NYG","KAN",2.8,0
"93","Eli Manning",2013,4,"NYG","KAN",-3.37,0
"94","Eli Manning",2017,10,"NYG","KAN",0.57,-0.05
"95","Eli Manning",2008,2,"NYG","STL",1.72,0
"96","Eli Manning",2011,2,"NYG","STL",-3.15,0
"97","Eli Manning",2014,15,"NYG","STL",2.94,0
"98","Eli Manning",2016,7,"NYG","LAR",-1.86,-0.15
"99","Eli Manning",2017,8,"NYG","LAR",-1.37,0
"100","Eli Manning",2009,8,"NYG","SDG",-3.81,-0.82
"101","Eli Manning",2013,13,"NYG","SDG",-1.45,0
"102","Eli Manning",2007,8,"NYG","MIA",-0.96,0
"103","Eli Manning",2011,7,"NYG","MIA",-1.48,0.06
"104","Eli Manning",2015,13,"NYG","MIA",5.26,0.27
"105","Eli Manning",2019,14,"NYG","MIA",2.57,0
"106","Eli Manning",2007,11,"NYG","MIN",-4.19,0
"107","Eli Manning",2008,16,"NYG","MIN",-0.39,0
"108","Eli Manning",2009,16,"NYG","MIN",-2.38,0
"109","Eli Manning",2010,13,"NYG","MIN",0.45,0
"110","Eli Manning",2015,15,"NYG","MIN",-2.36,0
"111","Eli Manning",2007,16,"NYG","NWE",0.61,0.37
"112","Eli Manning",2011,8,"NYG","NWE",-1.98,0.32
"113","Eli Manning",2015,9,"NYG","NWE",0.2,-0.15
"114","Eli Manning",2006,15,"NYG","NOR",-3.93,0
"115","Eli Manning",2009,5,"NYG","NOR",1.09,0
"116","Eli Manning",2011,11,"NYG","NOR",-0.63,0
"117","Eli Manning",2012,13,"NYG","NOR",2.36,0
"118","Eli Manning",2015,8,"NYG","NOR",1.53,-0.57
"119","Eli Manning",2016,2,"NYG","NOR",0.64,0.79
"120","Eli Manning",2006,11,"NYG","TEN",-0.14,-0.84
"121","Eli Manning",2006,14,"NYG","PHI",-1.58,0
"122","Eli Manning",2006,16,"NYG","WAS",0.4,-0.16
"123","Eli Manning",2006,2,"NYG","PHI",-1.55,1.14
"124","Eli Manning",2006,3,"NYG","SEA",-0.56,0
"125","Eli Manning",2006,4,"NYG","WAS",2.08,0
"126","Eli Manning",2006,7,"NYG","TAM",-0.03,0
"127","Eli Manning",2007,13,"NYG","PHI",-0.08,0
"128","Eli Manning",2007,14,"NYG","WAS",-2.42,0
"129","Eli Manning",2007,3,"NYG","WAS",-1.33,0.11
"130","Eli Manning",2007,4,"NYG","PHI",-0.33,0
"131","Eli Manning",2007,5,"NYG","NYJ",0.19,0
"132","Eli Manning",2007,7,"NYG","SFO",-1.32,0
"133","Eli Manning",2008,1,"NYG","WAS",0.75,0
"134","Eli Manning",2008,12,"NYG","WAS",1.64,0
"135","Eli Manning",2008,13,"NYG","PHI",-0.05,1.04
"136","Eli Manning",2008,4,"NYG","SEA",3.56,0
"137","Eli Manning",2008,6,"NYG","SFO",0.73,0
"138","Eli Manning",2008,7,"NYG","PIT",-1.39,0.31
"139","Eli Manning",2008,8,"NYG","DAL",-0.06,0
"140","Eli Manning",2009,1,"NYG","WAS",2.31,0
"141","Eli Manning",2009,13,"NYG","PHI",-0.92,-0.35
"142","Eli Manning",2009,14,"NYG","WAS",2.44,0
"143","Eli Manning",2009,3,"NYG","TAM",2,0
"144","Eli Manning",2009,7,"NYG","ARI",-4.38,-0.83
"145","Eli Manning",2009,9,"NYG","SDG",3.77,-0.78
"146","Eli Manning",2010,10,"NYG","PHI",-1.41,-0.65
"147","Eli Manning",2010,12,"NYG","WAS",0.53,0
"148","Eli Manning",2010,14,"NYG","PHI",0.67,-0.9
"149","Eli Manning",2010,16,"NYG","WAS",0.85,0.2
"150","Eli Manning",2010,3,"NYG","TEN",-0.15,0
"151","Eli Manning",2010,7,"NYG","DAL",-3.34,0
"152","Eli Manning",2010,8,"NYG","SEA",3.84,0
"153","Eli Manning",2011,1,"NYG","WAS",-1.55,0
"154","Eli Manning",2011,10,"NYG","PHI",-1.22,-0.15
"155","Eli Manning",2011,14,"NYG","WAS",-1.45,0
"156","Eli Manning",2011,15,"NYG","NYJ",-0.93,0
"157","Eli Manning",2011,3,"NYG","PHI",1.97,0.08
"158","Eli Manning",2011,5,"NYG","SEA",0.12,0.32
"159","Eli Manning",2011,9,"NYG","SFO",-0.57,-0.34
"160","Eli Manning",2012,10,"NYG","CIN",-3.56,0
"161","Eli Manning",2012,12,"NYG","WAS",0.91,0
"162","Eli Manning",2012,16,"NYG","PHI",4.52,0
"163","Eli Manning",2012,2,"NYG","TAM",4.94,0.24
"164","Eli Manning",2012,4,"NYG","PHI",1.68,-0.21
"165","Eli Manning",2012,6,"NYG","SFO",-0.18,0
"166","Eli Manning",2012,8,"NYG","DAL",-3.79,-0.71
"167","Eli Manning",2013,12,"NYG","WAS",-0.35,-0.08
"168","Eli Manning",2013,14,"NYG","SEA",-1.49,0
"169","Eli Manning",2013,16,"NYG","WAS",-0.31,0
"170","Eli Manning",2013,5,"NYG","PHI",0.12,0
"171","Eli Manning",2013,7,"NYG","MIN",2.54,0
"172","Eli Manning",2013,8,"NYG","PHI",-0.96,0.1
"173","Eli Manning",2013,9,"NYG","OAK",-1.04,0
"174","Eli Manning",2014,10,"NYG","SFO",-1.76,-0.31
"175","Eli Manning",2014,13,"NYG","TEN",0.82,0
"176","Eli Manning",2014,14,"NYG","WAS",2.76,0
"177","Eli Manning",2014,4,"NYG","WAS",4.04,0
"178","Eli Manning",2014,6,"NYG","PHI",-2.52,0
"179","Eli Manning",2014,8,"NYG","IND",-1.55,0
"180","Eli Manning",2015,10,"NYG","NWE",0.06,-0.15
"181","Eli Manning",2015,11,"NYG","WAS",-1.02,-0.02
"182","Eli Manning",2015,12,"NYG","NYJ",-0.16,-0.1
"183","Eli Manning",2015,16,"NYG","PHI",0.97,-0.74
"184","Eli Manning",2015,3,"NYG","WAS",2.83,0
"185","Eli Manning",2015,5,"NYG","SFO",3.28,1.06
"186","Eli Manning",2015,7,"NYG","DAL",-0.85,0
"187","Eli Manning",2016,11,"NYG","CLE",0.59,0
"188","Eli Manning",2016,15,"NYG","PHI",-2.32,-0.81
"189","Eli Manning",2016,16,"NYG","WAS",-1.32,-0.1
"190","Eli Manning",2016,3,"NYG","WAS",0.59,-0.59
"191","Eli Manning",2016,5,"NYG","GNB",-0.68,0.43
"192","Eli Manning",2016,8,"NYG","PHI",0.09,-0.39
"193","Eli Manning",2017,11,"NYG","WAS",-2.99,-1.19
"194","Eli Manning",2017,14,"NYG","PHI",0.34,-0.94
"195","Eli Manning",2017,16,"NYG","WAS",0.01,0
"196","Eli Manning",2017,3,"NYG","PHI",-0.37,-0.02
"197","Eli Manning",2017,4,"NYG","TAM",-0.38,0.3
"198","Eli Manning",2017,6,"NYG","DEN",-2.95,0
"199","Eli Manning",2017,7,"NYG","SEA",-2.66,0
"200","Eli Manning",2017,9,"NYG","SFO",2.39,0
"201","Eli Manning",2018,10,"NYG","TAM",2.55,0.4
"202","Eli Manning",2018,11,"NYG","PHI",-0.02,-0.32
"203","Eli Manning",2018,13,"NYG","WAS",2.94,0
"204","Eli Manning",2018,14,"NYG","TEN",-2.51,0
"205","Eli Manning",2018,5,"NYG","CAR",0.1,1.18
"206","Eli Manning",2018,6,"NYG","PHI",-2.59,0
"207","Eli Manning",2018,8,"NYG","WAS",-1.4,0.31
"208","Eli Manning",2018,9,"NYG","SFO",1.87,0.4
"209","Eli Manning",2019,13,"NYG","PHI",-0.02,-0.59
