"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Geno Smith",2016,6,"NYJ","ARI",-0.76,0
"2","Geno Smith",2018,11,"LAC","ARI",-0.22,0
"3","Geno Smith",2022,6,"SEA","ARI",-1.24,0
"4","Geno Smith",2022,9,"SEA","ARI",0.63,-0.13
"5","Geno Smith",2013,5,"NYJ","ATL",-0.51,-0.12
"6","Geno Smith",2022,3,"SEA","ATL",1.5,-0.42
"7","Geno Smith",2013,11,"NYJ","BAL",-8.15,0
"8","Geno Smith",2016,7,"NYJ","BAL",0.71,0
"9","Geno Smith",2013,3,"NYJ","BUF",2.66,-0.48
"10","Geno Smith",2014,11,"NYJ","BUF",-0.72,0
"11","Geno Smith",2014,8,"NYJ","BUF",-1.87,0
"12","Geno Smith",2013,14,"NYJ","CAR",-1.92,0
"13","Geno Smith",2022,13,"SEA","CAR",2.95,1.21
"14","Geno Smith",2014,3,"NYJ","CHI",0.77,-0.61
"15","Geno Smith",2013,8,"NYJ","CIN",-3.22,-0.11
"16","Geno Smith",2013,15,"NYJ","CLE",3.35,0.13
"17","Geno Smith",2018,6,"LAC","CLE",-0.04,0
"18","Geno Smith",2014,5,"NYJ","DEN",-5.02,-0.27
"19","Geno Smith",2018,16,"LAC","DEN",-0.55,0
"20","Geno Smith",2022,1,"SEA","DEN",0.4,0
"21","Geno Smith",2014,4,"NYJ","DET",0.84,-0.08
"22","Geno Smith",2022,4,"SEA","DET",3.27,0.03
"23","Geno Smith",2014,2,"NYJ","GNB",-0.82,-0.44
"24","Geno Smith",2022,15,"SEA","KAN",-2.83,0
"25","Geno Smith",2017,8,"NYG","LAR",-0.13,0
"26","Geno Smith",2022,12,"SEA","LAR",3.88,0.87
"27","Geno Smith",2022,17,"SEA","LAR",1.82,0.84
"28","Geno Smith",2022,7,"SEA","LAC",1.33,0
"29","Geno Smith",2013,12,"NYJ","MIA",-1.53,0
"30","Geno Smith",2013,16,"NYJ","MIA",-0.77,0
"31","Geno Smith",2014,12,"NYJ","MIA",-1.13,-0.28
"32","Geno Smith",2014,16,"NYJ","MIA",1.14,0
"33","Geno Smith",2014,13,"NYJ","MIN",-1.81,-0.35
"34","Geno Smith",2013,2,"NYJ","NWE",-2.45,-0.51
"35","Geno Smith",2013,7,"NYJ","NWE",-0.05,-0.25
"36","Geno Smith",2014,15,"NYJ","NWE",-0.91,0
"37","Geno Smith",2014,7,"NYJ","NWE",-0.78,0.79
"38","Geno Smith",2022,5,"SEA","NOR",1.28,0
"39","Geno Smith",2017,12,"NYG","OAK",1.01,0
"40","Geno Smith",2022,8,"SEA","NYG",1.54,0
"41","Geno Smith",2013,1,"NYJ","TAM",-0.81,0.4
"42","Geno Smith",2013,10,"NYJ","BUF",-2.64,0
"43","Geno Smith",2013,13,"NYJ","OAK",2.63,0
"44","Geno Smith",2013,4,"NYJ","TEN",-1.62,0
"45","Geno Smith",2013,6,"NYJ","PIT",-1.32,0
"46","Geno Smith",2013,9,"NYJ","NOR",-0.88,-0.11
"47","Geno Smith",2014,1,"NYJ","OAK",-1.72,0
"48","Geno Smith",2014,14,"NYJ","TEN",-0.18,0.1
"49","Geno Smith",2014,6,"NYJ","DEN",-3.52,-0.27
"50","Geno Smith",2015,7,"NYJ","OAK",1.38,0
"51","Geno Smith",2022,16,"SEA","NYJ",-0.93,0
"52","Geno Smith",2022,11,"SEA","LVR",1.5,-0.86
"53","Geno Smith",2022,10,"SEA","TAM",0.41,0
"54","Geno Smith",2022,14,"SEA","SFO",-1.65,0
"55","Geno Smith",2022,2,"SEA","SFO",-2,0
