"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","JaMarcus Russell",2008,8,"OAK","ATL",-1.88,0
"2","JaMarcus Russell",2008,7,"OAK","BAL",-2.8,0
"3","JaMarcus Russell",2009,16,"OAK","BAL",-1.23,-0.3
"4","JaMarcus Russell",2008,3,"OAK","BUF",-0.3,-0.1
"5","JaMarcus Russell",2007,12,"OAK","DEN",-0.09,0
"6","JaMarcus Russell",2008,1,"OAK","DEN",-1.12,0
"7","JaMarcus Russell",2008,11,"OAK","DEN",0.73,0
"8","JaMarcus Russell",2009,14,"OAK","DEN",0.17,0.31
"9","JaMarcus Russell",2009,3,"OAK","DEN",-2.31,0
"10","JaMarcus Russell",2008,15,"OAK","HOU",0.52,0
"11","JaMarcus Russell",2009,4,"OAK","HOU",-2.45,0
"12","JaMarcus Russell",2007,14,"OAK","IND",-0.35,0
"13","JaMarcus Russell",2007,15,"OAK","JAX",-2.42,0
"14","JaMarcus Russell",2008,12,"OAK","KAN",-1.5,0
"15","JaMarcus Russell",2008,2,"OAK","KAN",-0.91,0
"16","JaMarcus Russell",2009,2,"OAK","KAN",0.27,-0.13
"17","JaMarcus Russell",2009,9,"OAK","KAN",-2.94,0
"18","JaMarcus Russell",2007,16,"OAK","SDG",-0.35,0
"19","JaMarcus Russell",2008,13,"OAK","SDG",-1.43,0
"20","JaMarcus Russell",2008,4,"OAK","SDG",2.05,-0.63
"21","JaMarcus Russell",2009,1,"OAK","SDG",-1.72,-0.12
"22","JaMarcus Russell",2009,7,"OAK","SDG",-0.44,-0.45
"23","JaMarcus Russell",2008,10,"OAK","MIA",-0.57,0.21
"24","JaMarcus Russell",2008,14,"OAK","NWE",-0.86,0
"25","JaMarcus Russell",2008,6,"OAK","NOR",-2.16,0
"26","JaMarcus Russell",2009,5,"OAK","NYG",-1.75,0.04
"27","JaMarcus Russell",2008,16,"OAK","TAM",-0.76,-0.16
"28","JaMarcus Russell",2008,5,"OAK","NOR",-1.88,0
"29","JaMarcus Russell",2009,13,"OAK","WAS",-2.2,0
"30","JaMarcus Russell",2009,6,"OAK","PHI",-1.49,0.04
"31","JaMarcus Russell",2009,8,"OAK","SDG",-1.62,-0.45
