"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jacoby Brissett",2017,2,"IND","ARI",-1.27,-0.3
"2","Jacoby Brissett",2019,3,"IND","ATL",3.84,0.21
"3","Jacoby Brissett",2022,4,"CLE","ATL",-0.13,-0.78
"4","Jacoby Brissett",2017,15,"IND","BAL",3.56,-0.51
"5","Jacoby Brissett",2020,8,"IND","BAL",-0.46,0
"6","Jacoby Brissett",2022,14,"CLE","BAL",-0.06,0
"7","Jacoby Brissett",2022,7,"CLE","BAL",-0.12,0.21
"8","Jacoby Brissett",2016,4,"NWE","BUF",-0.26,0
"9","Jacoby Brissett",2017,13,"IND","BUF",-1.3,0.24
"10","Jacoby Brissett",2022,10,"CLE","BUF",-1.77,0
"11","Jacoby Brissett",2019,15,"IND","CAR",0.57,0
"12","Jacoby Brissett",2022,1,"CLE","CAR",-1.98,0.06
"13","Jacoby Brissett",2017,7,"IND","CIN",-4.02,0.01
"14","Jacoby Brissett",2022,13,"CLE","CIN",-0.47,0
"15","Jacoby Brissett",2022,8,"CLE","CIN",1.86,0
"16","Jacoby Brissett",2017,3,"IND","CLE",1.57,0
"17","Jacoby Brissett",2022,11,"CLE","TAM",-1.97,-0.12
"18","Jacoby Brissett",2022,16,"CLE","WAS",-0.02,0
"19","Jacoby Brissett",2022,2,"CLE","NYJ",2.5,-0.48
"20","Jacoby Brissett",2022,3,"CLE","PIT",0.8,0
"21","Jacoby Brissett",2022,5,"CLE","LAC",-0.07,-0.44
"22","Jacoby Brissett",2022,6,"CLE","NWE",-3.07,0
"23","Jacoby Brissett",2022,9,"CLE","MIA",-2.88,0
"24","Jacoby Brissett",2017,14,"IND","DEN",-1.19,0
"25","Jacoby Brissett",2019,8,"IND","DEN",1.1,0.29
"26","Jacoby Brissett",2020,10,"IND","GNB",0.16,0
"27","Jacoby Brissett",2017,16,"IND","HOU",-0.05,0
"28","Jacoby Brissett",2017,8,"IND","HOU",-1,-0.08
"29","Jacoby Brissett",2019,11,"IND","HOU",-0.88,-0.37
"30","Jacoby Brissett",2019,7,"IND","HOU",5.26,0.16
"31","Jacoby Brissett",2020,12,"IND","HOU",-0.11,0
"32","Jacoby Brissett",2020,14,"IND","HOU",-0.2,-0.1
"33","Jacoby Brissett",2017,1,"IND","LAR",-0.38,0
"34","Jacoby Brissett",2017,10,"IND","PIT",-0.42,0
"35","Jacoby Brissett",2017,11,"IND","TEN",-1.21,0
"36","Jacoby Brissett",2017,12,"IND","JAX",-1.77,0
"37","Jacoby Brissett",2017,4,"IND","SEA",-2.36,0
"38","Jacoby Brissett",2017,5,"IND","SFO",0.96,0
"39","Jacoby Brissett",2017,6,"IND","TEN",-2.17,-0.32
"40","Jacoby Brissett",2017,9,"IND","HOU",0.04,-0.09
"41","Jacoby Brissett",2018,10,"IND","TEN",-0.33,0
"42","Jacoby Brissett",2018,11,"IND","MIA",0,0
"43","Jacoby Brissett",2018,3,"IND","PHI",-0.22,-0.22
"44","Jacoby Brissett",2019,1,"IND","LAC",-0.36,0.56
"45","Jacoby Brissett",2019,10,"IND","JAX",0.96,0
"46","Jacoby Brissett",2019,12,"IND","TEN",-0.77,0
"47","Jacoby Brissett",2019,13,"IND","TAM",-1.66,-0.72
"48","Jacoby Brissett",2019,14,"IND","NOR",-1.14,0
"49","Jacoby Brissett",2019,16,"IND","JAX",-1.56,0
"50","Jacoby Brissett",2019,2,"IND","TEN",-0.68,-0.22
"51","Jacoby Brissett",2019,4,"IND","OAK",0.7,1.14
"52","Jacoby Brissett",2019,5,"IND","KAN",-0.91,0
"53","Jacoby Brissett",2019,6,"IND","HOU",4.08,-0.13
"54","Jacoby Brissett",2020,1,"IND","JAX",-0.2,0
"55","Jacoby Brissett",2020,11,"IND","TEN",0.76,0
"56","Jacoby Brissett",2020,16,"IND","JAX",-0.2,0
"57","Jacoby Brissett",2020,3,"IND","NYJ",-0.15,0
"58","Jacoby Brissett",2020,9,"IND","TEN",0.61,0
"59","Jacoby Brissett",2016,2,"NWE","MIA",-0.09,0.18
