"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jake Delhomme",2008,7,"CAR","ARI",4.2,0.25
"2","Jake Delhomme",2009,7,"CAR","ARI",-2.66,0
"3","Jake Delhomme",2006,1,"CAR","ATL",-2.21,0
"4","Jake Delhomme",2007,3,"CAR","ATL",1.4,0
"5","Jake Delhomme",2008,11,"CAR","ATL",-0.8,0
"6","Jake Delhomme",2008,4,"CAR","ATL",2.48,0
"7","Jake Delhomme",2009,2,"CAR","ATL",-1.21,-0.66
"8","Jake Delhomme",2009,9,"CAR","ATL",4.11,0
"9","Jake Delhomme",2010,5,"CLE","ATL",-2.5,0
"10","Jake Delhomme",2006,6,"CAR","BAL",-0.41,-0.15
"11","Jake Delhomme",2006,10,"CAR","STL",-1.05,0
"12","Jake Delhomme",2006,11,"CAR","WAS",-1.89,-0.48
"13","Jake Delhomme",2006,12,"CAR","PHI",0.17,-0.05
"14","Jake Delhomme",2006,16,"CAR","NOR",3.45,0
"15","Jake Delhomme",2006,2,"CAR","MIN",-1.19,-0.15
"16","Jake Delhomme",2006,3,"CAR","TAM",1.29,0.29
"17","Jake Delhomme",2006,4,"CAR","NOR",1.14,0
"18","Jake Delhomme",2006,5,"CAR","CLE",-0.07,0
"19","Jake Delhomme",2006,7,"CAR","CIN",1.21,-0.05
"20","Jake Delhomme",2006,8,"CAR","DAL",-3.09,0
"21","Jake Delhomme",2006,9,"CAR","TAM",1.66,0
"22","Jake Delhomme",2007,1,"CAR","STL",0.73,0
"23","Jake Delhomme",2007,2,"CAR","HOU",1.05,0
"24","Jake Delhomme",2008,1,"CAR","SDG",-1.24,0.17
"25","Jake Delhomme",2008,10,"CAR","DET",0.27,0
"26","Jake Delhomme",2008,12,"CAR","GNB",1.68,0.47
"27","Jake Delhomme",2008,13,"CAR","TAM",1.11,0
"28","Jake Delhomme",2008,14,"CAR","DEN",1.56,0
"29","Jake Delhomme",2008,15,"CAR","NYG",-0.68,-0.63
"30","Jake Delhomme",2008,16,"CAR","NOR",1.3,0.36
"31","Jake Delhomme",2008,2,"CAR","CHI",-0.65,0
"32","Jake Delhomme",2008,3,"CAR","MIN",-0.77,0
"33","Jake Delhomme",2008,5,"CAR","KAN",2.24,0
"34","Jake Delhomme",2008,6,"CAR","TAM",-2.89,0
"35","Jake Delhomme",2008,8,"CAR","ARI",1.84,0.25
"36","Jake Delhomme",2008,9,"CAR","OAK",-2.32,0
"37","Jake Delhomme",2009,1,"CAR","PHI",-2.15,0
"38","Jake Delhomme",2009,10,"CAR","MIA",-1.09,0.22
"39","Jake Delhomme",2009,11,"CAR","NYJ",-2.66,0
"40","Jake Delhomme",2009,3,"CAR","DAL",-1.11,0
"41","Jake Delhomme",2009,4,"CAR","WAS",1.79,0.12
"42","Jake Delhomme",2009,5,"CAR","TAM",0.54,0.12
"43","Jake Delhomme",2009,6,"CAR","BUF",-2.3,0
"44","Jake Delhomme",2009,8,"CAR","NOR",-1.5,-0.41
"45","Jake Delhomme",2010,11,"CLE","CAR",-0.88,0.06
"46","Jake Delhomme",2010,1,"CLE","TAM",-1.51,-0.37
"47","Jake Delhomme",2010,12,"CLE","MIA",-0.77,-0.2
