"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jake Locker",2011,10,"TEN","ATL",0.73,0.27
"2","Jake Locker",2014,3,"TEN","CIN",-2.25,0
"3","Jake Locker",2011,4,"TEN","CLE",-0.1,0
"4","Jake Locker",2014,4,"TEN","CLE",3.24,0
"5","Jake Locker",2014,2,"TEN","DAL",-0.7,0
"6","Jake Locker",2012,3,"TEN","DET",1.01,0.61
"7","Jake Locker",2012,15,"TEN","GNB",-0.97,0
"8","Jake Locker",2011,7,"TEN","HOU",-0.27,0
"9","Jake Locker",2012,12,"TEN","HOU",-2.98,0
"10","Jake Locker",2012,4,"TEN","HOU",-0.24,0
"11","Jake Locker",2013,2,"TEN","HOU",-1.74,-0.74
"12","Jake Locker",2014,12,"TEN","HOU",-0.44,0
"13","Jake Locker",2011,14,"TEN","IND",1.23,1.09
"14","Jake Locker",2012,13,"TEN","IND",-1.51,-0.38
"15","Jake Locker",2012,11,"TEN","JAX",1.34,0.29
"16","Jake Locker",2012,16,"TEN","JAX",-1.21,0
"17","Jake Locker",2013,9,"TEN","JAX",-1.55,0
"18","Jake Locker",2014,1,"TEN","KAN",0.53,0
"19","Jake Locker",2012,2,"TEN","SDG",-1.99,0
"20","Jake Locker",2013,3,"TEN","SDG",3.97,1.44
"21","Jake Locker",2012,9,"TEN","MIA",0.41,0
"22","Jake Locker",2012,1,"TEN","NWE",0.05,0
"23","Jake Locker",2011,13,"TEN","NOR",1.32,-0.18
"24","Jake Locker",2014,13,"TEN","NYG",-0.5,0
"25","Jake Locker",2012,14,"TEN","NYJ",-4.53,0
"26","Jake Locker",2013,4,"TEN","NYJ",3.3,0
"27","Jake Locker",2014,14,"TEN","NYJ",-2.36,0
"28","Jake Locker",2013,1,"TEN","PIT",0.11,0
"29","Jake Locker",2013,7,"TEN","SFO",0.6,0
"30","Jake Locker",2011,6,"TEN","HOU",-0.27,0
"31","Jake Locker",2012,10,"TEN","MIA",0.41,0
"32","Jake Locker",2013,8,"TEN","STL",-0.29,0
"33","Jake Locker",2014,5,"TEN","CLE",1.29,0
