"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jameis Winston",2016,2,"TAM","ARI",-2.74,0
"2","Jameis Winston",2017,6,"TAM","ARI",1,-0.03
"3","Jameis Winston",2019,10,"TAM","ARI",-3.65,0.75
"4","Jameis Winston",2015,12,"TAM","ATL",1.9,0.64
"5","Jameis Winston",2015,8,"TAM","ATL",-0.26,-0.47
"6","Jameis Winston",2016,1,"TAM","ATL",1.88,-0.13
"7","Jameis Winston",2016,9,"TAM","ATL",-0.75,0
"8","Jameis Winston",2017,14,"TAM","ATL",1.45,0.33
"9","Jameis Winston",2018,16,"TAM","ATL",5.35,0
"10","Jameis Winston",2018,6,"TAM","ATL",2.25,0.35
"11","Jameis Winston",2019,11,"TAM","ATL",1.25,0
"12","Jameis Winston",2019,16,"TAM","ATL",1.78,0.19
"13","Jameis Winston",2022,1,"NOR","ATL",2.36,1.81
"14","Jameis Winston",2018,14,"TAM","BAL",-1.65,0
"15","Jameis Winston",2015,16,"TAM","CAR",-2.45,0
"16","Jameis Winston",2015,4,"TAM","CAR",-1.41,0
"17","Jameis Winston",2016,16,"TAM","CAR",-0.13,0.94
"18","Jameis Winston",2016,5,"TAM","CAR",-0.99,0.05
"19","Jameis Winston",2017,15,"TAM","CAR",2.03,0.57
"20","Jameis Winston",2017,8,"TAM","CAR",-4.83,0
"21","Jameis Winston",2018,12,"TAM","CAR",0.06,0
"22","Jameis Winston",2019,2,"TAM","CAR",1.24,-0.17
"23","Jameis Winston",2019,6,"TAM","CAR",-0.55,0
"24","Jameis Winston",2020,16,"NOR","CAR",-0.22,0
"25","Jameis Winston",2022,3,"CAR","NOR",1.42,-0.2
"26","Jameis Winston",2015,15,"TAM","CHI",-0.35,1.22
"27","Jameis Winston",2017,2,"TAM","CHI",1.67,0
"28","Jameis Winston",2018,4,"TAM","CHI",-0.07,0
"29","Jameis Winston",2018,8,"TAM","CIN",-2.16,0
"30","Jameis Winston",2018,7,"TAM","CLE",-1.07,-0.16
"31","Jameis Winston",2015,9,"TAM","DAL",0.21,1.04
"32","Jameis Winston",2016,14,"TAM","DAL",-0.95,-0.89
"33","Jameis Winston",2018,15,"TAM","DAL",-2.04,0.33
"34","Jameis Winston",2016,4,"TAM","DEN",-2.19,0
"35","Jameis Winston",2019,14,"TAM","DET",1.8,0
"36","Jameis Winston",2017,12,"TAM","GNB",-1.63,-0.36
"37","Jameis Winston",2015,3,"TAM","HOU",-0.22,0
"38","Jameis Winston",2019,15,"TAM","HOU",-2.1,-0.41
"39","Jameis Winston",2015,11,"TAM","IND",-0.96,0
"40","Jameis Winston",2019,13,"TAM","IND",4.69,0.89
"41","Jameis Winston",2015,5,"TAM","JAX",1.57,0
"42","Jameis Winston",2019,12,"TAM","JAX",1.06,0
"43","Jameis Winston",2016,10,"TAM","KAN",0.75,0.24
"44","Jameis Winston",2015,14,"TAM","STL",-0.48,0
"45","Jameis Winston",2016,3,"TAM","LAR",2.74,0.89
"46","Jameis Winston",2019,4,"TAM","LAR",6.29,-0.13
"47","Jameis Winston",2016,12,"TAM","SDG",-0.54,0
"48","Jameis Winston",2017,5,"TAM","NWE",-0.77,0.64
"49","Jameis Winston",2015,13,"TAM","NOR",1.99,0
"50","Jameis Winston",2015,2,"TAM","NOR",0.7,-0.04
"51","Jameis Winston",2016,13,"TAM","NOR",1.75,-0.13
"52","Jameis Winston",2016,15,"TAM","NOR",-0.43,0
"53","Jameis Winston",2017,16,"TAM","NOR",-0.03,1.03
"54","Jameis Winston",2018,13,"TAM","NOR",-1.58,0
"55","Jameis Winston",2019,5,"TAM","NOR",-0.15,0.53
"56","Jameis Winston",2020,8,"NOR","TAM",0.14,0
"57","Jameis Winston",2020,9,"NOR","SFO",0.19,0
"58","Jameis Winston",2022,2,"NOR","TAM",-4.13,0
"59","Jameis Winston",2017,4,"TAM","NYG",1.8,1.32
"60","Jameis Winston",2018,10,"TAM","NYG",0.75,0.55
"61","Jameis Winston",2019,3,"TAM","NYG",3.15,0.1
"62","Jameis Winston",2016,8,"TAM","OAK",0.07,-0.3
"63","Jameis Winston",2015,10,"TAM","PHI",1.56,0
"64","Jameis Winston",2016,11,"TAM","SEA",-0.19,0
"65","Jameis Winston",2019,9,"TAM","SEA",-2.11,0.89
"66","Jameis Winston",2016,7,"TAM","SFO",3.25,-0.3
"67","Jameis Winston",2018,11,"TAM","SFO",4.21,0
"68","Jameis Winston",2019,1,"TAM","SFO",-4.28,0
"69","Jameis Winston",2020,10,"NOR","SFO",0.05,0
"70","Jameis Winston",2015,1,"TAM","TEN",-2.16,0
"71","Jameis Winston",2015,6,"TAM","WAS",0.66,-0.69
"72","Jameis Winston",2015,7,"TAM","ATL",1.7,-1.08
"73","Jameis Winston",2016,6,"TAM","SFO",2.32,0
"74","Jameis Winston",2017,1,"TAM","CHI",-2.05,0
"75","Jameis Winston",2017,3,"TAM","NYG",2.3,0.66
"76","Jameis Winston",2017,7,"TAM","CAR",-3.36,0
"77","Jameis Winston",2018,5,"TAM","ATL",1.17,0.51
"78","Jameis Winston",2019,7,"TAM","TEN",-1.55,-0.41
"79","Jameis Winston",2019,8,"TAM","SEA",-0.43,-0.27
