"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jared Goff",2016,16,"LAR","ARI",-1.6,0
"2","Jared Goff",2017,12,"LAR","ARI",1.57,0
"3","Jared Goff",2017,7,"LAR","ARI",1.73,0
"4","Jared Goff",2018,15,"LAR","ARI",2.55,0
"5","Jared Goff",2018,2,"LAR","ARI",2.94,0
"6","Jared Goff",2019,12,"LAR","ARI",3.32,0
"7","Jared Goff",2019,16,"LAR","ARI",2.84,-0.04
"8","Jared Goff",2016,13,"LAR","ATL",-3.82,0
"9","Jared Goff",2019,7,"LAR","ATL",3.35,0
"10","Jared Goff",2019,11,"LAR","BAL",-2.61,0
"11","Jared Goff",2022,11,"DET","BUF",-1.15,0.02
"12","Jared Goff",2019,1,"LAR","CAR",-0.4,0
"13","Jared Goff",2022,15,"DET","CAR",3.42,0
"14","Jared Goff",2018,13,"LAR","CHI",-4.06,0
"15","Jared Goff",2019,10,"LAR","CHI",-0.16,0.3
"16","Jared Goff",2022,10,"DET","CHI",-1.1,0.28
"17","Jared Goff",2022,16,"DET","CHI",3.48,0
"18","Jared Goff",2019,8,"LAR","CIN",2.44,0
"19","Jared Goff",2019,3,"LAR","CLE",1.74,-0.47
"20","Jared Goff",2017,4,"LAR","DAL",0.85,0
"21","Jared Goff",2019,14,"LAR","DAL",-1.41,0
"22","Jared Goff",2022,7,"DET","DAL",2.67,-0.41
"23","Jared Goff",2018,6,"LAR","DEN",-0.04,-0.1
"24","Jared Goff",2018,12,"LAR","DET",0.31,0
"25","Jared Goff",2022,1,"DET","PHI",-2.9,0.52
"26","Jared Goff",2022,12,"DET","JAX",3.69,0
"27","Jared Goff",2022,13,"DET","MIN",3.44,0.17
"28","Jared Goff",2022,14,"DET","NYJ",0.2,0.74
"29","Jared Goff",2022,17,"DET","GNB",-0.3,0.28
"30","Jared Goff",2022,2,"DET","WAS",1.44,0
"31","Jared Goff",2022,3,"DET","MIN",-1.18,-0.68
"32","Jared Goff",2022,4,"DET","SEA",3.2,1.03
"33","Jared Goff",2022,5,"DET","NWE",-2.46,0
"34","Jared Goff",2022,6,"DET","DAL",-1.05,0
"35","Jared Goff",2022,8,"DET","GNB",0.1,-0.78
"36","Jared Goff",2022,9,"DET","CHI",-1.06,-0.09
"37","Jared Goff",2018,7,"LAR","GNB",3.4,-0.23
"38","Jared Goff",2017,9,"LAR","HOU",2.78,0
"39","Jared Goff",2017,1,"LAR","IND",2.81,0
"40","Jared Goff",2017,6,"LAR","JAX",-1.61,0
"41","Jared Goff",2018,11,"LAR","KAN",3.77,0.43
"42","Jared Goff",2016,10,"LAR","MIA",-2.45,-0.94
"43","Jared Goff",2016,11,"LAR","NOR",-1.27,0
"44","Jared Goff",2016,12,"LAR","NWE",-1.65,0
"45","Jared Goff",2016,14,"LAR","SEA",3.18,0
"46","Jared Goff",2016,15,"LAR","SFO",-1.58,-1.17
"47","Jared Goff",2017,10,"LAR","MIN",-1.58,0
"48","Jared Goff",2017,11,"LAR","NOR",0.08,0
"49","Jared Goff",2017,13,"LAR","PHI",1.07,-1.07
"50","Jared Goff",2017,14,"LAR","SEA",0.92,0
"51","Jared Goff",2017,15,"LAR","TEN",2.51,-0.3
"52","Jared Goff",2017,2,"LAR","WAS",0.61,-0.53
"53","Jared Goff",2017,3,"LAR","SFO",4.75,0
"54","Jared Goff",2017,5,"LAR","SEA",-1.74,-0.17
"55","Jared Goff",2017,8,"LAR","NYG",3.44,0
"56","Jared Goff",2018,1,"LAR","OAK",3.9,0
"57","Jared Goff",2018,10,"LAR","SEA",3.73,0.1
"58","Jared Goff",2018,14,"LAR","PHI",-0.25,0.16
"59","Jared Goff",2018,16,"LAR","SFO",2.22,0
"60","Jared Goff",2018,3,"LAR","LAC",4.1,0
"61","Jared Goff",2018,4,"LAR","MIN",7.12,-0.19
"62","Jared Goff",2018,5,"LAR","SEA",3.41,-0.04
"63","Jared Goff",2018,8,"LAR","GNB",4.9,-0.23
"64","Jared Goff",2018,9,"LAR","NOR",7.66,0.1
"65","Jared Goff",2019,13,"LAR","SEA",2.87,0
"66","Jared Goff",2019,15,"LAR","SFO",-1.13,-0.25
"67","Jared Goff",2019,2,"LAR","NOR",1.83,0
"68","Jared Goff",2019,4,"LAR","TAM",1.73,-0.21
"69","Jared Goff",2019,5,"LAR","SEA",-2.55,0.09
"70","Jared Goff",2019,6,"LAR","SFO",-3.41,0
"71","Jared Goff",2019,9,"LAR","PIT",-2.71,-0.79
"72","Jared Goff",2020,10,"LAR","TAM",-0.93,-0.24
"73","Jared Goff",2020,8,"LAR","MIA",-0.37,0
"74","Jared Goff",2020,7,"LAR","MIA",-0.37,0
"75","Jared Goff",2020,11,"LAR","TAM",-0.93,-0.24
