"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jason Campbell",2007,7,"WAS","ARI",-2.86,-0.15
"2","Jason Campbell",2008,3,"WAS","ARI",-2.82,0.17
"3","Jason Campbell",2006,12,"WAS","ATL",-0.95,0
"4","Jason Campbell",2009,8,"WAS","ATL",-0.86,0
"5","Jason Campbell",2008,13,"WAS","BAL",-1.25,0
"6","Jason Campbell",2013,2,"CLE","BAL",-0.33,-0.33
"7","Jason Campbell",2013,8,"CLE","BAL",2.13,0.31
"8","Jason Campbell",2007,12,"WAS","BUF",0.78,0.24
"9","Jason Campbell",2011,2,"OAK","BUF",0.17,-0.21
"10","Jason Campbell",2006,11,"WAS","CAR",-0.39,-0.14
"11","Jason Campbell",2009,4,"WAS","CAR",-0.45,-0.07
"12","Jason Campbell",2007,13,"WAS","CHI",0.29,0
"13","Jason Campbell",2012,10,"CHI","SFO",-2.7,0
"14","Jason Campbell",2012,13,"CHI","MIN",1.34,1.09
"15","Jason Campbell",2012,6,"CHI","DET",-0.23,0
"16","Jason Campbell",2012,9,"CHI","HOU",-1.73,-0.98
"17","Jason Campbell",2013,14,"CLE","CHI",-0.85,1.27
"18","Jason Campbell",2008,14,"WAS","CIN",1.11,0
"19","Jason Campbell",2013,11,"CLE","CIN",-6.31,0
"20","Jason Campbell",2014,13,"CIN","PIT",-1,0
"21","Jason Campbell",2014,3,"CIN","TEN",-0.7,0
"22","Jason Campbell",2014,9,"CIN","CLE",-0.62,0
"23","Jason Campbell",2008,6,"WAS","CLE",-0.5,0
"24","Jason Campbell",2011,5,"OAK","CLE",0.95,-0.12
"25","Jason Campbell",2013,10,"CLE","CIN",-5.05,0
"26","Jason Campbell",2013,13,"CLE","NWE",1.54,0.41
"27","Jason Campbell",2013,15,"CLE","NYJ",-3.87,0
"28","Jason Campbell",2013,16,"CLE","PIT",-2.35,0
"29","Jason Campbell",2013,9,"CLE","BAL",2.16,0.27
"30","Jason Campbell",2007,10,"WAS","DAL",-1.27,-0.37
"31","Jason Campbell",2008,10,"WAS","DAL",-1.43,0
"32","Jason Campbell",2008,4,"WAS","DAL",2.2,0
"33","Jason Campbell",2009,10,"WAS","DAL",-0.33,-0.45
"34","Jason Campbell",2009,15,"WAS","DAL",-2.59,0
"35","Jason Campbell",2009,9,"WAS","DEN",-0.05,0
"36","Jason Campbell",2010,14,"OAK","DEN",1.15,0
"37","Jason Campbell",2010,7,"OAK","DEN",5.52,0
"38","Jason Campbell",2011,1,"OAK","DEN",-2.19,-0.04
"39","Jason Campbell",2007,5,"WAS","DET",1.74,-0.88
"40","Jason Campbell",2008,7,"WAS","DET",0.25,-0.2
"41","Jason Campbell",2009,3,"WAS","DET",3.42,1.08
"42","Jason Campbell",2007,6,"WAS","GNB",-2.18,-1.04
"43","Jason Campbell",2010,15,"OAK","IND",-3.15,0.3
"44","Jason Campbell",2010,13,"OAK","JAX",-1.51,-0.21
"45","Jason Campbell",2009,6,"WAS","KAN",-2.52,0
"46","Jason Campbell",2010,16,"OAK","KAN",-0.06,0
"47","Jason Campbell",2006,15,"WAS","STL",-0.11,0.07
"48","Jason Campbell",2008,5,"WAS","STL",-2.64,0.07
"49","Jason Campbell",2009,2,"WAS","STL",3.08,1.92
"50","Jason Campbell",2010,2,"OAK","STL",-0.66,0
"51","Jason Campbell",2009,16,"WAS","SDG",-1.05,-0.73
"52","Jason Campbell",2010,12,"OAK","SDG",-0.08,0
"53","Jason Campbell",2010,5,"OAK","SDG",-0.44,0
"54","Jason Campbell",2007,1,"WAS","MIA",-0.57,-0.25
"55","Jason Campbell",2007,8,"WAS","NWE",-3.27,0
"56","Jason Campbell",2011,4,"OAK","NWE",-0.45,0
"57","Jason Campbell",2006,14,"WAS","NOR",-0.99,0
"58","Jason Campbell",2008,2,"WAS","NOR",1.7,1.25
"59","Jason Campbell",2009,12,"WAS","NOR",1.13,-0.5
"60","Jason Campbell",2006,16,"WAS","NYG",-0.12,-0.25
"61","Jason Campbell",2007,3,"WAS","NYG",-2.04,-0.4
"62","Jason Campbell",2008,1,"WAS","NYG",-1.44,0
"63","Jason Campbell",2008,12,"WAS","NYG",-1.68,0
"64","Jason Campbell",2009,1,"WAS","NYG",-0.71,0.46
"65","Jason Campbell",2009,14,"WAS","NYG",-1.97,0
"66","Jason Campbell",2007,9,"WAS","NYJ",2.15,-1.85
"67","Jason Campbell",2011,3,"OAK","NYJ",-1.19,0.24
"68","Jason Campbell",2009,13,"WAS","OAK",2.59,0
"69","Jason Campbell",2010,1,"OAK","TEN",-3.52,0
"70","Jason Campbell",2010,10,"OAK","PIT",-1.61,0
"71","Jason Campbell",2010,6,"OAK","SFO",-3.27,-0.43
"72","Jason Campbell",2010,8,"OAK","SEA",0.86,0
"73","Jason Campbell",2011,6,"OAK","CLE",-0.08,0
"74","Jason Campbell",2006,13,"WAS","PHI",-0.99,0
"75","Jason Campbell",2007,2,"WAS","PHI",-0.08,0
"76","Jason Campbell",2008,15,"WAS","PHI",-1.06,0
"77","Jason Campbell",2009,11,"WAS","PHI",-1.66,-0.37
"78","Jason Campbell",2008,8,"WAS","PIT",-5,-0.2
"79","Jason Campbell",2008,11,"WAS","SEA",1.5,0.38
"80","Jason Campbell",2008,16,"WAS","SFO",-0.56,0.3
"81","Jason Campbell",2006,10,"WAS","TAM",-1.15,0.28
"82","Jason Campbell",2007,11,"WAS","TAM",-1.71,-0.33
"83","Jason Campbell",2007,4,"WAS","DET",0.51,0
"84","Jason Campbell",2008,9,"WAS","PIT",-4.8,0
"85","Jason Campbell",2009,5,"WAS","CAR",-0.1,0
"86","Jason Campbell",2009,7,"WAS","PHI",-2.38,0
