"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jay Cutler",2006,14,"DEN","ARI",2.63,0
"2","Jay Cutler",2009,8,"CHI","ARI",0.31,0
"3","Jay Cutler",2012,15,"CHI","ARI",0.36,0
"4","Jay Cutler",2015,2,"CHI","ARI",1.15,0
"5","Jay Cutler",2008,10,"DEN","ATL",-0.1,0
"6","Jay Cutler",2009,5,"CHI","ATL",-0.71,-0.36
"7","Jay Cutler",2011,1,"CHI","ATL",-0.87,0
"8","Jay Cutler",2014,6,"CHI","ATL",-0.92,0
"9","Jay Cutler",2017,5,"MIA","ATL",-0.97,-0.08
"10","Jay Cutler",2009,14,"CHI","BAL",-2.42,0
"11","Jay Cutler",2007,1,"DEN","BUF",2.22,0.29
"12","Jay Cutler",2008,15,"DEN","BUF",3.17,-0.18
"13","Jay Cutler",2010,8,"CHI","BUF",1.94,0
"14","Jay Cutler",2014,1,"CHI","BUF",1.71,0.2
"15","Jay Cutler",2017,14,"MIA","BUF",-2.26,-0.25
"16","Jay Cutler",2017,16,"MIA","BUF",-0.11,0
"17","Jay Cutler",2008,14,"DEN","CAR",-2.05,0
"18","Jay Cutler",2011,4,"CHI","CAR",-1.19,-0.28
"19","Jay Cutler",2012,7,"CHI","CAR",0.46,0.6
"20","Jay Cutler",2014,5,"CHI","CAR",-1.5,-1.39
"21","Jay Cutler",2017,10,"MIA","CAR",-3.08,0
"22","Jay Cutler",2007,11,"DEN","CHI",-0.38,-0.15
"23","Jay Cutler",2009,1,"CHI","GNB",-1.33,-0.61
"24","Jay Cutler",2009,10,"CHI","PHI",-2.65,-0.43
"25","Jay Cutler",2009,11,"CHI","MIN",-0.74,0
"26","Jay Cutler",2009,12,"CHI","STL",0.88,-0.15
"27","Jay Cutler",2009,13,"CHI","GNB",1.44,-0.15
"28","Jay Cutler",2009,15,"CHI","MIN",-0.06,0
"29","Jay Cutler",2009,16,"CHI","DET",4.2,0
"30","Jay Cutler",2009,2,"CHI","PIT",-0.84,0.16
"31","Jay Cutler",2009,3,"CHI","SEA",2.49,1.02
"32","Jay Cutler",2009,4,"CHI","DET",1.13,0
"33","Jay Cutler",2009,6,"CHI","CIN",-0.64,0
"34","Jay Cutler",2009,7,"CHI","CLE",-0.17,0
"35","Jay Cutler",2009,9,"CHI","SFO",-1.55,-0.35
"36","Jay Cutler",2010,1,"CHI","DET",1.88,1.25
"37","Jay Cutler",2010,10,"CHI","MIA",-0.5,0
"38","Jay Cutler",2010,11,"CHI","PHI",1.97,0
"39","Jay Cutler",2010,12,"CHI","DET",1.8,0.53
"40","Jay Cutler",2010,13,"CHI","NWE",-1.8,0
"41","Jay Cutler",2010,14,"CHI","MIN",1.11,0
"42","Jay Cutler",2010,15,"CHI","NYJ",1.1,0
"43","Jay Cutler",2010,16,"CHI","GNB",-3.67,-0.6
"44","Jay Cutler",2010,2,"CHI","DAL",0.8,0
"45","Jay Cutler",2010,3,"CHI","GNB",-0.65,-0.32
"46","Jay Cutler",2010,4,"CHI","NYG",-2.05,0
"47","Jay Cutler",2010,6,"CHI","SEA",-1.15,0
"48","Jay Cutler",2010,7,"CHI","WAS",-1.79,-0.03
"49","Jay Cutler",2010,9,"CHI","MIN",-0.9,0
"50","Jay Cutler",2011,10,"CHI","SDG",3.44,0
"51","Jay Cutler",2011,2,"CHI","NOR",-2.75,0
"52","Jay Cutler",2011,3,"CHI","GNB",-0.74,0
"53","Jay Cutler",2011,5,"CHI","DET",-1.07,0
"54","Jay Cutler",2011,6,"CHI","MIN",2.03,0
"55","Jay Cutler",2011,7,"CHI","TAM",0.57,-0.37
"56","Jay Cutler",2011,8,"CHI","PHI",-0.74,0
"57","Jay Cutler",2011,9,"CHI","DET",-0.17,0
"58","Jay Cutler",2012,1,"CHI","IND",2.04,0
"59","Jay Cutler",2012,11,"CHI","MIN",1.29,0
"60","Jay Cutler",2012,12,"CHI","SEA",1.85,0.41
"61","Jay Cutler",2012,13,"CHI","MIN",-1.92,0
"62","Jay Cutler",2012,14,"CHI","GNB",-0.08,-0.01
"63","Jay Cutler",2012,16,"CHI","DET",1.8,0.31
