"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jeff Garcia",2007,8,"TAM","ARI",0.05,-1.07
"2","Jeff Garcia",2006,16,"PHI","ATL",-0.23,0
"3","Jeff Garcia",2007,10,"TAM","ATL",-0.15,0
"4","Jeff Garcia",2007,14,"TAM","ATL",1.39,0
"5","Jeff Garcia",2006,12,"PHI","CAR",-0.01,0
"6","Jeff Garcia",2007,4,"TAM","CAR",0.17,0
"7","Jeff Garcia",2008,13,"TAM","CAR",-3.33,0.64
"8","Jeff Garcia",2008,6,"TAM","CAR",2.5,0
"9","Jeff Garcia",2006,15,"PHI","DAL",0.76,0
"10","Jeff Garcia",2008,8,"TAM","DAL",0.25,0.59
"11","Jeff Garcia",2008,5,"TAM","DEN",0.22,0.34
"12","Jeff Garcia",2007,6,"TAM","DET",0.19,0.12
"13","Jeff Garcia",2008,11,"TAM","DET",-0.82,0
"14","Jeff Garcia",2006,4,"PHI","GNB",-0.09,0
"15","Jeff Garcia",2006,11,"PHI","IND",-0.27,0
"16","Jeff Garcia",2007,5,"TAM","IND",0.82,0.12
"17","Jeff Garcia",2007,7,"TAM","JAX",-1.03,-0.61
"18","Jeff Garcia",2009,3,"PHI","KAN",-0.44,0
"19","Jeff Garcia",2007,3,"TAM","STL",0.65,0
"20","Jeff Garcia",2008,15,"TAM","SDG",-0.35,0
"21","Jeff Garcia",2008,10,"TAM","MIN",2.04,0.05
"22","Jeff Garcia",2007,2,"TAM","NOR",1.28,0
"23","Jeff Garcia",2008,1,"TAM","NOR",-1.04,-0.23
"24","Jeff Garcia",2008,12,"TAM","NOR",-0.37,-0.13
"25","Jeff Garcia",2006,14,"PHI","NYG",-1.44,0.63
"26","Jeff Garcia",2008,16,"TAM","OAK",-1,-0.92
"27","Jeff Garcia",2006,10,"PHI","TEN",-2.96,0
"28","Jeff Garcia",2006,13,"PHI","WAS",3.34,0.2
"29","Jeff Garcia",2007,1,"TAM","SEA",-4.12,0
"30","Jeff Garcia",2007,15,"TAM","SFO",1.01,0
"31","Jeff Garcia",2007,11,"TAM","WAS",-1.99,-0.15
"32","Jeff Garcia",2007,9,"TAM","ARI",0.65,-0.46
"33","Jeff Garcia",2008,7,"TAM","SEA",1.92,0
"34","Jeff Garcia",2008,9,"TAM","KAN",1.96,1.21
