"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jimmy Garoppolo",2016,1,"NWE","ARI",-0.3,0
"2","Jimmy Garoppolo",2019,11,"SFO","ARI",5.15,1.33
"3","Jimmy Garoppolo",2019,9,"SFO","ARI",2.54,0.21
"4","Jimmy Garoppolo",2022,11,"SFO","ARI",3.38,0
"5","Jimmy Garoppolo",2019,14,"SFO","ATL",0.77,0.18
"6","Jimmy Garoppolo",2022,6,"SFO","ATL",1.09,0
"7","Jimmy Garoppolo",2019,12,"SFO","BAL",-0.32,0
"8","Jimmy Garoppolo",2014,16,"NWE","BUF",-1.38,-0.63
"9","Jimmy Garoppolo",2016,8,"NWE","BUF",-0.22,0
"10","Jimmy Garoppolo",2019,7,"SFO","CAR",0.96,0
"11","Jimmy Garoppolo",2022,5,"SFO","CAR",2.95,0
"12","Jimmy Garoppolo",2014,8,"NWE","CHI",-0.81,0
"13","Jimmy Garoppolo",2017,12,"SFO","CHI",-1.2,-0.02
"14","Jimmy Garoppolo",2019,2,"SFO","CIN",1.92,0
"15","Jimmy Garoppolo",2016,5,"NWE","CLE",-0.14,0
"16","Jimmy Garoppolo",2019,5,"SFO","CLE",-0.01,0
"17","Jimmy Garoppolo",2022,3,"SFO","DEN",-1.5,-1.27
"18","Jimmy Garoppolo",2018,2,"SFO","DET",1.78,-0.39
"19","Jimmy Garoppolo",2017,13,"SFO","HOU",0.85,0
"20","Jimmy Garoppolo",2017,15,"SFO","JAX",0.59,0
"21","Jimmy Garoppolo",2014,4,"NWE","KAN",0.7,0
"22","Jimmy Garoppolo",2018,3,"SFO","KAN",-2.28,0
"23","Jimmy Garoppolo",2022,7,"SFO","KAN",0.4,0
"24","Jimmy Garoppolo",2017,16,"SFO","LAR",2.2,0
"25","Jimmy Garoppolo",2019,15,"SFO","LAR",0.31,0.17
"26","Jimmy Garoppolo",2019,6,"SFO","LAR",-1.31,0
"27","Jimmy Garoppolo",2022,4,"SFO","LAR",1.47,0
"28","Jimmy Garoppolo",2022,9,"SFO","LAC",1.44,-0.05
"29","Jimmy Garoppolo",2015,16,"NWE","MIA",-0.55,0
"30","Jimmy Garoppolo",2016,16,"NWE","MIA",-0.34,0
"31","Jimmy Garoppolo",2016,2,"NWE","MIA",2.12,0
"32","Jimmy Garoppolo",2022,12,"SFO","MIA",1.1,0
"33","Jimmy Garoppolo",2018,1,"SFO","MIN",-2.68,-0.62
"34","Jimmy Garoppolo",2016,15,"NWE","NYJ",0.06,0
"35","Jimmy Garoppolo",2019,13,"SFO","NOR",0.56,0.43
"36","Jimmy Garoppolo",2019,3,"SFO","PIT",1.05,0.91
"37","Jimmy Garoppolo",2017,11,"SFO","SEA",0.22,0
"38","Jimmy Garoppolo",2019,10,"SFO","SEA",2.52,1.36
"39","Jimmy Garoppolo",2019,16,"SFO","SEA",2.7,0.53
"40","Jimmy Garoppolo",2022,2,"SFO","SEA",2.61,0
"41","Jimmy Garoppolo",2017,14,"SFO","TEN",3.25,0.31
"42","Jimmy Garoppolo",2019,1,"SFO","TAM",-2.76,-0.14
"43","Jimmy Garoppolo",2019,4,"SFO","CLE",0.95,0
"44","Jimmy Garoppolo",2019,8,"SFO","ARI",4.87,0.19
"45","Jimmy Garoppolo",2022,10,"SFO","ARI",2.48,0
"46","Jimmy Garoppolo",2022,8,"SFO","LAR",1.44,0
