"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Joe Flacco",2011,7,"BAL","ARI",-2.28,0.54
"2","Joe Flacco",2015,7,"BAL","ARI",-1.48,-0.13
"3","Joe Flacco",2010,9,"BAL","ATL",-0.01,0.46
"4","Joe Flacco",2014,7,"BAL","ATL",-0.3,-0.83
"5","Joe Flacco",2008,1,"BAL","CIN",-0.45,0
"6","Joe Flacco",2008,10,"BAL","NYG",-1.4,0
"7","Joe Flacco",2008,11,"BAL","PHI",-4.57,0
"8","Joe Flacco",2008,12,"BAL","CIN",1.53,0
"9","Joe Flacco",2008,13,"BAL","WAS",-0.09,0
"10","Joe Flacco",2008,14,"BAL","PIT",-2.11,-0.66
"11","Joe Flacco",2008,15,"BAL","DAL",-0.79,0
"12","Joe Flacco",2008,16,"BAL","JAX",1.78,0
"13","Joe Flacco",2008,2,"BAL","CLE",0.92,0
"14","Joe Flacco",2008,3,"BAL","PIT",-2.8,0
"15","Joe Flacco",2008,4,"BAL","TEN",-2.83,-0.81
"16","Joe Flacco",2008,5,"BAL","IND",-4.15,-0.81
"17","Joe Flacco",2008,6,"BAL","MIA",0.48,0
"18","Joe Flacco",2008,7,"BAL","OAK",-0.23,0
"19","Joe Flacco",2008,8,"BAL","CLE",-0.72,-0.09
"20","Joe Flacco",2008,9,"BAL","HOU",0.57,0
"21","Joe Flacco",2009,1,"BAL","KAN",-0.21,0.79
"22","Joe Flacco",2009,10,"BAL","IND",-0.65,-0.26
"23","Joe Flacco",2009,11,"BAL","PIT",-0.35,0.49
"24","Joe Flacco",2009,12,"BAL","GNB",-2.3,0
"25","Joe Flacco",2009,13,"BAL","DET",1.51,0
"26","Joe Flacco",2009,14,"BAL","CHI",2,0
"27","Joe Flacco",2009,15,"BAL","PIT",-0.87,-0.56
"28","Joe Flacco",2009,16,"BAL","OAK",-1.24,-0.12
"29","Joe Flacco",2009,2,"BAL","SDG",0.2,-0.14
"30","Joe Flacco",2009,3,"BAL","CLE",3.58,0
"31","Joe Flacco",2009,4,"BAL","NWE",-1.19,-0.34
"32","Joe Flacco",2009,5,"BAL","CIN",-0.47,-0.76
"33","Joe Flacco",2009,6,"BAL","MIN",1.01,0.01
"34","Joe Flacco",2009,7,"BAL","DEN",0,0
"35","Joe Flacco",2009,8,"BAL","CIN",-1.84,0
"36","Joe Flacco",2009,9,"BAL","CLE",0.72,0
"37","Joe Flacco",2010,1,"BAL","NYJ",-1.42,-0.19
"38","Joe Flacco",2010,10,"BAL","CAR",0.77,0
"39","Joe Flacco",2010,11,"BAL","TAM",1.93,0.2
"40","Joe Flacco",2010,12,"BAL","PIT",-1.57,-1.01
"41","Joe Flacco",2010,13,"BAL","HOU",0.39,-0.14
"42","Joe Flacco",2010,14,"BAL","NOR",0.46,-0.13
"43","Joe Flacco",2010,15,"BAL","CLE",0.99,0
"44","Joe Flacco",2010,16,"BAL","CIN",-0.67,0
"45","Joe Flacco",2010,2,"BAL","CIN",-2.66,-0.61
"46","Joe Flacco",2010,3,"BAL","CLE",3.38,-0.07
"47","Joe Flacco",2010,4,"BAL","PIT",-1.27,0.02
"48","Joe Flacco",2010,5,"BAL","DEN",2.1,-0.26
"49","Joe Flacco",2010,6,"BAL","NWE",3.45,-0.39
"50","Joe Flacco",2010,7,"BAL","BUF",1.36,-0.13
"51","Joe Flacco",2010,8,"BAL","MIA",2.79,0
"52","Joe Flacco",2011,1,"BAL","PIT",1.22,0
"53","Joe Flacco",2011,10,"BAL","CIN",0.99,0
"54","Joe Flacco",2011,11,"BAL","SFO",1.55,0
"55","Joe Flacco",2011,12,"BAL","CLE",0.67,0
"56","Joe Flacco",2011,13,"BAL","IND",2.1,0
"57","Joe Flacco",2011,14,"BAL","SDG",-0.94,0
"58","Joe Flacco",2011,15,"BAL","CLE",0.67,0
"59","Joe Flacco",2011,16,"BAL","CIN",-0.53,0
"60","Joe Flacco",2011,2,"BAL","TEN",-1.12,0
"61","Joe Flacco",2011,3,"BAL","STL",1.75,0
