"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Jon Kitna",2006,10,"DET","ARI",3.29,0
"2","Jon Kitna",2007,9,"DET","ARI",-2.26,0
"3","Jon Kitna",2010,15,"DAL","ARI",-1.61,0
"4","Jon Kitna",2006,8,"DET","ATL",1.21,0
"5","Jon Kitna",2008,1,"DET","ATL",1.97,0
"6","Jon Kitna",2006,6,"DET","BUF",0.22,0.1
"7","Jon Kitna",2006,15,"DET","CHI",-0.41,-0.85
"8","Jon Kitna",2006,2,"DET","CHI",-1.26,0
"9","Jon Kitna",2007,4,"DET","CHI",-4.47,0
"10","Jon Kitna",2007,8,"DET","CHI",2.93,0
"11","Jon Kitna",2008,5,"DET","CHI",-1.95,0
"12","Jon Kitna",2006,16,"DET","DAL",-3.51,0
"13","Jon Kitna",2007,13,"DET","DAL",-1.45,-0.45
"14","Jon Kitna",2010,10,"DAL","DET",2.36,0
"15","Jon Kitna",2010,11,"DAL","NOR",-2.02,-0.78
"16","Jon Kitna",2010,12,"DAL","IND",-0.25,0.3
"17","Jon Kitna",2010,13,"DAL","PHI",-0.55,0
"18","Jon Kitna",2010,14,"DAL","WAS",2.1,0.38
"19","Jon Kitna",2010,6,"DAL","NYG",-0.58,1.21
"20","Jon Kitna",2010,7,"DAL","JAX",1.63,1.21
"21","Jon Kitna",2010,8,"DAL","GNB",-0.98,0
"22","Jon Kitna",2010,9,"DAL","NYG",-1.02,0
"23","Jon Kitna",2011,2,"DAL","SFO",0.86,0
"24","Jon Kitna",2006,1,"DET","SEA",-0.55,-0.09
"25","Jon Kitna",2006,11,"DET","MIA",-3.85,0
"26","Jon Kitna",2006,12,"DET","NWE",-1.64,-0.57
"27","Jon Kitna",2006,13,"DET","MIN",-0.79,0
"28","Jon Kitna",2006,14,"DET","GNB",-1.83,-0.15
"29","Jon Kitna",2006,3,"DET","GNB",0.68,-0.54
"30","Jon Kitna",2006,4,"DET","STL",-0.57,0.54
"31","Jon Kitna",2006,5,"DET","MIN",-3.89,-1.12
"32","Jon Kitna",2006,7,"DET","NYJ",-0.04,0.46
"33","Jon Kitna",2006,9,"DET","SFO",0.56,-0.63
"34","Jon Kitna",2007,1,"DET","OAK",-0.86,-0.14
"35","Jon Kitna",2007,10,"DET","NYG",0.38,-0.34
"36","Jon Kitna",2007,11,"DET","GNB",-1.98,0
"37","Jon Kitna",2007,12,"DET","MIN",0.74,0
"38","Jon Kitna",2007,14,"DET","SDG",-2.79,0
"39","Jon Kitna",2007,15,"DET","KAN",-1.17,-0.15
"40","Jon Kitna",2007,16,"DET","GNB",-2.47,0
"41","Jon Kitna",2007,2,"DET","MIN",2.22,0.48
"42","Jon Kitna",2007,3,"DET","PHI",-2.33,0
"43","Jon Kitna",2007,5,"DET","WAS",-3.64,0
"44","Jon Kitna",2007,6,"DET","TAM",0.15,0
"45","Jon Kitna",2007,7,"DET","CHI",0.98,0
"46","Jon Kitna",2008,2,"DET","GNB",-2.82,0
"47","Jon Kitna",2008,3,"DET","SFO",-1.77,0
"48","Jon Kitna",2008,4,"DET","CHI",-1.95,0
