"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Josh Allen",2020,9,"BUF","ARI",-0.38,0.22
"2","Josh Allen",2019,15,"ATL","JAX",-0.03,-0.75
"3","Josh Allen",2018,1,"BUF","BAL",-0.78,0
"4","Josh Allen",2019,13,"BUF","BAL",-2.99,-0.04
"5","Josh Allen",2022,11,"BAL","JAX",1.74,1.43
"6","Josh Allen",2022,4,"BUF","BAL",2.74,1.13
"7","Josh Allen",2018,11,"BUF","JAX",0.15,-0.13
"8","Josh Allen",2018,12,"BUF","MIA",1.18,0.04
"9","Josh Allen",2018,13,"BUF","NYJ",-0.69,-0.86
"10","Josh Allen",2018,14,"BUF","DET",0.9,0.12
"11","Josh Allen",2018,15,"BUF","NWE",-1.45,0
"12","Josh Allen",2018,16,"BUF","MIA",4.28,0
"13","Josh Allen",2018,2,"BUF","LAC",-2.45,0
"14","Josh Allen",2018,3,"BUF","MIN",3.12,0
"15","Josh Allen",2018,4,"BUF","GNB",-6.12,0
"16","Josh Allen",2018,5,"BUF","TEN",-0.92,0.13
"17","Josh Allen",2018,6,"BUF","HOU",-1.75,0
"18","Josh Allen",2019,1,"BUF","NYJ",-0.22,0.81
"19","Josh Allen",2019,10,"BUF","MIA",4.29,0
"20","Josh Allen",2019,11,"BUF","DEN",1.32,0
"21","Josh Allen",2019,12,"BUF","DAL",1.53,0
"22","Josh Allen",2019,14,"BUF","PIT",-3.42,0
"23","Josh Allen",2019,16,"BUF","NYJ",-0.29,0
"24","Josh Allen",2019,2,"BUF","NYG",1.71,0
"25","Josh Allen",2019,3,"BUF","CIN",-2.59,0.45
"26","Josh Allen",2019,4,"BUF","NWE",-2.43,0
"27","Josh Allen",2019,5,"BUF","TEN",-0.76,0.05
"28","Josh Allen",2019,6,"BUF","MIA",2.16,0
"29","Josh Allen",2019,7,"BUF","PHI",-2.29,0
"30","Josh Allen",2019,8,"BUF","WAS",-0.18,0
"31","Josh Allen",2019,9,"BUF","CLE",1.89,-0.4
"32","Josh Allen",2020,10,"BUF","ARI",-0.38,0.22
"33","Josh Allen",2020,2,"BUF","MIA",4.72,0.03
"34","Josh Allen",2020,5,"BUF","TEN",1.68,0
"35","Josh Allen",2022,1,"BUF","LAR",0.19,0
"36","Josh Allen",2022,10,"BUF","CLE",1.62,0
"37","Josh Allen",2022,12,"BUF","NWE",2.41,0
"38","Josh Allen",2022,13,"BUF","NYJ",-2.77,-0.3
"39","Josh Allen",2022,14,"BUF","MIA",3.6,0.17
"40","Josh Allen",2022,15,"BUF","CHI",0.53,0
"41","Josh Allen",2022,16,"BUF","NWE",-1.19,0
"42","Josh Allen",2022,2,"BUF","TEN",3.91,0
"43","Josh Allen",2022,3,"BUF","MIA",0.78,-0.5
"44","Josh Allen",2022,5,"BUF","PIT",5.42,-0.12
"45","Josh Allen",2022,6,"BUF","KAN",2.44,1.05
"46","Josh Allen",2022,7,"BUF","GNB",1.41,0
"47","Josh Allen",2022,8,"BUF","NYJ",0.15,-0.23
"48","Josh Allen",2022,9,"BUF","MIN",1.98,-1.08
"49","Josh Allen",2020,4,"CIN","JAX",1.8,0.13
"50","Josh Allen",2020,8,"HOU","JAX",-0.6,0
"51","Josh Allen",2020,1,"IND","JAX",-0.22,0
"52","Josh Allen",2020,3,"MIA","JAX",-0.32,0
"53","Josh Allen",2022,17,"TEN","JAX",-3.06,-1.17
